posterior	prior	likelihood	skygrid
rep1	1048.11516188417	614.152296033909	952.782567543415	613.837405971844
rep2	745.423166748673	277.592726795701	928.967323769338	277.091623611757
rep3	909.599822363724	831.154478328211	772.788153198535	831.550365508216
rep4	1001.61084733274	850.41941816791	567.558332102841	849.829507850138
rep5	899.554006928591	529.357053834553	832.492381463524	528.481776717589
rep6	235.468817026872	169.690774761245	368.908262687425	169.567293161218
rep7	326.259603753541	271.673119531851	557.382985658381	271.520447625165
rep8	250.841353645017	147.949649192758	201.781561258018	148.065863024606
rep9	117.000425693957	186.504342353674	136.244975536414	186.206760521685
rep10	189.523454255329	150.657724294224	193.03489561494	150.486378523407
rep1trunc	307.060685277304	239.733715926204	450.849137270851	239.001761103383
rep2trunc	169.545639334628	163.174407739881	405.088227003254	163.326658977163
rep3trunc	216.439615822689	191.371164852081	306.039584330653	191.475786744155
rep4trunc	276.633768996787	241.55779737626	480.50434369402	241.690918404388
rep5trunc	286.425682709853	100.384692745183	268.830850634119	100.126617137151
