skygrid.logPopSize1	skygrid.logPopSize2	skygrid.logPopSize3	skygrid.logPopSize4	skygrid.logPopSize5	skygrid.logPopSize6	skygrid.logPopSize7	skygrid.logPopSize8	skygrid.logPopSize9	skygrid.logPopSize10	skygrid.logPopSize11	skygrid.logPopSize12	skygrid.logPopSize13	skygrid.logPopSize14	skygrid.logPopSize15	skygrid.logPopSize16	skygrid.logPopSize17	skygrid.logPopSize18	skygrid.logPopSize19	skygrid.logPopSize20	skygrid.logPopSize21	skygrid.logPopSize22	skygrid.logPopSize23	skygrid.logPopSize24	skygrid.logPopSize25	skygrid.logPopSize26	skygrid.logPopSize27	skygrid.logPopSize28	skygrid.logPopSize29	skygrid.logPopSize30	skygrid.logPopSize31	skygrid.logPopSize32	skygrid.logPopSize33	skygrid.logPopSize34	skygrid.logPopSize35	skygrid.logPopSize36	skygrid.logPopSize37	skygrid.logPopSize38	skygrid.logPopSize39	skygrid.logPopSize40	skygrid.logPopSize41	skygrid.logPopSize42	skygrid.logPopSize43	skygrid.logPopSize44	skygrid.logPopSize45	skygrid.logPopSize46	skygrid.logPopSize47	skygrid.logPopSize48	skygrid.logPopSize49	skygrid.logPopSize50
rep1	7841.6304857789	7805.99428811828	7646.68227562459	7493.88539636924	7289.53884088969	7195.04826005291	6919.00629970008	6407.02631192288	7361.57248001859	6000.2437350546	6064.19055268838	3297.80271121122	2483.09432134211	2763.26537621335	2141.46486893395	1629.28649287266	5072.95972568335	4668.03629619538	4240.47576009618	2151.41420604377	2497.68056039902	1308.9374409704	2268.73008511328	3972.0975061599	4254.77318436891	3877.77373223015	3525.85152218365	2771.59195455776	4328.64703953309	3814.60268084502	2067.97316390988	1922.36936276715	1598.26143358941	1494.48547082475	1606.18653381712	1997.62642421819	1399.90881435403	1547.62970408455	585.760360939213	1640.03119012059	6036.8024136506	6996.85091748535	5804.28686874375	3419.54206946625	2310.59345698048	3074.3608582478	3686.47949416897	5589.03697414323	6666.91210351916	7450.56650192848
rep2	8000	7650.95747402577	7217.50425064819	7189.87370136615	6893.51396075321	6383.27164890274	6574.99563642232	5487.2919934657	6663.54755788985	6314.9721427733	6250.33471088219	3758.44755760358	2264.46889499585	2466.8242969311	2813.64031712141	2595.69167075514	5456.08733522044	5735.72567549298	4647.49306198689	3085.90668677016	2121.33116920177	1483.80190024945	2291.21492157367	4254.55077493763	4121.70103752657	4231.25336725398	3962.75439628548	2738.92249530947	4806.37489823592	3776.14189256696	2387.71023274546	1910.03541520485	1533.37841965175	1543.76576269146	1277.64110488155	2316.67116139944	2050.74534170819	1337.12298986686	449.654988480721	1627.42000505436	5660.36346768663	6813.58229203403	6066.75254309979	3993.92884379199	2395.30709251093	3196.99691992972	4059.3909928039	5299.90147424378	7424.12951815943	7749.04523527638
rep3	7863.18962659022	7987.87307315462	7685.25949706148	7924.71670499446	7730.4803061347	7497.93071527878	7249.31409065061	6635.01274955402	6671.17108838025	6467.68120169988	6103.41649184539	4385.63768759654	2528.12165995999	2908.68245037868	2271.38500887492	1731.41141366292	4248.17299160981	4751.487434953	3206.48547915948	2965.06183314359	2677.92877723058	1470.33004474991	2006.76425992214	3905.29148618487	4318.4444684875	4114.01229721627	3314.18830820682	2689.51575108099	3767.35619524875	3316.6853663389	2562.28341821432	1595.51006707912	2179.49557054866	1821.41109309509	1211.59755069776	1865.98908579309	1914.64827529425	1294.89595948944	705.736654489068	1452.91842661102	5794.39104395734	6809.12556240791	5458.62148108225	3298.39645788712	2110.20570150137	2962.31590318844	4073.67802356339	5662.64466549451	6889.3282196057	7195.59273427824
rep4	7789.09672595111	7553.10600006923	7871.30181439995	7792.93925399312	7855.29599465811	7862.75690612067	7692.39090424807	6452.74601100836	7682.03859026728	6334.86502936385	6042.27365156574	4158.72433532318	2509.27856510983	2797.83478009587	2851.98687726852	1742.09001277117	4284.04266144109	4698.67391051319	4360.67933728948	1895.16331515059	2394.60072283592	972.389160533818	2508.60955343104	3918.34890283588	4346.34337950517	3883.66290779584	3729.60030779467	3409.14284016747	4744.29242519026	3735.98041053154	2684.42543969196	1869.82935221752	1768.3647873958	1667.76966351631	1119.08663198228	1592.88217408865	2011.34373298019	1496.27883595026	683.73001065874	1696.57990989537	6102.46376046336	5968.99908255515	5552.58387811701	3322.7612912262	2137.66428437125	3325.92398956389	4356.70239890878	5641.52486985251	7089.89516194088	7545.23047122639
rep5	8000	8000	8000	8000	8000	7769.82604222039	6725.87460551299	5971.72039526836	6934.25408388977	6744.17883245509	6109.40528147046	1382.24825927746	1301.65747427246	2466.90367691046	2279.09947024646	1523.56016331356	5942.1022962706	4992.53402721711	3914.34157582462	3004.29318241836	2677.28973416053	1368.32566499565	2121.51981498442	4635.21360962005	4382.43065622256	3356.47697166072	3822.37862520796	2458.00541165582	5598.35888707129	3964.51058348443	2112.71677487597	1527.1761701356	1888.63006650148	1771.91590268836	1472.3382037032	2193.41004032798	2079.78436852324	1012.46010019549	844.963941636608	1902.92403941066	5614.07052004759	6521.9432580767	5060.27559461913	2797.94314964075	2485.87954671092	3117.49434535127	4135.56953998595	5457.09793344439	6729.86059172564	7237.18247643948
rep6	2000	1964.76227154245	1818.08865471277	1828.91361518868	1965.01556695381	1427.05383912295	1637.26527448711	1550.69215748225	1777.26684927267	1907.76587081359	1795.87243517068	1273.53055223469	737.345573232865	778.341718334186	453.962354003946	706.808009567065	1488.41948099297	1440.07871857071	1288.49174496808	504.536424872907	351.725565851792	297.615491878456	459.408078485276	1130.40290754886	833.905918349761	839.734556631947	1137.81509270352	804.670598878664	1166.41530973172	908.913881488243	552.086749906615	409.795217806133	422.264583976798	294.116281490288	427.801032731379	659.467380945429	579.888726336994	440.29589704449	240.812835873842	333.865823594798	1427.95254184013	1626.28621260234	1579.52431485935	851.132366020726	495.311160493	673.303592984196	952.74710489401	1147.53907979786	1292.93048776084	2000
rep7	1991.65055639827	1914.69805038395	1874.02839025157	1737.79787825608	1824.69076973945	1735.71822134398	1884.0887860511	1652.35264691212	1875.0359196737	1705.34213443081	1187.88550141147	1008.55888540075	493.335399606644	474.498672405078	773.352817826777	449.873036715193	772.337268268896	889.022112704643	932.963442711488	768.78653939191	698.295526585303	362.021779766779	649.414652552401	902.608709866491	1073.61575238415	868.673514990925	647.805066768072	791.855194777883	1414.8255991139	1194.76787117369	485.463948110883	624.60763840786	345.626292208068	558.741425737614	423.412467690197	590.307018176574	515.474789213477	388.91714571958	213.9636148729	434.253695814293	1363.65690696255	1514.43613900315	1413.75188809008	867.662130851723	571.760169193062	616.929235616453	810.842080085197	1461.08117943605	1617.49484235781	1774.04732923745
rep8	1828.45198030302	1866.28877059227	1809.25017648542	1829.35536521378	1833.68571286478	1685.89643507579	1665.03389371666	1656.29079159588	1835.86216158096	1612.29648964311	1536.81808934332	1244.65751816135	705.102443480686	770.376531014048	427.460046892223	711.809421065265	1413.14413167745	747.475047868754	1325.46498368702	930.458249451187	656.824600007834	431.128988176517	780.889553682769	1196.55613320808	873.594886639738	943.648000633033	885.761045302954	1097.36936068415	1387.94945243099	901.00275275523	439.847270516311	498.822781068502	385.70355464007	495.511482120545	326.3081474281	482.847599783956	610.822376566491	428.555592293228	112.966535711115	399.063633616301	1518.32253856995	1365.1283349164	1172.84652479096	717.381648023948	473.252243796172	577.327485359081	823.34852716852	1526.53811650356	1808.84819318758	1821.44395685788
rep9	1976.21550908191	2000	2000	2000	2000	1931.10880244296	1677.96811321823	1779.59995415864	1540.69223052405	1416.16032070464	1325.32511051951	817.540624688432	461.504886253555	475.595899555896	771.24470859339	419.884475274768	1465.41930832287	976.179669052719	925.738536112406	597.445304597057	477.807024634344	378.177775523507	665.200145122085	1068.11184706765	910.914675093451	713.323720885652	752.442915003771	908.647666473448	915.909894823186	878.733691673323	585.932539524629	534.203357623569	619.574884470505	398.023968825977	311.671483615937	594.715665199803	340.313016718196	314.485670429547	98.4758155277276	323.36939561538	1451.95529643695	1825.70334207259	1495.75408881437	863.291824756951	581.788447919049	712.474885041355	826.71453895077	1069.49196278628	1440.51958472885	1554.15935088484
rep10	1936.17071169019	2000	1976.64730419134	1914.68108233898	1873.52443111444	1706.85716242897	1807.38129608516	1667.46592049206	1902.77250945663	1765.89666676973	1271.83814048453	733.187710879047	598.945529748955	582.570571796899	481.202729360868	658.878076477696	1580.26591094511	1058.02199093321	1099.11464259973	546.780933968044	777.797303026871	317.013060703278	720.381696945562	1120.62665034025	1098.91482923938	1262.25269543975	773.13435621211	814.914145770924	1125.10958707804	924.055816868782	662.72879421129	434.063998963538	503.580845075414	323.215983810481	331.025785790762	615.252328912518	661.171108538554	239.517391774117	42.4353091520581	429.403551706797	1577.84710641073	1586.9688598009	1275.80263807254	805.627124101187	496.629675007355	655.193386838875	839.19445649568	1512.28070400745	1892.3645023538	1701.8640151408
