frechetCorrelationESS_RF	minPseudoESS_RF	medianPseudoESS_RF	approximateESS_RF	cmds10DMaxMcmcseMultiESS_RF	cmds2DMcmcseMultiESS_RF	cmdsD1McmcseESS_RF	cmdsD2McmcseESS_RF	cmdsD1CodaESS_RF	cmdsD2CodaESS_RF	cmdsD1TracerLag2000ESS_RF	cmdsD2TracerLag2000ESS_RF	cmdsD1RstanESS_RF	cmdsD2RstanESS_RF
rep1	679.365145901362	244.794669448777	729.963160300999	2568.33860957758	123.842874852587	14.8196984045358	34.4004787341345	18.563117602066	16.3991550018915	8.77383866764162	12.1375609740434	12.1583140541968	16.0537498057234	3.06313155199669
rep2	733.397650030239	267.627516782838	750.975141417523	2306.34847835613	195.833912625166	18.2287160525344	43.9572758838643	24.7975064913334	18.6645170895312	14.75129758365	19.9764743571568	12.7159550658154	21.5883479271358	10.109902625531
rep3	521.204680094594	197.11671341039	561.421551870682	2544.72147977043	189.279543128054	19.1226671970312	28.1587364333707	25.9665334834979	6.73040889239151	12.8230770020381	9.03600016648725	15.8992089179681	16.9231507844585	17.8730058236989
rep4	777.958114452389	327.251350528219	864.438379803757	2554.84082457266	130.022824342787	15.4161077256903	34.3180486097093	20.8766144739703	10.4338306154625	11.6675682313143	16.0611100044588	11.0670064934632	21.3628575975247	11.0165523494063
rep5	646.26936307927	266.86265910073	598.407428751334	2465.78483765347	128.302069073559	17.1350234825722	29.4528585583874	26.329802326102	7.59755536266017	15.9434229233753	9.5655364109599	12.4368933193924	14.700516770634	12.4930831354877
rep6	271.452097045124	150.16684493126	474.935733821906	600.752527994621	145.625667597644	10.6965339390774	16.9558997063596	13.6267953317171	5.66355691076647	13.7937822591761	6.43795462501702	9.43146803852669	10.8942759732023	6.33015565474297
rep7	447.161751200228	267.244637527437	715.941163348946	625.189816226051	128.224397930662	15.5910313997647	110.496262185676	14.6459795176278	25.8063584061826	8.4012081723824	16.6526758756261	13.5925175900849	17.7695754349928	16.9955081888571
rep8	235.066398869554	123.003735102773	417.29623928884	574.278180463199	136.459636866851	15.5124312623141	9.53234235719146	26.9080543571924	1.47577668986813	22.916842900058	2.8254102657222	21.4698310314472	1.37549378091163	3.67838278501678
rep9	317.549837448604	183.742295303482	566.499408301178	588.345309829496	160.659300639998	10.4805667111708	12.0332778020937	17.8849125701067	2.57235221403814	9.84260783760496	3.17081162277994	9.44426647400084	1.67605463642752	7.07474502712425
rep10	388.039740938895	175.684648753157	596.405758151699	613.754457597217	125.434098126762	10.4536506623845	18.841110938618	16.0381628938708	7.42086291761697	8.53134484375782	8.10142673670559	7.36168684100585	11.3718832627358	2.15936096130365
rep1trunc	332.95908488569	204.358872143278	588.964780236834	633.363214312065	141.369756657141	7.78614540341415	14.1764203529724	6.45433073578467	6.73961945567707	3.21815516410048	10.9479778669484	4.33225784099052	5.4909528883298	3.52903003245281
rep2trunc	299.733699041214	171.148026636554	461.621991886489	598.557510660198	52.471863453839	11.8721716937771	24.2743106759771	13.7025542942861	9.72251596243012	8.63202096314651	11.3184537819985	10.0894113105848	14.2466721671821	16.614266509576
rep3trunc	396.864304904179	223.534987859761	634.021048682665	645.293724912675	190.400147079724	16.0442174026158	73.0534432832932	9.29208726347881	9.09618870678343	3.74830665552785	6.75179917696186	4.72900558849248	2.87111881122225	2.58133092261341
rep4trunc	339.452202634787	185.091239017949	619.817291762978	677.991507969798	69.6968863959701	9.28732191760312	10.7992534629252	44.4447205381072	1.87331309617482	16.9552469590972	2.77345399647706	14.2947289879937	1.39926921067202	15.0794862547861
rep5trunc	270.223141542255	110.132475571597	448.680958558051	571.077932866924	114.945827660411	8.24846536357877	13.727672902157	11.7143047542251	4.49024847004627	9.03107069706836	4.06611135534454	6.47395486332333	2.62151941433609	8.72339157597704
