cp12.kappa	cp3.kappa	cp12.alpha	cp3.alpha	cp12.mu	cp3.mu	cp12.frequencies1	cp12.frequencies2	cp12.frequencies3	cp12.frequencies4	cp3.frequencies1	cp3.frequencies2	cp3.frequencies3	cp3.frequencies4	ucld.mean	ucld.stdev	meanRate	coefficientOfVariation	covariance	skygrid.precision	rootHeight	treeLength
rep1	8000	8000	7561.24193909891	8000	8000	8000	7810.57980693135	8000	8000	8000	7755.50886183705	7853.50023155044	8000	8000	4940.14334020222	6549.08077336886	4623.14600478215	7437.33331389691	7812.7924795665	4968.19320901952	7208.62964274284	3681.71527224553
rep2	7864.40166782254	7867.5779175594	6777.90456162332	7534.98992369879	7888.38422458089	7888.09573036668	7585.64180099763	7596.50874263854	7632.46130143545	8000	7342.25970234332	7480.86769080295	8000	7314.51043848244	5122.33596904351	6171.56697197989	4589.03283028749	6935.84084370909	8000	4591.85440643281	7489.76935768963	3224.26795498689
rep3	7858.42907737522	7909.71348706871	8000	8000	7724.74007539493	7725.21274937226	8000	8000	7164.32195762943	8000	7876.6933995432	8000	7849.24229744082	7679.10262949489	5978.86618748621	7448.46880307656	5383.01116220531	8000	7786.97986619984	4629.28789539805	7134.53335599893	3834.51664202278
rep4	8000	8000	8000	7887.01858386994	8000	8000	7025.38400667119	7767.61483055867	7604.46821574163	7890.92958286179	6715.31959099615	8000	7929.03997227939	7839.67706327501	5364.72788437134	6693.11490657386	5193.08327590623	7361.75310009787	7790.90543257882	4870.1411151552	7198.15259687099	3665.20910890812
rep5	7244.61733696048	8000	8000	7761.16760716776	7819.03034206661	7819.08332840605	8000	8000	8000	8000	8000	8000	8000	7582.52849451758	5490.16639585989	5981.67738870412	5208.94719502671	6609.29245197312	8000	4707.44661133296	7736.38497575894	3924.43747273828
rep6	1976.42100379196	1959.10079521246	1848.12291833891	1942.52521667466	2000	2000	1865.63074360975	1891.73078656602	2000	2000	2000	2000	1838.83440425469	2000	1397.34676618244	1730.10558210237	1343.46248532051	1873.87832330946	2000	1339.72600849703	2000	951.158922417522
rep7	2000	1858.23789922954	1669.20674292421	1909.62030763367	2000	2000	2000	1643.84652832168	2000	1912.24111305697	2000	2000	1939.31287038864	2000	1425.47840351538	1917.50584877115	1196.22296411651	2000	1492.50948748633	1202.09788476291	1927.17917465283	1005.24471554923
rep8	1755.92526624701	2000	2000	2000	2000	2000	1971.10748170084	2000	2000	2000	2000	1950.33433575799	1889.5115388878	1934.77772166141	1569.28939481799	1731.06803184565	1488.00551603379	1700.34160065993	1821.52794935635	1496.06357314373	1750.34370031149	1183.26573470632
rep9	2000	1963.46904880422	1974.48394747527	2000	2000	2000	1634.54223952096	1840.9008643278	2000	2000	2000	2000	2000	2000	1024.56312645137	1729.23493100334	952.726583072363	1103.72530689005	2000	1026.58246218347	2000	852.122524254579
rep10	1911.83817866574	1985.32061043455	2000	1836.49774142116	1791.69443058533	1791.52039328726	1996.67072947028	2000	2000	1974.97042560975	1902.36776139936	2000	1853.53399315367	2000	1159.5475926148	1523.55615777437	1151.89795813246	1683.0446783914	2000	898.044943071823	1634.57150558328	854.21785174034
rep1trunc	2000	2000	2000	2000	2000	2000	1901.92983090994	2000	2000	1872.8865509822	2000	2000	1913.33588154328	1881.59901672285	1265.26488073159	2000	1029.56440379592	2000	1852.10979437487	1147.8069184228	1677.47361055039	830.682173820403
rep2trunc	1756.90791832222	2000	2000	1835.41208309663	2000	2000	1788.29016921254	2000	2000	2000	1722.28310743524	1967.44514897308	2000	2000	1415.5881542633	1684.30673887779	1274.98506891458	1774.8523572283	2000	1127.60277027416	2000	767.179928976816
rep3trunc	1715.51237943833	2000	2000	2000	1821.86948828717	1821.9884432017	1879.27388954082	2000	1872.60656463856	1801.13200950009	2000	1973.35879822047	2000	1294.98828987448	1383.97236567149	1666.11663355291	1350.91186666782	1866.7825395114	2000	1184.60582227254	1696.18893181404	1082.49648176963
rep4trunc	2000	2000	1919.70600160558	1625.36160164742	1820.06539557701	1819.99517326164	2000	1569.20271858408	1799.0211096699	2000	2000	1908.62100413643	1926.08066175737	1941.73888362685	1394.09992131674	1712.59671279222	1227.5845280784	1915.5865037076	1994.64682193368	1125.29340218638	2000	895.646540136369
rep5trunc	1741.7618319679	2000	1987.08658347625	1859.90983408042	1713.57584319226	1713.58128574079	2000	2000	2000	2000	2000	2000	2000	1802.13770757963	1073.45451462179	1151.15539063929	1056.25747836855	1348.05324078016	1930.0713592431	1243.40577537057	1837.23163519553	824.027964801684
