posterior	prior	likelihood	skygrid
rep1	4769.43896642203	4735.8901863624	6840.74346745432	4721.93668293068
rep2	4856.97622053441	4655.14263401633	6963.02321669811	4613.22881980561
rep3	4772.90020445133	4350.09923822275	6745.90024089907	4341.49045182423
rep4	5075.04272806675	4709.97618868656	7236.33765307921	4705.61412139113
rep5	4854.76130505738	4671.83415630311	7022.23029906625	4660.22035234408
rep6	956.165300603346	818.14371220589	1860.2924929707	805.377863021166
rep7	1365.96811463161	1223.98202307116	1794.84098265538	1217.12233504591
rep8	1453.81788702451	1323.82489331663	1766.71513686635	1318.90417556327
rep9	1331.30163167887	1230.60363421083	1723.76233173635	1215.66477560518
rep10	1235.0713153301	1207.60094959712	1487.28866306826	1195.96967000249
rep1trunc	1189.10015966736	1227.05342851642	1637.19714483636	1218.79119812284
rep2trunc	1234.4646452825	1170.52223019066	1715.14743280931	1158.09888830517
rep3trunc	1369.78017448561	1269.58831251334	1734.14937254459	1274.88197730047
rep4trunc	1336.84246034804	1201.70769823672	1861.01669180959	1205.39644122903
rep5trunc	1058.13719952085	1238.99506423299	1472.83909568936	1230.98487093767
