skygrid.logPopSize1	skygrid.logPopSize2	skygrid.logPopSize3	skygrid.logPopSize4	skygrid.logPopSize5	skygrid.logPopSize6	skygrid.logPopSize7	skygrid.logPopSize8	skygrid.logPopSize9	skygrid.logPopSize10	skygrid.logPopSize11	skygrid.logPopSize12	skygrid.logPopSize13	skygrid.logPopSize14	skygrid.logPopSize15	skygrid.logPopSize16	skygrid.logPopSize17	skygrid.logPopSize18	skygrid.logPopSize19	skygrid.logPopSize20	skygrid.logPopSize21	skygrid.logPopSize22	skygrid.logPopSize23	skygrid.logPopSize24	skygrid.logPopSize25	skygrid.logPopSize26	skygrid.logPopSize27	skygrid.logPopSize28	skygrid.logPopSize29	skygrid.logPopSize30	skygrid.logPopSize31	skygrid.logPopSize32	skygrid.logPopSize33	skygrid.logPopSize34	skygrid.logPopSize35	skygrid.logPopSize36	skygrid.logPopSize37	skygrid.logPopSize38	skygrid.logPopSize39	skygrid.logPopSize40	skygrid.logPopSize41	skygrid.logPopSize42	skygrid.logPopSize43	skygrid.logPopSize44	skygrid.logPopSize45	skygrid.logPopSize46	skygrid.logPopSize47	skygrid.logPopSize48	skygrid.logPopSize49	skygrid.logPopSize50
rep1	5611.45138542067	5639.28526975711	6915.45575334721	7722.27398173949	6364.24099609518	4976.90510498734	5680.89759380187	8000	6731.51742094744	5194.09394877419	5084.28327039214	4681.64470308212	5516.27340364433	5494.44943697319	6284.29852420126	6240.38117054366	5190.70248139839	5452.45411358397	6199.59966747446	6986.06985886029	6239.73213370814	5230.43646529596	5156.15864136781	5478.74626414531	5427.81929875558	5683.82233064728	6545.80025764148	7088.79887932982	6845.54054907925	6440.64473598392	6990.20270840122	6352.03955806141	6952.8973541307	7492.30197362593	6615.69391936114	6026.9920905138	5781.20793781672	6214.37089124078	7170.76844072246	7582.57097202478	7614.25741809318	8000	7509.78172080899	7405.03170214057	7289.62103788797	7460.59746349764	7416.04471164319	7509.57983095461	7659.99063242152	7668.7602695246
rep2	4865.18325075813	4830.41154085596	6967.98991720439	7623.36776268669	6183.70821122504	4836.14503577103	5405.26050232457	7913.01873531193	6287.15446643429	5029.03015351086	4845.44956945053	5342.7223153562	5404.76036788855	5393.73238649577	5856.24567342312	5491.68269693106	4701.83216679643	4687.98547817621	6015.84659446029	7885.9648422259	6800.11148736817	5724.166914984	5263.23055383779	5150.36015398061	4972.58236633018	5071.24352353472	5649.80336272171	6442.53352733214	7027.86807649687	6585.16964658421	7908.99970862283	6759.6058455123	6814.79332960654	6900.19128258796	7201.18128824518	5841.94829807057	5987.86248223608	6262.37460670586	6910.85577543314	7930.47564738674	8000	7987.40906665378	8000	8000	7862.15535521506	6577.3615101696	7604.66038878881	7676.84404641842	7733.83186598285	7586.56236556648
rep3	4792.40916294586	4635.64967361798	6687.43650907996	7704.50756008118	6453.39391126019	4882.8481260662	5425.30219638977	7280.12670005399	6204.53746081365	4828.44264537875	4894.52476420627	4955.57474382533	4924.65449011978	4821.79164063187	5813.5532801234	5397.40272882575	4365.80201649076	5166.01967025511	6465.0313601216	7184.00492511801	5953.50833520007	5408.98158237334	4892.26446715193	4968.30000149317	5127.66462674845	5269.983127877	5532.69543523728	6356.36173012366	6917.5120159464	7094.82855276904	7405.59343846325	6204.82306143118	7709.18772628704	7701.51287846525	7101.49141073138	6155.45265904738	5998.24248879639	6337.57149267364	8000	7296.48595339418	7988.59763415903	7455.34177557085	6898.09843403005	7240.12689360645	7362.34976882124	7115.54870853278	7440.61552571738	6911.25206637347	6752.97586644877	6927.65379963728
rep4	5784.31984164588	4794.47324947603	6502.28421347275	7845.31678658694	6445.61530310101	4566.68900835544	5596.56967050021	8000	6434.53919360011	5497.61555833949	4757.94187054799	4907.00813728993	5372.24677597111	5346.11659032236	6203.00810694802	5266.49290047299	4796.25631418132	5432.28005320687	6025.194620905	7117.9045227917	7330.97336585313	5371.61136602671	5124.56311263073	5303.06208449843	5185.73487274588	5530.81667979654	6012.05063761345	6957.27255046095	7549.06852012821	7439.09929798736	7453.72192302991	6212.67746547527	7323.59554236368	7269.86927496086	7197.59809920634	5988.19854819359	5690.35564665737	6061.75650116933	6806.13395975195	7225.17404390574	7291.51283143792	7583.18406421471	7492.19194539031	7852.67436695379	8000	8000	8000	7279.9911802683	7351.45010324484	7566.85396653878
rep5	5603.5826361786	5207.550411714	6661.41942743732	7308.4619875986	6255.562975612	5602.97887888876	5760.18260212193	7213.32325264833	5985.75070434791	5506.0013797889	5465.76746215377	4755.96160896504	5516.44611365419	5701.09142168753	6649.52431729386	5502.91771676273	5134.40568531052	5379.17489551394	6070.09738847439	7485.37699260968	6760.35311044655	5693.99657991552	5591.8851924765	5289.72609180334	4802.6567093035	5040.92299234057	6263.12977520981	7097.1684844663	7114.62166108862	6908.81892879912	7664.40321389325	6727.4864065764	7291.36032528204	7457.50560636941	7101.85989510334	5247.21005546761	5480.79531222072	6305.66929624422	7495.537937446	7045.53524703437	7304.24009959859	7690.73150701084	7774.4221976155	7629.33923726986	7502.89662645047	7006.23459620754	7101.99129853605	7925.72612536909	8000	8000
rep6	1426.57911541974	1317.0072395975	1300.96478972197	1932.06408180957	1529.0098399386	1073.14924348418	1039.17684240104	1852.08297082823	1709.43902496416	1457.11510240952	1347.94302784045	1420.86676493232	1490.91164144161	1386.39690789738	1458.43846056473	963.211839878424	925.352087674601	1569.80745408471	1470.09222160641	1986.13068461962	1745.19726242057	1316.64465311317	1410.06126091054	1337.54220230795	1282.51885272924	1348.4866142031	1704.62111720401	1863.92527423475	1875.50726449162	1836.80204418455	1761.84250292411	1701.82517796603	1701.37579359745	1889.48571833629	1789.85565386647	1275.18570295769	1374.36871688887	1503.30943371151	1831.48619143157	1735.94513232219	1766.11691616706	2000	1972.28279433232	2000	2000	2000	2000	1923.75768664882	1706.3807195028	1725.01478826239
rep7	1451.77236201059	1083.73759826452	1835.54990375439	1800.61551616402	1413.58156129262	1364.32964859279	1506.05878310254	1499.33661330299	1517.48489740206	1394.80177067349	1425.44545277761	1251.35182681902	1468.4633076233	1432.79423335304	1620.56212754122	1501.45190605074	1243.46883893448	815.035871290567	1586.70509154342	1740.74360372761	1360.51229931068	1477.38300944601	1644.06822033484	1287.7944662967	1470.64553800893	1361.45914223955	1692.35245493432	1491.54754274148	1866.61532766867	1883.16955591422	1798.53170378927	1696.27776150121	1879.35347900127	1928.09206697361	1637.06724813207	1179.85407036471	1585.37851847335	1697.38999816127	1706.61459473748	1809.15607402467	2000	2000	2000	2000	2000	1932.40655618632	1853.50045912222	2000	1906.67876517988	1887.46619539208
rep8	1295.69477414342	1137.73112581005	1340.32615773206	2000	1757.06291512598	1280.38940556352	1403.28031543253	2000	1580.68968509412	1496.4989388185	1338.0365234031	1384.10914183487	1325.7476156069	1526.68180897376	1542.43155728198	1511.45216240651	1121.42849598179	1407.26363265856	1471.09799450441	2000	1652.67510508616	1480.4375421633	1265.62177270842	1350.64689055109	1268.30424821116	1431.0296567264	1674.20563339795	1901.06562578313	1815.29063106263	1639.2476509907	1676.072506383	1763.61618957195	1923.55409572907	1899.10953914222	1485.46548864533	1498.16242794955	1613.3509374983	1454.70562715703	1535.2205557228	1862.75126386832	1869.42722074739	2000	1798.38168837681	1755.9113641994	1744.53792933763	1791.93456276124	2000	1743.0309549821	1821.70133570834	1761.1408656966
rep9	1485.49611318492	1434.00218485539	1628.22574187828	2000	1639.72317834965	1219.76426851097	1456.82927884691	1726.51042093852	1409.82477253676	1261.47493819159	976.746214837741	1035.5682383186	1229.41117327634	1226.77552846295	1370.24484469469	1369.27096838524	1148.2020412403	1240.48628103124	1449.83056978693	1792.08140400481	1654.6151146546	1346.15421168076	1242.199153955	1310.90533508244	1293.2617197891	1231.27276650918	1622.73053808235	1638.2479373913	1794.58893172956	1872.38741700055	1227.1141779939	1679.0844342482	1904.53854342974	2000	1743.11466654348	1626.72127726064	1791.17408101783	1710.458291001	1921.14113641895	1774.33704118481	1510.31333433332	2000	2000	2000	2000	2000	2000	2000	2000	2000
rep10	1478.71472321564	1290.83802660255	1655.87574691647	1791.36542807128	1663.59604502389	1227.43467700505	1449.10324942233	1992.87934623568	1477.76847376222	1429.99772419122	1183.24358243434	1202.97329464401	1386.28079075819	1314.951391636	1622.37530492734	1196.13670158849	1333.13151300165	1238.34024504467	1475.68480599518	2000	1640.02819752328	1473.81576933408	1400.35166424691	1238.66146258806	1217.36118646718	1462.60022357766	1470.37770769299	1429.34413390408	1715.83648937872	1827.51516347227	1707.89517893817	1542.42205097206	1335.68074034647	2000	1841.88990067578	1526.64906899681	1491.13253598267	1529.19662816817	1635.15500223007	1592.08114044583	1804.71166233176	1669.72053644181	2000	1883.20459725419	1934.24165406312	1834.72595413177	1827.32611619106	1563.18382317584	1581.5371408661	1683.56884593173
