frechetCorrelationESS_RF	minPseudoESS_RF	medianPseudoESS_RF	approximateESS_RF	cmds10DMaxMcmcseMultiESS_RF	cmds2DMcmcseMultiESS_RF	cmdsD1McmcseESS_RF	cmdsD2McmcseESS_RF	cmdsD1CodaESS_RF	cmdsD2CodaESS_RF	cmdsD1TracerLag2000ESS_RF	cmdsD2TracerLag2000ESS_RF	cmdsD1RstanESS_RF	cmdsD2RstanESS_RF
rep1	7834.30671357722	5603.85453942055	7989.34859734073	7999.99999999022	7615.81262274302	7323.21882351201	6899.72221551353	7420.87248962911	6397.14912686347	7380.20609939631	5130.62762144114	6422.8335252043	5703.0050715287	6510.76978199967
rep2	7672.4579004162	3570.95579966487	7634.80557423956	8000.00000000443	7582.79063320885	7549.99907427572	7335.00109802639	7771.73449633909	6977.86446469077	7455.94233174281	6743.52932699406	7136.09032212041	6958.43671924471	7436.68866943156
rep3	7878.74407777834	5709.20286906673	7999.99999999982	7999.99999999733	7588.22711897538	7439.05786991932	7521.92613702651	7957.82468965631	7394.73767629021	7284.30696658401	7310.05118429471	7308.25017765378	7364.93386507975	6769.61026994656
rep4	7836.58919031494	5343.52914906226	7728.05062077124	7999.99999999022	7680.29957347842	7680.29957347835	7542.55666545598	7796.55694342186	7442.90463671634	7368.99117328974	7361.4416930188	7111.84469299108	7417.15592275645	7192.31148373057
rep5	7846.66773973965	5405.60355889832	7999.99999999986	8000.00000000443	7613.78701325942	7528.51303851977	7559.26631102099	7368.32931541173	6995.05928965907	7041.64807430732	6724.77156594978	7076.26506344031	6885.56381861677	7182.24362219854
rep6	1962.05467180739	1473.78900214365	2000	1999.99999999978	2000	2000	2000	2000	1724.37563998893	2000	1645.0098618833	1918.90701426156	1667.57813370794	1947.68415046632
rep7	1969.85668652074	1492.20388766677	2000	2000.00000000022	2000	1968.71379291112	2000	1898.10976468105	1875.80070156601	1768.12468057195	1923.14898948403	1777.25681439811	1885.65751620691	1781.33903808925
rep8	1953.07263665487	1446.94056829733	2000	1999.99999999978	2000	1914.79840679552	2000	1913.1861018042	2140.05280711669	1561.2904784329	1831.56058390954	1489.79097625869	1849.89110744034	1588.4402880518
rep9	1971.51906679396	1475.76128553871	2000	2000.00000000022	2000	1895.52530077989	2000	1887.30251099664	1647.18990563059	1802.54698610244	1671.78725522185	1815.13997146356	1697.04066841114	1815.87419829038
rep10	1968.43979226014	1473.2238254213	2000	2000.00000000022	1938.84259185952	1796.42966052801	1840.22919101162	2000	1584.46420878978	2000	1460.41117482933	1857.61915924886	1449.73770273662	1907.60404932165
rep1trunc	1970.38109319373	1408.06389635721	2000	1999.99999999978	1924.66993377839	1918.3985079274	1903.6786869861	2000	1756.4624796797	2000	1708.47260355366	1975.76852933649	1676.82566982167	1898.74397166725
rep2trunc	1954.6972593473	1240.84062317187	2000	2000.00000000022	1974.0357899512	1929.22858098672	1933.07525201672	1925.30178558447	1816.66641076202	1785.53336019248	1583.48797452518	1750.08159079953	1611.41784695778	1785.92627834518
rep3trunc	1951.46153155307	1374.2486879362	2000	2000.00000000022	2000	2000	2000	2000	2000	2000	1872.68944193484	1819.81852022552	1890.28805238162	1862.96502875314
rep4trunc	1958.26056144091	1325.99121814324	2000	2000.00000000022	2000	1955.10468273304	2000	1978.13679244328	2000	1816.9195648335	1872.94717144683	1544.14216971745	1890.49350544684	1770.65378570361
rep5trunc	1971.14470797395	1226.34344826332	2000	1999.99999999933	2000	2000	2000	2000	2000	1873.65010066617	2000	1534.47769896704	1922.4802844013	1595.13657439751
