posterior	prior	likelihood	coalescent
rep1	276.125000171575	144.762871623746	167.434111596157	144.734755137737
rep2	57.7927251404568	30.4871482622332	65.6672434057507	30.4820792064618
rep3	503.321135758848	337.279150036648	475.695417556378	337.302407820185
rep4	343.898534821989	265.432491054915	270.965549527603	265.386976929279
rep5	451.50781189213	340.533744987579	460.242396015872	340.364331026075
rep6	224.963756722646	200.318621657615	203.544376384181	200.303622860157
rep7	173.318707490831	73.0867889565814	13.4258161172734	73.0719639891858
rep8	166.945543073925	110.565351987051	128.732234674846	110.574190184592
rep9	191.109603906655	95.4923589790108	68.525346751356	95.5200722260036
rep10	161.493012918013	190.493248087609	128.514387672676	190.517190475761
rep1trunc	98.0845589949066	97.7839937957516	169.528220573157	97.7906953119005
rep2trunc	135.841820095228	96.3331773617484	156.279619545006	96.3194600517276
rep3trunc	94.4770929534189	65.1166499671085	124.845046038962	65.1290488692312
rep4trunc	131.93273318425	66.3618613511953	86.3344782055786	66.3456861865547
rep5trunc	147.688462406768	146.515510781849	215.815589937001	146.554637972511
