frechetCorrelationESS_RF	minPseudoESS_RF	medianPseudoESS_RF	approximateESS_RF	cmds10DMaxMcmcseMultiESS_RF	cmds2DMcmcseMultiESS_RF	cmdsD1McmcseESS_RF	cmdsD2McmcseESS_RF	cmdsD1CodaESS_RF	cmdsD2CodaESS_RF	cmdsD1TracerLag2000ESS_RF	cmdsD2TracerLag2000ESS_RF	cmdsD1RstanESS_RF	cmdsD2RstanESS_RF
rep1	296.016135705143	62.9965060846423	188.034158178066	8000.00000000443	64.6572857164132	38.1263002962514	42.8525059921238	67.2599981120738	14.0856270362784	53.4771336740827	10.2631165869735	11.5837025114522	5.25375477699829	9.28342932433246
rep2	283.434584634309	61.1822349672244	208.939618611065	8000.00000000443	48.6911106283985	16.4376131165609	17.5862697096977	60.0568612977801	4.74791487290747	29.7036908450608	4.52872981121059	9.53605074841331	4.36363293375332	8.18354385889244
rep3	349.695182829177	95.9223085444501	241.71195805094	8000.00000000443	74.5186008455885	55.9316289874274	74.5186008455885	101.690556022255	26.3165600967788	73.214464591593	9.36179485762604	17.8600684139407	9.6807828475586	16.5783411550484
rep4	167.59390654999	32.9883610312044	80.8916042802992	7999.99999999733	105.463639765689	9.74311303375671	15.0993125241818	6.23544407878858	5.01219534446817	3.44678740290893	3.62775000512551	3.72057514033197	2.31145145429689	3.26287982402339
rep5	312.956447993042	86.6572546737693	243.681431247091	7999.99999999733	99.6649692761345	62.7331354357402	81.2693333542212	104.758310121231	19.6090648154991	93.0578423688796	8.63144027151634	23.5997562933129	11.1935885737786	9.04875156496776
rep6	133.799522063889	35.2737605854111	102.723421595541	2000.00000000022	141.738015911457	64.239317528621	141.738015911457	51.4081413067026	100.272713918142	49.7476085980832	34.9866798670986	28.7012639013644	62.1278012337494	7.23734711768951
rep7	90.227560369001	17.0818308198189	39.680728107589	1999.99999999978	89.2063770792319	9.16234085644467	6.01468832333714	6.10507566023678	1.46558289364422	2.15272573266439	3.21735054002401	2.89222546370305	3.40703929628715	1.51063864749011
rep8	158.533367644909	58.7545565077625	143.955903268795	2000.00000000022	73.7916203267604	36.5404333886001	63.5660658325849	50.9859005929006	27.3232990652251	39.8071933352864	6.60087317805067	27.5517746494489	2.1055808697924	28.5222076084181
rep9	150.984274850289	56.2412879948566	126.711306036451	1999.99999999978	68.491937553864	25.5142078333614	68.491937553864	33.2290163731871	21.4348172969259	19.0650467184009	13.2674341880156	13.1291602074015	15.2891296295275	16.2922539345849
rep10	160.001464899417	47.6654288162898	143.218021688712	1999.99999999978	91.9966908392699	32.164216460301	40.587960760733	58.1895529994375	17.6658291158327	49.4684473589531	5.59592760051891	33.0133186665397	1.65672618014543	30.9604797407264
rep1trunc	140.098600173463	43.0716858823995	108.917390198525	1999.99999999978	75.8160368886336	30.6504273734045	36.1839873614872	37.8528078653816	16.7829365125045	18.971170296826	10.0806148530163	8.08574074057489	10.2081434470129	4.28116351002215
rep2trunc	151.92008049019	43.645546198153	131.660431279293	2000.00000000022	88.827819683666	41.7345105895458	88.8278196836661	45.9486816039429	53.6436443594317	27.5874850894473	17.126568470303	9.61849328694129	23.2899878001911	3.63380931392467
rep3trunc	155.7847140697	51.330345632356	133.67464625464	1999.99999999978	80.2862025874643	37.4588342527897	66.2691743027098	27.6185436191322	29.6792916715203	19.3450730634657	24.8224207765364	5.62383785814249	20.6506567734839	2.36682758527721
rep4trunc	150.550347886403	38.8489818761382	116.470468159886	2000.00000000022	87.8839836417531	24.8936307047289	30.2930994411984	31.3465674855952	10.0985655162283	14.6676058868968	7.37226898845661	12.0516164013005	8.5706791036809	11.1547085592804
rep5trunc	139.809227424432	41.2775116436828	114.71077035669	2000.00000000022	116.272729028857	28.30392971679	29.189712635371	34.8926097701722	5.37618932604392	19.8091841230691	4.93933768464379	7.57001013428171	3.17083154990135	3.0185415309244
