cp12.kappa	cp3.kappa	cp12.frequencies1	cp12.frequencies2	cp12.frequencies3	cp12.frequencies4	cp3.frequencies1	cp3.frequencies2	cp3.frequencies3	cp3.frequencies4	cp12.mu	cp3.mu	clock.rate	constant.popSize	rootHeight	treeLength
rep1	5697.22035132704	7408.81308859992	5393.36294694805	7239.61678665411	4781.49825139355	7415.32886380397	8000	3539.21417400458	7280.36982285886	5823.77167984407	6004.48757725864	6006.06138247697	300.133067027039	232.761245197793	4334.99970960536	179.314354589707
rep2	6042.42565659699	6497.87761971076	6761.13476070232	1986.437815343	7712.93419594203	6034.79366761948	6767.16729104339	3610.37172334196	7284.13134453471	8000	6576.59663651489	6577.81009711757	282.892373304589	280.601747281745	5098.73966693808	174.769997563715
rep3	3167.50346888979	6100.68864826191	7396.3705932318	5557.99164229629	7994.46836827241	7546.77216380299	5764.48552126883	4866.46889308192	7939.55526826139	4659.55749804761	2472.73369094869	2472.14941379101	407.676459528475	331.688374874377	4971.34114090219	237.906032530295
rep4	7677.35500401161	5055.90997006256	6054.65316335451	3622.20806884341	4231.46742544992	7268.82857528389	7842.19006682869	7399.30808976895	6342.0692652301	5969.47608552189	3973.40311227705	3971.66317214648	59.9685726119103	88.8392498182487	4394.51521835701	44.6241032196893
rep5	6444.13370680447	6148.04382058905	2636.85031627621	3741.55230066017	8000	8000	7704.47935339343	6531.96264891392	5756.69028265157	7370.73678400831	8000	8000	424.93413131483	94.6717140867058	4355.30016412768	74.7082995806468
rep6	1749.10492288461	1558.84423392192	845.080289299616	1965.70322955412	1284.41817687745	1799.74943503124	2000	2000	1732.18516642168	1850.79356494201	2000	2000	206.957035281307	151.510819999745	1078.7140498168	108.14712995982
rep7	1904.19805095991	1710.33069403927	1344.74294308896	1622.97324404033	1740.1839055555	1459.47181614774	1857.74552918787	1438.496452185	2000	1875.19896227927	1280.5605582305	1280.49014775421	86.3338918425256	89.5476653484941	1029.73667013974	55.3116464529777
rep8	1832.75912415578	1401.6209606286	1978.71303402179	2000	2000	1724.02775139318	2000	2000	1417.14831324424	2000	2000	2000	112.590295231817	101.762682650483	1071.56581581235	73.0639135422849
rep9	1986.7519169116	1654.76661823127	1616.76830616186	2000	1735.47912159123	1728.00805278237	1476.51033733966	1841.22089818356	1168.96154715548	1559.98323915207	1972.18263263172	1972.35863966909	183.440709176506	159.537669858558	1261.23226184449	120.995199149094
rep10	1897.29483759487	1699.84017360657	2000	2000	2000	2000	1104.05688777937	1264.83617928926	2000	1920.68838346731	2000	2000	157.223546958103	127.359579178948	1449.44783980935	92.3157145224662
rep1trunc	2000	1835.14839105168	1222.71071307088	1587.08093883469	802.807514068416	1925.95337885605	2000	1535.14033753475	1761.5242685482	938.073655307998	1762.12827648394	1762.19199092022	242.562213226926	185.106629453012	1089.76318199151	117.209074436436
rep2trunc	1653.11230259598	1557.78979545156	1545.35256249678	1788.60903426619	2000	1552.44260346821	1638.5795528031	1675.70548683586	1741.43497512715	2000	1967.62847478928	1967.122723924	203.264692922644	129.108775322254	1580.85319971805	86.8357609221436
rep3trunc	1240.60382269423	2000	1888.70280373291	1127.11795699774	1951.37319871746	1599.23452934851	1525.56311192897	867.567703405491	2000	1722.17274428828	2000	2000	157.460664693583	129.513374651461	1189.48896943567	92.730586891173
rep4trunc	2000	1813.22835049824	770.462394877489	970.889906061016	2000	1800.10669732278	2000	1935.87554443496	1962.53515640232	1396.53291112328	2000	2000	43.4475473227555	40.1156486590034	983.943282740845	36.1620095277273
rep5trunc	1916.57071021358	1600.75389676774	1887.06530343494	2000	2000	2000	1854.11269192837	1816.50861206782	1898.73117949226	2000	2000	2000	169.017538698273	91.2159029179002	1654.02608020893	71.0174529891591
