cp12.kappa	cp3.kappa	cp12.alpha	cp3.alpha	cp12.mu	cp3.mu	cp12.frequencies1	cp12.frequencies2	cp12.frequencies3	cp12.frequencies4	cp3.frequencies1	cp3.frequencies2	cp3.frequencies3	cp3.frequencies4	avian.rate	equine.rate	galliform1.rate	human1.rate	shorebird1.rate	swine1.rate	swine2.rate	swine3.rate	skygrid.precision	rootHeight	treeLength	tmrca(equine1)	tmrca(equine2)	tmrca(galliform1)	tmrca(human1)	tmrca(shorebird1)	tmrca(swine1)	tmrca(swine2)	tmrca(swine3)
rep1	7486.83157702721	8000	8000	7985.44075393333	8000	8000	7720.76552615163	7922.71961753646	8000	7439.4436168536	8000	8000	7612.61206336093	7870.20820236113	6514.18816212992	6319.41783568682	8000	7461.13137954164	7169.81150551025	7859.10315867027	7286.64930983564	7140.82096771629	8000	7879.13321468047	7586.72083393778	6128.97858241553	7634.78320176256	7896.9366442224	7479.68950138218	7053.28588162724	8000	7567.90470861098	6376.80103014586
rep2	8000	8000	7358.32401777059	7106.92080037217	7799.33920772838	7799.44766327469	7887.55003694945	7477.93754461693	7929.36177154188	7726.91634585148	7139.72795114379	6926.41499459153	7699.03339671641	8000	6712.23425106683	7099.4877181237	7903.52717618328	7832.07362452345	7346.09095658994	8000	7645.31037936839	6703.44076708063	8000	7531.55063334651	7108.28541600025	6686.55986446849	7528.87793008589	7692.5126875963	7539.52324191406	7320.69048877695	8000	7666.05623822345	6133.82895976333
rep3	7237.21700838424	7591.07013796905	8000	7903.23517228927	8000	8000	7575.4204045106	8000	8000	7277.86328852615	7094.04387714219	8000	7529.27894850554	8000	6948.75644637841	7049.18723945819	8000	7421.16878573186	7119.89878152811	8000	7976.72465957496	7242.41696868973	7845.0102218703	7327.23053400948	7121.76684051545	6743.05861421177	7926.36341972159	8000	7743.78373514855	6409.28193312638	8000	7810.20321236094	6695.93536967326
rep4	7817.88472526488	7782.74090934119	8000	7362.66580633968	7788.82287950739	7788.27168523844	7503.34523431148	7956.4358442935	8000	8000	8000	7953.57974370246	7925.44283583572	7816.32625667993	6793.68587479611	7010.02262399367	8000	7114.06005054275	7453.10945732085	7890.47791634657	8000	7364.33284624445	7671.18024774773	7561.57327023578	7342.86556556821	6747.64783038993	7452.19715694255	7968.68704288908	7431.66778102043	7422.00292950301	7340.40099791951	7472.03503110058	6567.06123639827
rep5	8000	8000	6394.64179733414	8000	8000	8000	8000	7717.35594091213	7550.80714001017	8000	8000	7977.93254836217	8000	7967.18514894732	6657.40734753496	6517.1918183795	7900.00960853867	7770.80872177837	7113.20782940669	8000	7494.65835865032	6855.51941504068	8000	7909.52881327792	7594.27573016389	6082.19401846583	7022.02598908724	8000	7894.77609065767	7164.10599422768	7577.13369692341	7780.28157304277	6086.32748324797
rep6	1612.22129183303	1756.96629331601	2000	1993.88249958826	2000	2000	1844.95837505921	1820.43559972193	2000	1777.52873290055	2000	2000	2000	2000	1778.63255961304	1741.79910863415	1831.35443704038	2000	1688.22595688066	2000	1968.51091761713	1739.12606088001	1985.49512748642	2000	2000	2000	1747.36073550311	2000	1864.66884508197	1526.4247409842	2000	2000	1737.11972655852
rep7	2000	2000	2000	1857.40296496901	2000	2000	2000	2000	2000	1559.27247295079	2000	2000	1817.31990178018	1992.75445923064	1874.02614543158	1642.02477298872	1846.73218125256	1738.70238033744	1838.73279535868	2000	1656.64274809823	1676.62342386118	2000	2000	2000	1585.72113540681	1762.82765949234	2000	1783.1781626624	1682.49937013278	1965.12716977748	1876.416859069	1601.77194175753
rep8	1925.04365325288	1632.70891646996	2000	1801.16806936858	2000	2000	1933.48385189026	2000	2000	2000	1713.85904688747	1945.76877067355	1785.53443852043	1831.0818714205	1577.77920389735	1830.50431914712	2000	1624.42076620781	1795.79882500737	1833.42747800849	2000	1768.11124522372	1669.67618110766	2000	1791.35723084082	1555.39704677688	1875.86551170366	1144.14406199969	1702.30391272813	1853.59258303449	2000	1843.09184813759	1702.64738456773
rep9	2000	1654.55540163002	2000	1519.30430959883	2000	2000	2000	2000	1664.8332104874	1984.60250519323	1910.50617915115	1543.05941651075	2000	1918.12004963926	1636.10863494635	1567.99257181591	2000	1901.91182344864	1843.12613912792	1898.71606543237	2000	1576.58194377941	1621.40145738882	1965.75681175563	1971.3917964618	1750.09776587184	1613.67801765302	2000	1558.84703742531	1572.12119600395	2000	2000	1459.18055284815
rep10	2000	1705.89619534373	1990.76315281396	2000	1873.01015705002	1872.66136559157	2000	1873.3072597611	1982.46212177261	1749.90380879472	1985.95635950908	2000	2000	2000	1707.42839644584	1651.39633833707	2000	1902.86309494167	2000	2000	2000	1594.8560131464	2000	1981.53915411297	1906.33110972883	1830.84697275948	1887.47949237658	2000	1915.91406327059	1685.92523615601	1821.03304264117	2000	1645.30524760423
rep1trunc	1970.31044933986	1716.98889180262	2000	2000	2000	2000	1979.51452073987	2000	2000	2000	2000	2000	1986.49144010325	1947.32215352881	1825.98747811115	1570.98715027466	1877.91334730356	2000	1892.91619035752	1935.57648411876	1650.13460993361	1662.40332031461	1866.9654759408	2000	1821.45717404566	1736.46709956364	2000	2000	1807.09638741572	1498.00008614391	1948.7379151921	1879.52378910261	1441.98466886341
rep2trunc	1983.91160950677	1818.46106279104	2000	1786.16327359804	2000	2000	2000	1784.04856206435	2000	1867.27821206643	1523.80952018614	2000	1929.04178468597	2000	1588.35399499286	1657.98373501002	2000	2000	1721.90846883666	2000	1746.32940090921	1527.16061594899	2000	1829.76519311497	1756.29077968759	1735.62243834529	1894.9843647705	2000	1818.74955144553	1863.39326130443	2000	1918.13596464827	1495.66239948495
rep3trunc	1950.94772201792	1763.91203214345	2000	2000	2000	2000	1934.06655559354	2000	2000	1986.45525108895	1675.30185311617	2000	2000	2000	1737.8490651642	1923.65840390022	1974.33451310604	2000	1418.96414979831	1992.60572420895	1883.79751568493	1783.75933029468	2000	1501.30312185408	1529.24395257732	1756.60777936196	2000	1944.05716471982	2000	1781.09458356174	2000	1838.00800892762	1658.72012514989
rep4trunc	2000	1796.66134611875	2000	1578.93200779814	1861.04913253905	1861.28300883545	1745.26355247364	2000	2000	2000	1741.5450607485	1734.55973689926	1839.30653494903	1941.25233385585	1778.8378771337	1695.62654856772	2000	2000	1981.58452148539	1959.31787328427	1997.35777689712	1836.90316335045	1882.61414286044	1551.24083919014	1413.73207519716	1773.15864662108	1912.37727848259	1942.60243406952	1961.15403880339	1564.82242718697	1973.48253878532	1846.35571987281	1875.28749948981
