posterior	prior	likelihood	skygrid
rep1	7942.67209393334	7397.0440932333	7706.57085175886	7418.07195668558
rep2	7764.43687261162	8000	7552.20636290638	8000
rep3	7705.8321500961	7103.18693676212	7514.00585264429	7114.89891340298
rep4	7766.17202031795	7350.56637805642	7787.75664641533	7355.12031750259
rep5	6959.77435160873	7170.1741244483	6061.2359063599	7215.81259565735
rep6	1492.94917209176	1430.13950333831	1657.08137020732	1438.46469713646
rep7	1861.12798693466	1770.14375934744	1935.89196721103	1777.44457742552
rep8	1940.56659548011	1864.55333736005	2000	1879.02158253256
rep9	1822.0428633736	1800.04023856906	1951.87095519106	1798.54653682854
rep10	2000	2000	2000	2000
rep1trunc	1831.8909625901	1880.00075774427	1624.3626484377	1881.46570100642
rep2trunc	1965.50615081997	2000	1924.7473739258	2000
rep3trunc	1750.98213658316	1971.83831512576	1602.1310007088	1966.66747654853
rep4trunc	1729.38874837262	1814.820221684	1916.06066980148	1813.07111627057
rep5trunc	1906.684203132	1888.48600263874	1837.53597861055	1887.86528939714
