skygrid.logPopSize1	skygrid.logPopSize2	skygrid.logPopSize3	skygrid.logPopSize4	skygrid.logPopSize5	skygrid.logPopSize6	skygrid.logPopSize7	skygrid.logPopSize8	skygrid.logPopSize9	skygrid.logPopSize10	skygrid.logPopSize11	skygrid.logPopSize12	skygrid.logPopSize13	skygrid.logPopSize14	skygrid.logPopSize15	skygrid.logPopSize16	skygrid.logPopSize17	skygrid.logPopSize18	skygrid.logPopSize19	skygrid.logPopSize20	skygrid.logPopSize21	skygrid.logPopSize22	skygrid.logPopSize23	skygrid.logPopSize24	skygrid.logPopSize25	skygrid.logPopSize26	skygrid.logPopSize27	skygrid.logPopSize28	skygrid.logPopSize29	skygrid.logPopSize30	skygrid.logPopSize31	skygrid.logPopSize32	skygrid.logPopSize33	skygrid.logPopSize34	skygrid.logPopSize35	skygrid.logPopSize36	skygrid.logPopSize37	skygrid.logPopSize38	skygrid.logPopSize39	skygrid.logPopSize40	skygrid.logPopSize41	skygrid.logPopSize42	skygrid.logPopSize43	skygrid.logPopSize44	skygrid.logPopSize45	skygrid.logPopSize46	skygrid.logPopSize47	skygrid.logPopSize48	skygrid.logPopSize49	skygrid.logPopSize50
rep1	7839.72090460479	8000	6900.30044743572	7649.32914115569	8000	7508.60175866369	7520.91624599035	7808.33169187114	7492.09381541478	7692.48199752426	7527.74578967258	7813.95461328673	7451.08430352492	7759.9717773545	8000	8000	7398.95335867484	7599.51661440991	7662.86535241333	8000	8000	7735.64363361453	8000	8000	8000	8000	8000	7970.00790068538	7399.91505569583	8000	8000	7841.66768836644	7632.38065407868	8000	7942.19845608367	7769.87651940427	7561.50671034662	7478.51932950417	7664.44828132285	7619.45840235091	7414.50250480922	7355.37004368374	7273.4366179117	7256.98152443602	5955.09390523966	6351.90424915417	6310.73420341343	6155.57784948447	6665.14563416862	6677.47343448239
rep2	8000	8000	8000	7957.20483646217	8000	8000	7828.85424954279	7775.90738617102	7554.81362922038	7977.8218219753	8000	7700.06379305951	7420.90316059055	8000	8000	8000	7634.37964701958	8000	8000	7621.08423939255	7843.58507854072	7680.67019704516	7862.11428286148	6512.38797484691	7406.60126287326	7078.38853682826	7859.46110114746	7827.41650422757	8000	7792.96776184547	7786.97589722638	7647.4302140702	8000	7977.46894063837	7910.42280435992	7249.41470999246	8000	7998.43515905499	7923.91315948784	7964.56425998659	7110.94968866028	7846.76948854897	8000	8000	8000	8000	8000	8000	8000	8000
rep3	8000	8000	7200.99996522288	7850.12612838066	8000	8000	8000	8000	8000	8000	7478.06854562312	7663.26532261207	7788.12509170934	7294.2445636601	7651.85401769705	7674.67572619795	7690.64760023944	7509.15415632012	7730.0325284699	6422.53708548131	7785.33433698127	7219.05286310206	8000	7904.06781940735	7946.72330821806	7669.92665367424	7588.03139471257	8000	8000	8000	8000	8000	8000	8000	8000	8000	8000	8000	8000	8000	8000	7621.99269157539	8000	8000	8000	8000	8000	8000	8000	8000
rep4	7579.46471879564	7558.2361023426	7952.87719998941	8000	7573.47483716843	7680.23702001681	8000	7916.31751708768	7480.26929991745	7357.28385589247	7781.15241382287	8000	7483.88512773777	7585.76508603211	7545.00579303479	7895.2192206827	8000	7798.75383395711	8000	7509.93081269664	7672.36796547188	8000	8000	8000	7903.4089613937	7741.38863242277	7637.85408553892	7341.1317552241	7847.71886488572	7469.45779771717	7343.3428258736	7482.74573211433	7395.68245563762	8000	7780.74514781724	7477.2139240577	7479.2014668143	7289.64455581161	7419.4638421248	7275.05537079943	7370.84631214042	7022.88168891967	6810.52105628837	8000	7799.56178907468	7793.50807777378	7481.0606306991	7817.89298974092	7787.23296237601	7728.22612770761
rep5	7589.40052250635	7361.26970266022	7702.34164855206	7479.11605041867	7205.78388180663	7673.15705848876	7637.04209225942	8000	7752.39281218751	7910.07789385663	8000	8000	8000	7985.50404167809	7385.21884713299	7666.95345943093	7585.76837374203	7667.9106458361	8000	6027.89096662882	7733.85349726237	8000	6872.71801116599	8000	8000	8000	8000	7297.40264541497	7796.89118115935	7719.71981677323	7347.04251351193	7597.91283756383	8000	8000	8000	8000	7964.79432273403	7932.62503421594	7713.27167477157	7852.14889342986	7731.84267763558	7792.85965098614	8000	8000	8000	7504.62060339377	7388.95836686382	7278.8429184469	7529.39584115258	7062.37400328332
rep6	1618.4681894756	1683.60044618195	2000	1851.31636375409	2000	2000	2000	2000	1842.76968443464	1984.20847292346	1846.99549653509	2000	1853.87804930244	1824.56027537815	2000	2000	2000	2000	2000	2000	2000	2000	1955.54109163305	2000	2000	2000	2000	2000	2000	2000	1943.35235495523	2000	2000	2000	2000	2000	2000	2000	1993.46924905247	1971.68480010466	1939.98338654898	2000	2000	2000	1665.01439244709	1645.74506417014	1804.71167181716	1679.61598756047	1651.46461612416	1543.73738802878
rep7	2000	2000	2000	2000	1890.67970257662	1896.30317001442	1881.09202755479	1807.21818824809	1883.3395532179	1944.94581210993	1853.39364761721	1853.42749561283	2000	2000	2000	2000	2000	2000	2000	1471.58047120057	2000	1693.04490247487	1894.08491045013	2000	1966.34319209014	1959.52459277859	1938.85752328551	1879.38949785413	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	1977.14056276663	2000	2000	2000	1997.27476959312	2000	2000	2000	2000	2000	1908.36791436287	1926.03140204561
rep8	1793.2986770016	1824.00635417159	2000	2000	2000	2000	2000	2000	1978.09923710832	2000	2000	1990.60594638033	2000	1939.64316503557	1628.61218976822	1853.78538426545	1539.02381791611	1598.02479649773	1863.46170273957	2000	2000	1935.79249686203	1869.7174856975	2000	2000	1994.80966760733	2000	2000	2000	1514.31571345423	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000
rep9	1777.3727074228	1655.40333906067	2000	2000	2000	1861.72615830895	2000	1832.95901128499	1545.02480520431	1762.11762945481	1995.7266320649	1870.90096304775	2000	1814.00743597854	1806.9721189218	1869.48391798832	1852.25321905204	2000	2000	1931.76603997472	2000	2000	1963.35983504809	1871.8673893827	1821.15695993124	1821.08906808846	1896.8401281112	2000	2000	2000	2000	2000	1881.17758861286	1866.10762714887	1848.20344991947	1761.39886490295	1708.2735139782	1624.61980739951	1633.86116003655	1707.37797584892	1572.61444958885	2000	2000	2000	2000	2000	2000	2000	2000	2000
rep10	2000	2000	2000	2000	2000	1897.9093147724	1939.55391893926	2000	2000	1853.28299716215	2000	2000	2000	1781.71111831498	2000	2000	2000	2000	1902.51970890557	1997.4642495536	1993.05031775972	1015.14632989073	2000	2000	2000	2000	2000	2000	2000	1937.13379447636	1996.71606463126	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	1964.32084055768	1997.78620479289	1956.6918992061	1963.93534580667	1929.14186190831	2000	1887.50248741435	1895.15055868454	1918.13788615234
rep1trunc	1852.55123065497	1891.62575462817	1734.21324816272	1929.86694045735	1969.94153247062	1937.70484460108	1910.17189497534	1660.83234683207	1792.55377426262	1869.17657655097	2000	2000	1816.59027950121	1932.32055182819	2000	2000	1931.37855529418	1899.62819248851	1835.23258768532	1988.8599228708	2000	1641.67493137138	1628.35959805287	1649.52854812322	1830.76133316843	2000	2000	1844.05891250549	1818.49203082148	1947.4917556281	1935.37794162954	1807.83737053712	1785.58980295106	2000	2000	2000	1910.45217404751	2000	1981.47471961167	1918.57675934082	1957.57328587172	1944.272250922	1928.11882477725	1921.46205016251	1869.63408974191	1739.40894209154	1740.89835221509	1423.47852059068	1694.45548122559	1641.001045665
