frechetCorrelationESS_RF	minPseudoESS_RF	medianPseudoESS_RF	approximateESS_RF	cmds10DMaxMcmcseMultiESS_RF	cmds2DMcmcseMultiESS_RF	cmdsD1McmcseESS_RF	cmdsD2McmcseESS_RF	cmdsD1CodaESS_RF	cmdsD2CodaESS_RF	cmdsD1TracerLag2000ESS_RF	cmdsD2TracerLag2000ESS_RF	cmdsD1RstanESS_RF	cmdsD2RstanESS_RF
rep1	7909.12155690423	6064.7893135355	7999.99999999999	8000.00000000443	8000	8000	8000	8000	7999.99999999998	7999.99999999997	8000	8000	7893.70893348055	7456.28744615828
rep2	8040.1196520941	5911.38997231706	8000	7999.99999999733	8000	8000	8000	8000	7999.99999999997	7999.99999999998	8000	7830.97989415991	8067.90449967217	7920.65682710578
rep3	7916.05971897909	6122.64865051036	8000.00000000001	8000.00000000443	8072.37745974317	8050.0507177947	7891.23924099508	8000	7571.02057592085	8731.379868484	7537.24566931673	8000	7536.00461156175	8094.10893943275
rep4	7945.93538775298	6134.09721799083	7999.99999999999	8000.00000000443	8000	8000	8000	8000	7999.99999999998	7462.59226860325	8000	7208.26309996597	7948.49970781126	7442.02176309532
rep5	7897.50226851619	6057.34373458235	7999.99999999999	8000.00000000443	8000	8000	8000	8000	7999.99999999999	8000	8000	7848.68705287845	7963.29308366078	7796.69580932466
rep6	2005.53486372125	818.580684304402	2000	1999.99999999978	2000	1974.59334796811	2000	1892.16454958267	2016.97563247976	1814.56657621772	1830.49525804558	1800.0332287638	1888.22836356373	1738.58775126482
rep7	1984.93298416014	1457.17152001781	2000	1999.99999999978	2000	2000	2000	2000	2000.00000000001	1999.99999999999	1964.01211321381	2000	2009.215276048	1997.05356681783
rep8	1967.36007838037	1376.79871105948	2000	1999.99999999978	2000	2000	2000	2000	2286.28252295116	2000	2000	2000	2041.16442892753	1975.98156746635
rep9	1954.2284574219	1229.31593865681	2000	2000.00000000022	2000	2000	2000	2000	2000	2000	2000	1591.21087791084	2116.16142320061	1773.15265112362
rep10	1922.644380937	1462.36370826463	2000	1999.99999999978	2000	2000	2000	2000	2028.79311741039	2000	1846.94844778228	2000	1679.34633355893	1902.51232229058
rep1trunc	1949.4173808666	1257.96091771635	2000	2000.00000000022	2000	2000	2000	2000	2000	2000	2000	2000	1982.75950702511	2014.4474322666
rep2trunc	2018.02171166936	1390.47326670589	2000	1999.99999999978	2000	2000	2000	2000	2000	2000	2000	1952.57710581873	1963.78677363137	1922.47233970682
rep3trunc	1952.95751008943	1243.44451873753	2000	1999.99999999978	2025.29794139789	2025.29794139016	1943.43503272946	2000	1810.10439895021	2385.05606277491	1777.1647618359	2000	1804.45029862714	2051.81731069649
rep4trunc	1926.03637819558	1208.43304134227	2000	1999.99999999978	2000	2000	2000	2000	2000	2000	1997.88205411265	1712.02169077998	1932.94585384422	1760.67293325766
rep5trunc	1960.66931914567	1299.55238004975	2000	2000.00000000022	2000	1991.05475451559	2000	1959.4170844661	2000	1814.64373893658	2000	1875.28492748993	1897.60921014418	1813.08644142543
