cp12.kappa	cp3.kappa	cp12.frequencies1	cp12.frequencies2	cp12.frequencies3	cp12.frequencies4	cp3.frequencies1	cp3.frequencies2	cp3.frequencies3	cp3.frequencies4	cp12.mu	cp3.mu	clock.rate	constant.popSize	rootHeight	treeLength
rep1	5493.09060109443	7459.38396674927	3677.33008227286	8000	6421.09015993784	5525.48357754898	4039.21170708387	5937.53883180151	6766.48779963697	4405.60422313333	4722.64174888694	4722.03650105421	71.1505867162429	68.8647851745214	2630.71911651487	45.920109334755
rep2	4795.65217900302	5938.09334604753	7277.58016474023	5863.20461919413	5833.41684663434	8000	5936.35126661384	6118.5913643088	6010.94262569054	6091.256099018	5391.7345625515	5393.53771916036	47.413049496604	34.9570957075384	2772.76636757287	29.4730272060912
rep3	6325.31091084518	8000	6438.50206418	7750.53693688243	7371.87151294659	8000	5804.67920263365	7091.5363604224	2781.43692582926	6174.93491097008	4100.71041022582	4100.4019179597	399.110630304729	295.493803173475	4069.66306006511	242.539006676023
rep4	7707.22918594264	7707.65975777848	3339.4498142136	7687.22095221226	6066.07141451117	6554.5436055415	5846.89553160196	6732.48399699962	2962.68823201486	4376.92707062469	4278.08714056511	4281.17144968038	100.211890075634	87.223071410002	3821.53849820262	71.5513517395322
rep5	7772.54735229347	6487.28941467641	7028.02124766093	7535.22568005815	8000	6536.45226679668	6955.22026626267	7367.9061525524	4575.37086209892	6932.0631608629	4736.76838448156	4736.16135186299	36.9350399869572	34.5029252818231	5084.40924901731	26.4664391120081
rep6	1110.8415287351	1811.95123676696	1984.89365482248	2000	2000	2000	1655.60027587915	1937.57563994129	1831.21469780449	1739.46138104556	1329.29747194333	1330.72229634285	76.5615640219426	48.838574915676	1146.52595157871	41.7539517285876
rep7	1663.41335838573	2000	1968.68600258571	2000	1908.12162118411	2000	1665.28572660759	2000	2000	1821.92375817066	2000	2000	32.7316479039908	36.1077652995422	676.011326544714	28.3676998460449
rep8	1947.07348867019	1840.08046904766	2000	1995.29929152935	1852.33022164863	1100.9875972895	1828.99773173075	1646.19712781699	1707.36653230974	2000	1755.94650400054	1756.35911944445	26.2622798596843	25.1648933919642	1193.07958608656	19.2869056970248
rep9	1772.57018924417	1895.52418340333	1533.29745587426	2000	1668.65500359528	1930.7865938301	1506.65351571177	1646.64404911742	1852.59647792761	1749.53449476191	2000	2000	271.540039729169	226.700262474167	1170.36074548838	187.440702083898
rep10	1776.63114302021	1725.55161264752	1515.46368915141	2000	1593.87287056515	1477.32937075424	1678.96587828228	1937.39083006296	1144.81885993912	1799.26848081777	1603.91124068434	1604.6851636324	240.439237498964	260.056985925628	1225.41926504124	183.080569625664
rep1trunc	1958.31658207619	2000	1486.8019431767	2000	2000	1013.27705718124	1692.84778218415	1715.31677224917	1257.21333594822	1425.96504687237	2000	2000	46.0697785168019	44.0611665076421	921.640421814093	35.4436145611595
rep2trunc	1908.14115019257	1368.87304128918	1707.67104968658	1652.96386594923	1854.82296838829	2000	1478.77518716942	1812.86460180231	1629.34195308213	1623.58830097178	1192.46418527333	1193.45614746712	41.8516180148523	41.7477471747215	606.435272926773	31.1193111087423
rep3trunc	1651.55551186929	2000	2000	2000	2000	1887.96897771095	2000	1591.03473406562	2000	1887.36853125803	707.818555465586	707.714023483237	202.347839233881	170.979351172948	1399.14315438814	127.502355772176
rep4trunc	1689.52723366214	1622.90831779589	1683.49239038445	1901.32508414315	1717.14530966566	2000	597.615359816034	2000	883.653410345607	1198.03686743459	1702.28134590224	1703.11611253935	44.6075898100722	41.6204011395806	1246.72887918556	31.7422534434295
rep5trunc	1953.28129372883	1658.39482226398	1510.60815145882	1738.20479412404	2000	1733.86316896922	1582.92423058791	2000	2000	1706.50522433738	1359.60181605597	1359.62871009148	46.5805449019977	56.8270812225891	1394.39366043119	40.0188339876453
