posterior	prior	likelihood	coalescent
rep1	73.6265787583545	53.7489735245315	136.04498733841	53.7334634274543
rep2	79.037837417048	28.0072986716734	42.0400368156675	28.0114163013851
rep3	221.242408555777	228.584178692079	305.914766179057	228.600771065274
rep4	103.390770016278	70.9193752066226	115.043599933643	70.9223008033221
rep5	97.5758345758027	27.3312854423128	20.4829696572008	27.3338679476567
rep6	26.2835147387716	37.8263662602006	11.1939464654147	37.8157118742092
rep7	60.0479712476355	26.0932929715431	27.7664600666855	26.0834391321981
rep8	36.6144913507856	19.1772975040594	42.2596277943142	19.1692276495742
rep9	172.483526806409	183.317373373688	117.062956749077	183.371591524247
rep10	199.053998487198	187.436232056769	200.806212755869	187.389203161741
rep1trunc	51.1928103607212	36.7033034016506	60.1797048884192	36.6898754353768
rep2trunc	65.9176861366943	30.4215461306402	53.2882840287782	30.4131459999218
rep3trunc	133.184970805386	121.530216484177	109.410295898311	121.5112180174
rep4trunc	55.9043320393777	30.5045637242682	27.3415291839868	30.5035507174441
rep5trunc	145.194472331624	41.3763064482843	43.4381302533504	41.3648999022066
