gtr.rates.rateAC	gtr.rates.rateAG	gtr.rates.rateAT	gtr.rates.rateCG	gtr.rates.rateCT	gtr.rates.rateGT	alpha	frequencies1	frequencies2	frequencies3	frequencies4	ucld.mean	ucld.stdev	meanRate	coefficientOfVariation	covariance	skygrid.precision	rootHeight	treeLength
rep1	4.78663173878154	4.84444080918089	6.17784922456694	8.42255957344186	4.96791783153664	10.860461958463	9.51451905574151	7.80441596151843	12.1987230111264	4.19739250866047	30.4538971559962	11.0935919032782	38.0543783541192	10.5248816420209	52.2467695075394	7404.88173082159	4377.34851650803	126.96605162307	67.1434448804571
rep2	186.942858540622	127.869882418579	70.692796529471	49.6423415929872	136.999522824508	321.426030225663	118.484457228921	121.762614783732	102.454762249031	76.1813739851191	107.485812208523	87.483498730606	183.080557734722	84.5577576382466	393.307577233314	7636.54697998185	7083.8435168106	159.848147411057	85.6803909195477
rep3	62.0249978909935	374.253009293064	400.439875695889	1525.4987001876	801.675362131143	554.408592438549	659.333050098447	124.649640347838	174.615383843378	23.711802705912	798.701508216653	58.3784488037022	63.2804173469245	57.8180096789229	694.284729722189	7725.86750061747	2859.53973507552	53.2409478031825	56.2512321294791
rep4	768.286127234065	76.7113608061349	900.752113015504	523.82601357242	50.0118534621519	739.899832555414	1460.0567585579	466.321027835873	340.16472147083	45.5687527083709	468.571524308179	86.4317718116687	52.0422050442249	84.9340822178139	56.0678155785256	8000	6347.11557055834	158.083120046367	82.6774754947205
rep5	18.9958617318105	27.6787933542504	870.042361330307	1907.84128443024	36.9978578263228	50.7212119202329	46.3312984199337	14.1652211667553	137.884675856308	21.7822608995829	18.1835690601958	38.4168795717708	78.6412943960516	37.4560512861185	1053.78904149269	7636.43300011787	6920.70956175209	91.7678897999172	52.3208124019237
rep6	53.5062686830654	94.0772743838499	72.3859184461346	147.612626391106	344.20700902951	128.107352919043	121.715479488755	24.4776855781905	9.18760957728122	80.4655261768395	507.582379056931	35.2430778480492	85.2558735423397	34.0653481997101	785.300231776765	2000	1260.4790548017	59.0992832033166	33.0584303748003
rep7	477.152047660107	57.7582181702257	618.713148302973	548.345605225829	73.476988189342	758.231218233995	371.945765005289	38.631085852427	202.70068828842	340.650766542529	88.0282171641358	18.8033134170765	36.0362261790636	18.611712907195	365.817119526955	1744.52455086418	1678.3300969692	30.2787374823035	18.3517228412734
rep8	368.573820962709	405.340362751744	354.80423205678	382.437149588641	462.865862236754	927.093117088768	993.416039477207	120.104594999316	306.574990100575	207.871694663686	453.881461187322	20.5423647123498	54.9291537507212	19.9559399404928	366.823818324907	1954.73295871703	1650.24563450576	34.0847347043668	19.3914456195848
rep9	77.9313120675506	269.162556346505	1079.65226200678	283.037628789312	274.015085091697	1940.89410552502	953.645601615496	117.625587204506	545.239386047153	174.193807858278	602.215885743029	16.6049263308357	52.6849286013462	16.1029024383539	504.859986791748	1954.47028800107	1453.23136217066	35.3537912993199	16.0127426078298
rep10	78.3726252458333	17.2259441550573	336.881446477052	449.315892105509	22.7841527973028	386.977142720555	75.9943846956237	59.7398476249447	63.654616496923	36.77686590065	45.4898754056209	14.272401471061	27.2961746085006	14.1926532987282	240.204015821909	1958.27492238915	880.943323843741	20.7543790089061	12.1913386700045
rep1trunc	31.5495065236298	26.5847610149457	32.0661772042798	57.2228078041425	26.6289239117435	99.9260353713401	38.2377848390132	84.2604207239386	403.709173887195	18.6066036121839	170.707549141917	22.3401952462673	59.29417030573	21.6025934758944	698.307274752819	1353.00644001146	1882.42325750521	43.9218533448635	23.4967582408689
rep2trunc	56.1172445594064	56.5082038262684	32.3498649490154	41.7469038239714	64.6842580599932	144.549658869843	508.185258148441	24.7909398936541	168.063609289077	13.3061051676275	50.3308202689326	31.819948719114	58.3404225516323	31.0441897080969	268.289159056286	2000	1518.94522589467	65.4556923916128	34.2898650828088
rep3trunc	219.138267607225	923.458106392065	266.481611426612	1353.92699644288	816.641777186131	2000	249.002391102768	132.189598671161	368.083854638543	70.3343015567549	495.92376362499	24.5448123626835	36.7916895994307	24.2474222979446	524.708129155735	2000	913.879598194291	32.7110902368063	23.9167973986472
rep4trunc	205.544020096966	250.535066174969	346.6394416923	1177.298946899	429.370538501472	165.831328073069	389.539971028595	70.5143706119875	320.168794385197	71.4439914939602	611.171130615018	34.779507946202	46.7370892861647	23.5197311782177	1052.0045791246	2000	1619.68703006745	39.2678134052675	30.4375452091221
rep5trunc	30.0076741773727	81.5915245695571	652.836826757294	1170.30862306451	111.912961831302	164.712084437831	252.836861879848	17.1556252445454	59.7128945298876	96.221506261793	22.0772996008519	13.3453803155522	41.322117877582	12.9622843201046	289.326925446318	1977.12799243848	1634.04796804218	24.5068266087997	13.9888641378538
