posterior	prior	likelihood	skygrid
rep1	10.5389390014298	89.9630946187377	6.62686957972757	86.7545991024283
rep2	98.9943796349148	121.988862487741	78.8060460877469	120.289197543384
rep3	53.6183034753891	72.4593306436138	46.2889261641643	72.3107169152371
rep4	140.052247396458	108.189474534946	72.9001387996551	107.910969908087
rep5	15.9881725756529	70.6572910093901	17.6838136323069	68.1514859298197
rep6	43.2885503024199	36.5447603301835	65.4862112682986	36.5363980719303
rep7	15.579856977703	20.6089839969811	8.46008747853623	20.5672319997635
rep8	42.1575140374646	24.743164159171	488.936355045294	24.7196689973208
rep9	35.1100789349873	22.3016470891762	151.04975350846	22.0450358147777
rep10	42.6698338167609	12.747121723918	51.7543824210467	12.8956218563211
rep1trunc	30.4140684120266	34.4897200613867	24.9746220007526	34.3530267674185
rep2trunc	18.517040773319	43.2983037897596	27.7283969497223	42.5321073920829
rep3trunc	50.8493331979152	27.8918851170828	28.0140798751673	27.8184583820765
rep4trunc	120.881697862855	48.3646449990847	45.4548182663096	48.5561760283421
rep5trunc	41.7122645276358	15.4226259702088	23.508875336036	15.2148092537851
