posterior	prior	likelihood	skygrid
rep1	2428.0287987974	1144.17007367303	6388.11126306451	1173.50998337751
rep2	1444.81633360767	839.933587924021	4642.8151979889	862.792596547611
rep3	2280.99171237835	1331.13478945015	4052.50466056803	1363.40154436918
rep4	100.909064212952	882.925167126638	98.9727949781239	906.143343417125
rep5	1581.19610018598	1160.797119218	4193.5271204053	1192.31877193768
rep6	9.00598907877536	250.770794262686	7.17306729035429	259.011798040044
rep7	170.598309473957	131.734790962147	1441.69393549945	135.044472362458
rep8	495.280189828048	211.415829403772	1644.81537653171	217.107191730331
rep9	462.562010658313	292.341033482193	1247.66271410067	297.981834339564
rep10	326.554279233049	358.769146387274	1034.84635833252	353.368599911683
rep1trunc	617.506622644999	346.074041955093	1616.61679145542	354.080274465744
rep2trunc	355.533863720698	233.408343755612	1116.10966649633	239.585059352678
rep3trunc	516.482081805423	282.857355656042	1462.19385826319	290.702720213476
rep4trunc	318.118482733514	197.360693739042	1467.44458302211	202.554822705593
rep5trunc	295.394516641256	188.269803515653	1547.26148648399	193.74096374569
