skygrid.logPopSize1	skygrid.logPopSize2	skygrid.logPopSize3	skygrid.logPopSize4	skygrid.logPopSize5	skygrid.logPopSize6	skygrid.logPopSize7	skygrid.logPopSize8	skygrid.logPopSize9	skygrid.logPopSize10	skygrid.logPopSize11	skygrid.logPopSize12	skygrid.logPopSize13	skygrid.logPopSize14	skygrid.logPopSize15	skygrid.logPopSize16	skygrid.logPopSize17	skygrid.logPopSize18	skygrid.logPopSize19	skygrid.logPopSize20	skygrid.logPopSize21	skygrid.logPopSize22	skygrid.logPopSize23	skygrid.logPopSize24	skygrid.logPopSize25	skygrid.logPopSize26	skygrid.logPopSize27	skygrid.logPopSize28	skygrid.logPopSize29	skygrid.logPopSize30	skygrid.logPopSize31	skygrid.logPopSize32	skygrid.logPopSize33	skygrid.logPopSize34	skygrid.logPopSize35	skygrid.logPopSize36	skygrid.logPopSize37	skygrid.logPopSize38	skygrid.logPopSize39	skygrid.logPopSize40	skygrid.logPopSize41	skygrid.logPopSize42	skygrid.logPopSize43	skygrid.logPopSize44	skygrid.logPopSize45	skygrid.logPopSize46	skygrid.logPopSize47	skygrid.logPopSize48	skygrid.logPopSize49	skygrid.logPopSize50
rep1	4014.44452980144	3513.75161475446	4537.15387551581	1176.00371563315	6138.18271767136	7157.46312841589	5690.28672927419	4929.68832051071	6834.86318546637	7208.51671679684	7649.28583501615	7006.24075311786	5991.53114024415	6425.01142245845	5618.78469766546	5890.88614463656	6596.64125171652	6153.85490275921	5114.13850708577	5733.61450516102	7632.73926977818	7780.75756430563	7563.58026243329	7230.1649691549	6858.39067765908	7972.15643405774	7483.17673072362	7380.98484039663	7564.32633571217	7512.06377997158	7577.55686376504	6941.68453989045	7527.02428426898	7505.28839246632	7682.63639025163	7821.41232461476	7674.7966895791	7419.07350273467	7360.2563485708	7274.26435211648	6906.92266112317	6925.27844349752	7316.30575939164	7022.44773104181	7040.00659192109	6767.43377256201	7098.47545473983	6875.0656073629	7278.56141758463	7098.98832621576
rep2	2438.32106919219	2090.02022387838	2930.86453636832	852.700577843259	5653.64589921766	6653.30483329864	5602.35293729969	6025.0255275966	7134.77174235814	6735.24021461032	7019.38376427949	6398.15182860126	4135.45539538359	4254.61101466129	4785.22518419772	5942.10187431927	6639.36241313819	5275.12512359897	4544.16443070516	5677.10237860932	7505.62000251061	7192.96384432636	7667.26902956696	6431.98291657472	7892.31336960865	7383.55297928329	7263.2904563765	7073.20275494208	6490.21535372719	6583.53698707269	6782.89209378477	6708.08438737872	6616.09098494767	8000	7433.07228038197	7361.34017409811	7101.12396752941	7287.37605137798	7638.17731195662	7133.91110621026	7309.28072744116	6636.14749603708	6413.93054698173	6379.99587846191	6372.2517159324	6351.63381363075	6432.52448325777	6227.634109547	5811.7809471913	5357.10499606631
rep3	3952.70074107341	3626.11734977778	4310.04484112275	1333.38133858529	7299.50040077489	6957.4083600794	5777.81677125761	6591.90387825565	7634.76374822307	7838.94153374516	7103.86075441667	5999.55981617693	4684.84055300376	5623.60416526567	6142.90370768279	6610.08726555178	7046.92620954856	6024.69627534212	6187.05161116117	6130.50950461166	6797.7643404986	7774.33447323746	7852.68098896388	8000	8000	8000	7777.01389640113	7433.85427750759	7582.49454164384	7126.45331679006	7493.64606368082	7098.13359396024	7567.09606361406	7521.37861975855	7102.75101826577	7451.37907299292	6849.17428340656	7497.80696790737	7455.09503694089	7535.81583064279	7147.87217109854	6800.78664175179	6714.89487082239	6564.92860176238	7150.74113765749	6801.68383464906	6900.78637768727	7427.15932380291	7258.12166461678	7115.53504908651
rep4	2990.98974921117	2010.97495849506	2836.71919674711	862.4750114694	7486.57617404922	7360.32643561739	5568.47664778329	6093.76357122039	7036.55748383499	7078.73780352714	7685.50834652877	7116.27525976799	5295.48378522991	5591.02181167129	5618.32689967424	6097.13880657576	8000	5474.89727002454	4904.34212592646	5207.04402437884	7690.78311768294	8000	7843.65695911053	6844.23320382603	7377.90049058233	7529.73107550501	7622.64388804058	7558.27220430328	7491.4786688678	7463.79209541508	7604.18627362406	7692.85351184828	7819.78138340925	7755.82915843217	7658.58629234182	7653.39495618675	6996.80001715126	7689.35098148491	7649.47855915667	7895.42111112835	7123.2454937454	7093.03179844469	6656.12774558673	7618.40950399742	6646.53831803991	6489.47791297168	7682.66097262256	7814.16070273528	7521.08241566955	6648.36766841222
rep5	2953.15311371618	2156.51119898962	4192.99702907997	912.603588931969	5998.91039429771	6183.05900715573	5517.24416110623	4835.72274594976	7092.21504536162	7266.48200164353	8000	6309.05046287411	4152.85810879254	4822.61684985386	5453.37725071862	5056.9250920662	6383.28768299617	5565.47362167425	4725.59415422547	6172.21784031678	7482.22156400403	7745.94038489064	7936.94347853404	7446.77276856812	7885.958554567	7683.94887788359	7567.15193371956	7509.44283982594	7511.83070669061	6296.21361778051	6848.27440273576	6438.76861089436	6879.21403137303	7215.79253511837	7422.64810275979	7399.40914506597	7877.9220980414	7755.82720936051	7847.50082665221	7728.28154683791	7511.98866139777	7223.54147065384	7388.26092137986	7187.82408039737	7245.78083080083	6821.55191240582	7649.22628645315	7610.78313803832	6660.19495394083	5830.1561307023
rep6	815.765845280956	747.365478005774	1045.67905121075	251.381747076105	1727.40560846629	1867.37051669638	1283.52173425697	1234.53006026011	2000	1344.15994884773	1543.54859675695	1575.0548863678	1593.48898384244	1422.0219581704	1235.24729507045	2000	1938.96249020824	1833.56607284794	1201.59389196975	1663.92974999971	1786.58384149555	1934.57310456751	1626.21763885545	1603.33237265837	1700.95455343902	1875.7097193907	1709.34730218095	1649.63653593524	1696.31603202168	1604.73306163064	1474.15250282188	1499.28532632912	1475.02829059455	1542.25945332262	1698.45857731543	1724.79384962719	1560.43314790624	1739.26050814817	1638.90871221856	1572.7667429416	1847.70287837696	1555.98099979896	1790.7139930902	1605.88542881548	2000	1749.22009183741	1890.19740848124	1894.05030016205	1795.55356930334	1578.16621673532
rep7	687.647362901794	323.24712544054	1343.76288788942	133.33078241285	1402.91188538304	1726.85811398961	1064.71941944777	1360.66381135897	1604.50640631807	1670.10866928128	1275.26613697928	1155.6919396337	1098.73404518248	1069.83473556882	1410.73707488463	1546.00152516372	1665.19341637651	1650.82315873209	1473.42317690527	1338.92847452503	1794.55976610662	1734.19888065102	1620.97632877077	1648.38906188045	1538.69742405714	1771.56700034218	2000	1601.79143614285	1537.16922011843	1537.76356101572	1902.99348274404	1613.41906866961	2000	1640.05725099672	1661.03680602967	1577.74763615916	1555.46619194374	1538.62193650587	1451.2884090695	1412.70196470219	1522.18121708371	1296.96282075356	1796.27603283909	1444.63095500988	1739.75185897498	1640.28580337279	1759.87061384205	1678.42351738088	1743.82649043974	1722.88428240317
rep8	1350.34825394801	782.114068962302	798.254607164959	280.206033818579	1804.07209179087	1693.17069548646	1590.4642607289	1746.65775987342	1946.08110914344	2000	2000	1654.94015013932	1355.37618609776	1221.44661036496	1284.41254071655	1453.70978722682	1651.1623013423	1512.6804488923	1547.98559902023	1679.85110931506	1918.66324012309	1927.05695718936	2000	2000	1852.76551125477	1693.57716150869	1950.70509037483	1963.63758923067	2000	2000	2000	2000	2000	2000	2000	2000	1883.53505586986	1848.83318928356	1865.01993435919	1399.8095086456	2000	2000	1794.28508751421	1843.31439842876	1803.39614287216	2000	1825.01376594667	1907.83954175378	1872.24950707906	1924.24773983165
rep9	296.982227990429	783.656644629588	945.167697807691	305.836045428581	1515.99143863053	1882.72008477786	1603.50926374139	1581.52039780757	1675.87491453326	1576.86558254846	1536.84295971896	1479.47621084302	1339.52027972309	1313.18879819737	1378.9093017307	1624.1161184923	1554.84453646553	1206.35610992026	1297.25469087378	1325.56121515687	2000	2000	2000	1679.13164336407	2000	1616.31679644214	1850.16481371379	1649.98839007567	2000	1858.65023540563	1898.28888222012	1782.38131304797	2000	1820.2577947378	1534.57359290689	1380.6261355504	1536.0310893884	1683.00317453603	1740.48969910538	1546.41998409745	1585.16505939658	1534.26443568303	1344.85233425493	1319.22554807009	1364.30687533065	1206.66643370982	1640.18020871982	1456.9000965441	1559.80935008804	1287.11724551723
rep10	1020.86563243743	896.916823722295	864.900763061683	407.208507201164	1586.95311973138	1928.65780983009	1605.84398340792	2000	1929.15041037824	2000	1595.21375358807	1742.75383146431	1226.63683065418	1654.80736609796	1550.3265646289	1735.80574832916	1878.61346846664	1837.9120841451	1693.64911333321	1973.00136065707	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	1975.49102880767	1919.18040694292	1741.18260945563	1775.65154882395	1734.73665294202	1751.03181980956	1655.7483887769	1667.84573084462	1576.76634101206	1758.75303031977	1622.09179829691	1853.23788450304	1784.25390735503	1794.04217642227	1831.94398190623	1950.77792495853	1889.92550189984	1821.33622616312
