frechetCorrelationESS_RF	minPseudoESS_RF	medianPseudoESS_RF	approximateESS_RF	cmds10DMaxMcmcseMultiESS_RF	cmds2DMcmcseMultiESS_RF	cmdsD1McmcseESS_RF	cmdsD2McmcseESS_RF	cmdsD1CodaESS_RF	cmdsD2CodaESS_RF	cmdsD1TracerLag2000ESS_RF	cmdsD2TracerLag2000ESS_RF	cmdsD1RstanESS_RF	cmdsD2RstanESS_RF
rep1	2755.24391761544	1016.08990136006	1860.22451620883	4232.31225559805	2735.36795134353	1009.47119372616	1115.71933524011	736.75373594463	1349.58719670956	738.673266033824	1137.42375884379	760.616293111712	1153.25454024603	760.67680259454
rep2	3582.3783110451	2164.57532110935	3947.40921267121	4854.66604803304	3283.95722944696	2059.71475330019	2357.43249359584	1319.91881551978	2686.69432575438	1690.77405806567	2497.81830488763	1467.98413583899	2510.30339218614	1703.8372151801
rep3	2674.44545014052	934.622755160577	1836.42309920407	3932.09007465601	3560.46582855645	988.457605449995	1013.81830614935	705.319932861155	1269.73059793335	914.426483399588	1101.38574547048	756.505347025436	1114.6519126186	821.754057520801
rep4	27.5056043832352	25.3579838606877	62.3975236863084	3945.95749725104	6653.15111353092	108.320674272958	9.2186653657065	968.311716861611	2.0226979153588	1028.15772992686	3.1215984876276	1027.12987772405	2.00124844231186	941.135148173025
rep5	3875.54866565799	2542.03471254057	4201.93020497304	4880.97193365382	4077.70620435198	2365.76180742165	2512.86938530627	1559.88973142597	2834.44734922978	1652.1971654089	2571.92560374252	1685.68938671167	2601.36616846454	1864.66445864601
rep6	34.9171797902669	7.84579788075313	23.0352436461944	810.731144256398	858.668827583153	140.152986165297	130.38829088787	195.034279662222	116.974076053343	229.839495317555	13.3357367751808	205.39956400004	6.70263494036439	218.703489778617
rep7	1027.14046549975	557.26991300644	1156.77329515338	1210.26651827272	1140.13864863934	619.482580026736	725.880680213417	457.720248711956	751.780735999285	457.875431757004	740.485741845724	422.731492489125	758.606165965852	466.289930403008
rep8	788.2308493223	284.092315946788	618.17130559354	1033.50232075364	907.680995075601	367.737785363203	454.757504810747	222.238772968929	537.550451405453	261.90552754681	455.722438533096	233.718288777162	513.332563712739	248.871147504296
rep9	910.449040703728	439.171037859478	944.179120804645	1099.3323995281	1102.46736056121	539.050616750038	582.179518943299	297.855214215393	607.14422174581	372.167597581331	521.653897675411	334.18685740514	569.065657533151	401.941060917209
rep10	94.0410423079988	20.6845914748524	72.8111105868036	1033.40641943491	1272.06024283847	45.9927260646922	6.95574624485995	320.051411139727	3.84264099287794	378.489166455623	6.71032392541195	271.391938618507	8.05825373316019	277.420025269884
rep1trunc	778.031468451902	249.181126196256	652.457444077439	1127.90440124401	735.141671698003	286.06542336765	426.817559287191	296.91290294363	454.873927122891	341.887833156793	445.88739210275	230.382165241799	475.251788946363	224.222303446255
rep2trunc	904.755957760152	586.622762860925	1057.36714518706	1187.96790685913	968.547355092805	516.080787887952	592.990876592278	418.970962126596	683.773204805323	462.72115883047	507.040662749287	377.085640624339	542.424694300324	421.8180573679
rep3trunc	733.592065006529	270.162599129288	582.083051201455	1034.4411518411	1006.46716826748	365.511896778063	328.729033123374	228.038554565543	324.329437507866	294.119155069529	344.506229329508	242.4820102588	366.486756897084	244.590842547994
rep4trunc	935.753314108139	565.152915518625	1001.72878907489	1187.34044735692	1082.07588306167	546.903979905668	640.92272151722	315.698286373428	662.123346348723	413.444469127226	540.196257785582	377.060394382521	552.342035272533	421.010233852684
rep5trunc	994.120679645275	630.491556053289	1129.99813042832	1212.34047644823	1064.29131674826	603.816576259648	647.977282029644	440.712721781645	566.394913086659	391.55067545607	541.367340088708	390.841690590085	599.423750130564	437.049381729868
