frechetCorrelationESS_RF	minPseudoESS_RF	medianPseudoESS_RF	approximateESS_RF	cmds10DMaxMcmcseMultiESS_RF	cmds2DMcmcseMultiESS_RF	cmdsD1McmcseESS_RF	cmdsD2McmcseESS_RF	cmdsD1CodaESS_RF	cmdsD2CodaESS_RF	cmdsD1TracerLag2000ESS_RF	cmdsD2TracerLag2000ESS_RF	cmdsD1RstanESS_RF	cmdsD2RstanESS_RF
rep1	2847.55041401226	1047.2717691258	1973.73045541643	4321.75951836432	3035.84181632989	1652.54196272458	730.309515865658	2666.41326438877	732.382304223282	2726.68324072072	754.545794942054	2338.28962997072	767.55658772564	2571.5900495094
rep2	3582.3783110451	2164.57532110935	3947.40921267121	4854.66604803304	3921.79006192341	2408.22725584925	1314.65473112476	3943.67077063168	1686.0679636765	4247.17203406849	1467.69775956352	3919.74189469179	1709.5991610191	4032.19729760034
rep3	2734.63571084278	965.031072475064	1983.27733481358	4034.71112894759	3619.37984468658	1751.78752045707	696.599598877732	2716.86888319702	907.326958245646	2797.92851136063	744.798299982065	2248.53910785553	812.338646730929	2902.88481719141
rep4	2964.40281803315	1312.78013693627	2267.54667126768	4317.07500766268	3727.75124798781	1711.39326844472	952.742961892279	2711.72791264337	1012.05304618313	2643.40845230102	1011.75028148418	2463.5783916403	1053.27424952924	2640.7824516747
rep5	3875.54866565799	2542.03471254057	4201.93020497304	4880.97193365382	3923.7828967797	2485.00829563172	1558.03379420281	3500.87711152707	1649.35417293522	4275.63855012207	1680.76587670944	4099.19602058789	1855.36760102057	4115.31596667454
rep6	34.7462869889235	7.75282247399586	22.4621885515228	821.931734040235	1599.28402561115	530.839963912795	194.963552745764	707.862833854588	229.226809916514	898.550642541594	207.344293651679	655.122156519703	227.421158302327	704.659574580645
rep7	1027.14046549975	557.26991300644	1156.77329515338	1210.26651827272	1142.31644198032	532.772843674773	457.127526198035	758.698344015623	456.905644402381	867.585487102642	421.936349618233	798.3545077857	466.122167530547	837.59788648267
rep8	811.256575151564	294.887105411144	667.578567390808	1055.10547343864	1011.96730257999	430.457572673673	222.268312717176	811.399686681603	260.703545059583	633.709917615351	233.946561173777	606.405552336238	251.260564841813	863.513880580417
rep9	910.449040703728	439.171037859478	944.179120804645	1099.3323995281	1151.602683635	678.218668230006	296.29446307683	858.057364185526	369.968856815236	913.654300608369	333.213448612214	933.848556193482	400.793622372179	954.40649761623
rep10	886.218745316496	411.867175730128	920.32967249256	1184.034827968	1108.71795665033	668.17695568743	320.903817220465	918.01650738059	377.684644207469	1140.80570798496	270.043266543922	998.721453217917	307.506351055738	1046.87065679997
rep1trunc	800.866095842678	256.046783312262	729.441219135954	1150.25710742856	804.85561713361	426.360243779588	296.429773398838	871.830734654882	340.63082067035	970.702942215896	230.432649557226	942.772337040613	229.703311319144	957.073442447236
rep2trunc	904.755957760152	586.622762860925	1057.36714518706	1187.96790685913	1085.73548821494	617.663750555582	417.222262770262	954.671268804863	460.090668349988	1042.18585574602	375.388722252388	747.643354587864	419.607991668303	969.485277929498
rep3trunc	747.031077835612	282.75868802557	634.131470691407	1062.31764333994	935.102212491999	348.453003456736	226.005298283285	729.674622029579	291.632084465665	607.99917260588	239.494117792237	465.268388874786	239.332506286743	618.868091763731
rep4trunc	935.753314108139	565.152915518625	1001.72878907489	1187.34044735692	1061.66024382569	443.340288448159	312.302614388615	725.040990272938	410.347483500053	1021.95954220891	372.412208844593	644.116782408856	408.85653640361	708.323083732252
rep5trunc	994.120679645275	630.491556053289	1129.99813042832	1212.34047644823	1064.5852528634	560.044069653564	439.268207645528	925.123530760413	390.607707769882	953.690632534218	388.5805972816	912.171586466357	435.11132485571	981.362670498677
