kappa	alpha	frequencies1	frequencies2	frequencies3	frequencies4	clock.rate	skygrid.precision	rootHeight	treeLength
rep1	6284.26813562252	7914.9243140888	8000	8000	8000	8000	4385.56887094607	7252.41176131627	5682.3927521419	2682.87734857348
rep2	7760.32746704136	7654.40562718038	7570.73639985349	7923.96167005404	7733.37284180341	7744.4653284625	3934.21033243285	6883.80117494806	5106.48320260361	3212.50927096353
rep3	7315.63168770495	7114.03274951367	8000	7726.52848313522	7689.49916740892	8000	4362.29203290561	7247.72218124848	5295.72521152073	3481.21458992133
rep4	7827.50707895413	8000	7657.3250402525	7867.72921961006	7816.5416999488	8000	4877.42497359054	7236.09296396739	5223.84914920377	3836.4917178651
rep5	7760.79348207545	7967.20699924614	8000	8000	8000	8000	5056.22732390922	7540.8279707294	5785.43422940424	4068.93558695541
rep6	2000	1659.16186384164	1855.04030543797	1636.14051997795	2000	2000	1237.55679903282	1587.78219457669	1293.34993747349	972.982330117614
rep7	2000	1954.78637967951	1879.91358276232	2000	2000	2000	1154.81403810377	1952.17497109602	1418.33765923174	1028.38361680448
rep8	2000	2000	1853.66662262975	1840.73489570192	1918.79280564871	1770.11350300331	1314.8756097321	1890.28523435605	1502.08752415229	1073.48119533192
rep9	1958.6328408066	1851.5615222292	2000	1733.83808372745	2000	2000	1240.30810661363	1577.66095375938	1586.97917644709	991.323515530345
rep10	2000	2000	2000	1900.93143314313	1450.64335115076	2000	985.36233130144	1968.03220133745	1373.27517765814	890.826664421237
rep1trunc	1743.71276803282	2000	1849.82797466217	2000	2000	2000	662.791446683418	1804.5072569218	1326.93736422919	802.61912649977
rep2trunc	1988.08791688524	1631.05825080228	2000	2000	2000	2000	1038.89865024077	1805.63049566102	1253.20351996703	851.929079970299
rep3trunc	1837.80306044692	1856.48125705304	2000	2000	1978.48660435797	2000	719.519381124398	1825.61515841711	1090.21497999122	638.185217279898
rep4trunc	1927.36526035995	2000	2000	1994.37105806238	1766.50299207578	1787.03938825597	1213.75461956295	1711.21895375119	1467.01122971311	925.606786849715
rep5trunc	1891.62307766673	1942.47472321312	1785.10582575863	2000	2000	1996.46262666704	1087.28754086884	1810.03212048552	1349.62981560492	894.079350727705
