posterior	prior	likelihood	skygrid
rep1	4974.92449883064	4556.93527732974	5245.8249238359	4610.35752984418
rep2	5407.4148313129	4874.03859895678	5208.08791948763	4959.83717091078
rep3	5604.20626661709	5261.87804340088	5343.4449522961	5326.46990646307
rep4	5739.34557295491	5118.3801547924	5758.57641386613	5157.50209876426
rep5	5894.46460537108	5624.45929252502	5707.46145384112	5689.87827508622
rep6	1389.52377559673	1315.34729028928	1413.39334377079	1330.91339553569
rep7	1181.79251081865	1197.87479821757	1455.71921035206	1207.17328687389
rep8	1508.13759365505	1380.26344752088	1495.90990646155	1395.36413889943
rep9	1092.57925502847	1211.19417729657	1592.62139901996	1219.82982445065
rep10	1523.82620004471	1361.9796306904	1808.80775138938	1385.5220371724
rep1trunc	854.832324293772	815.202815026194	917.66658558338	828.042303565207
rep2trunc	1344.76686268503	1288.76146443238	1723.45257343112	1308.79066987939
rep3trunc	1089.66396183787	887.523719703195	1383.16235449122	902.847503767644
rep4trunc	1395.51073685986	1252.08674793855	1533.36891639031	1257.44868365566
rep5trunc	1428.0311516508	1314.81735714305	1720.65606214695	1338.77878156632
