skygrid.logPopSize1	skygrid.logPopSize2	skygrid.logPopSize3	skygrid.logPopSize4	skygrid.logPopSize5	skygrid.logPopSize6	skygrid.logPopSize7	skygrid.logPopSize8	skygrid.logPopSize9	skygrid.logPopSize10	skygrid.logPopSize11	skygrid.logPopSize12	skygrid.logPopSize13	skygrid.logPopSize14	skygrid.logPopSize15	skygrid.logPopSize16	skygrid.logPopSize17	skygrid.logPopSize18	skygrid.logPopSize19	skygrid.logPopSize20	skygrid.logPopSize21	skygrid.logPopSize22	skygrid.logPopSize23	skygrid.logPopSize24	skygrid.logPopSize25	skygrid.logPopSize26	skygrid.logPopSize27	skygrid.logPopSize28	skygrid.logPopSize29	skygrid.logPopSize30	skygrid.logPopSize31	skygrid.logPopSize32	skygrid.logPopSize33	skygrid.logPopSize34	skygrid.logPopSize35	skygrid.logPopSize36	skygrid.logPopSize37	skygrid.logPopSize38	skygrid.logPopSize39	skygrid.logPopSize40	skygrid.logPopSize41	skygrid.logPopSize42	skygrid.logPopSize43	skygrid.logPopSize44	skygrid.logPopSize45	skygrid.logPopSize46	skygrid.logPopSize47	skygrid.logPopSize48	skygrid.logPopSize49	skygrid.logPopSize50
rep1	6368.22091906218	6380.65670920871	5660.41596730193	5121.04403456819	6204.82829525867	7247.64231793217	6679.26982894556	4282.19747484522	7320.36203005894	7575.74650862186	6474.68964506716	6773.08314287586	7795.81946175884	7563.34141970646	7051.392183132	7083.24934778078	6894.07072638568	7175.32178170362	7327.25932929552	7579.81518361376	8000	7500.8463748145	7667.86195350239	7724.50678611429	7616.47371517634	8000	7700.10178614082	7058.95570615945	7406.0137209875	7392.04766641793	7355.37759069733	6930.21938078302	6829.22950262322	6818.93711719202	6672.02281821076	7274.48668249393	7468.8363812839	7629.85770820165	7655.7671263638	7077.18766418078	7559.04132060426	7549.55463595245	7558.13555024539	7530.16686565459	7604.04146538971	7668.71728373933	7758.01104521563	7855.29531554918	7705.56126443743	7738.39421969097
rep2	7564.86831154548	6415.99281746476	5247.46036926473	4887.35312318067	6712.92470287815	6887.60344842496	6793.49214786743	5320.95483849058	7738.5106601439	7433.97953462735	8000	7163.71161103984	7162.38771604176	7644.97466641946	7748.08455447613	7834.70721925155	8000	8000	8000	7660.18343533997	7670.35741216512	7788.35352024818	7662.49293436556	7418.6944114104	7816.55688738327	8000	7922.31416490177	7825.94902361578	7739.51447317949	7906.58200747092	7771.19599066229	7635.26531702995	6960.19009498111	7319.3347515351	7431.09803019531	7383.67480298758	7581.99172556046	7327.17618262199	7372.23746421397	6696.64067816937	6754.78176340531	7105.01558188643	6988.72987813797	7029.02530662947	7325.20436684018	7285.1892589077	7376.25664867785	7050.91208388756	7245.12910972701	7036.37911224559
rep3	7500.52373946666	6157.12501614462	6108.60506456682	5034.73594252938	6266.40572065275	5893.64941252901	6914.61043920903	5474.63307620387	7324.10916493213	8000	7309.4049266849	7537.45131535935	7304.97674199422	7344.13248767126	7504.26429619993	7444.58671921204	7795.24113239411	7793.36447942144	7883.059450243	7600.69963995537	7593.51444707977	7591.58353403015	7381.23432976183	7609.2969164872	7099.8634274403	7541.87046744598	7770.96037764691	7895.72950731952	7948.59516166461	7570.51598402928	7617.25534965323	7720.96184527783	7418.0790962299	7704.11558670862	7531.88595482932	7536.9585582202	7562.62424236583	7401.61410384111	7227.98297598574	7317.80376649781	7249.88555241147	7476.39420767241	7485.13269223176	7481.69503935584	7753.51638999646	7482.86521525358	7791.25241747739	7887.04015650782	7858.05195346463	8000
rep4	7421.91465314814	5368.28772918429	6053.2943690582	5095.57659254428	5894.86877942299	6543.61029687562	5970.65550105552	5554.16414375273	7397.42130918957	7215.2546701571	7099.9908755033	6801.46234238068	6671.19526321826	6320.36763252948	6799.30010689403	7129.90179166408	7141.60856888815	8000	8000	7554.51159484245	7518.44610711952	7749.12219919291	7758.31103226433	7620.81191604335	7259.73209899794	7123.00801967403	6852.42039321956	6655.44189264076	6346.43733885132	6520.35999850599	6487.31408220742	7080.54187478863	7062.59190295499	7200.67918168623	7425.08841215365	7365.04807883098	7262.18339053604	7618.9176038458	7733.05047408203	7693.19761569476	7810.86085441289	7844.48078717824	8000	6543.75196203288	8000	8000	6209.70437940402	7409.90976256959	7536.8264426685	8000
rep5	7375.85250895945	6633.71266806804	5905.80542957789	5522.7866610252	6897.99019920128	7342.79923277011	6950.81716170658	6042.16393947539	7358.70694809393	8000	8000	8000	7520.94941961035	7565.2522431635	7517.17581746397	7446.46665830303	7153.1117064675	6958.37606708451	7061.75944611081	7449.40311561156	7322.88739912273	7114.69982161112	7270.17384438331	6971.65435600299	7097.45817862682	7554.19577976512	7624.02037462829	7658.84524635728	7588.83314693567	7570.99210958735	7591.75198934761	7402.94613247642	7570.19058426015	7415.89929964344	7188.49869612347	7476.63645441418	7716.66588168766	7932.63667854467	8000	8000	8000	8000	8000	8000	8000	8000	7702.75566445668	7817.37071779913	7577.43542688165	7612.26615460605
rep6	1874.91529033432	1376.44003416309	1218.10047898165	1320.29739713322	1722.72163591428	1756.11129963769	1708.04262345165	1642.93134331984	1815.43221597199	1574.77603329217	1373.27856657076	1751.45330312479	1787.33141292841	1859.52651130647	1844.08159101633	1886.67101153592	1599.87868072676	1707.04843399928	1729.45007068495	1841.49996276123	1810.27036430616	1854.95345934115	2000	1995.26229709502	1908.25803043825	1604.37132701341	1701.27552287386	1703.92581561098	1516.0072887843	1796.26986062699	1792.88915125196	1808.48650703378	1865.50602342268	1820.64529853635	1888.4939081744	1803.91321222443	1510.3239974772	1722.32326900571	1629.88279490041	1630.80932361051	1705.42567848079	1796.6340394485	1765.54746298443	1792.58059773312	1916.39112904707	1893.90093192683	1822.90879838481	1788.60120590275	1771.85144746496	1822.88088144165
rep7	1734.85483955231	1405.8035050359	1433.51903987175	1370.29950786377	1492.85684754494	1814.45827918479	1810.97703944624	1705.7944206641	1841.0657122271	1952.40542512006	1844.47283706944	1816.22459029517	1808.91639197043	1819.98189739747	1849.56732845147	1915.06521925081	1990.41821767516	2000	1958.9048956454	1760.11431997054	1787.88112858927	1941.13987185939	1880.67623662234	2000	1819.0060008639	2000	1945.95513445858	1981.11049409604	1974.27094491145	2000	2000	1882.652081921	1875.90448271745	1833.26339610827	1858.13183489178	1913.48084468925	1884.73552478578	1926.25084183035	1838.0449830446	1829.46400993783	1694.15482207331	1835.97668144313	1734.62462794996	1736.16609054845	1858.08870061138	1799.64649425993	1867.76033562427	1862.15567168868	1690.03607433894	1616.53277247888
rep8	1852.98810886452	1542.33101753408	1439.30223322819	1441.28307207257	1597.2836335474	1663.67662838071	1584.90899753356	1875.39850931985	1844.25936327768	1892.93487590626	1937.38222781683	1937.32471885261	1768.28172584713	1686.04945808033	1719.0452548431	1779.69789412854	1873.39256782335	2000	1732.77475016643	1715.99052861272	2000	2000	1827.67307635057	1807.86492341378	1944.37048749924	2000	2000	1747.98991036115	1711.30947112531	2000	2000	1990.68168221015	1967.23448111014	2000	2000	2000	2000	1905.4721365247	1907.41895205592	2000	2000	2000	1913.62418976561	1915.04454011111	1911.70069386331	1966.78712628045	2000	2000	2000	2000
rep9	2000	1596.23175691027	1432.85717687656	1168.85563262774	1600.85316475616	1838.28893044027	1655.29894299949	1225.48330418696	1862.70223310369	1945.30907419848	1951.73985858861	1850.49106816212	1947.1744924264	1865.02030669237	1842.23541812641	2000	2000	2000	1528.19716134198	1802.47532786747	1824.79839918623	1932.38133957282	1761.87624731625	1656.24133308579	1793.20769764919	1865.64351844169	1773.16268398967	1728.7653792462	1682.68274417393	1732.89233224903	1715.06042658256	1705.40192589281	1657.45483301213	1658.24023360568	1656.9406596969	1664.40352731714	1711.60890490731	1910.4652786921	1806.98203606292	1829.14299072521	1808.33835635044	1892.87579334694	1881.23902021009	1665.13002468806	1586.97164826927	1949.31550237182	1958.38382740284	1996.38155495803	2000	2000
rep10	1799.38422827944	1557.43171419571	1408.27237788764	947.215026074864	1227.40903171025	1676.04987337683	1732.22322968459	1380.00896841653	1603.3062053425	1523.65977660738	1772.8115842368	1788.96202729092	1871.49567053643	1814.44827850011	2000	1856.24908891976	1850.38696221293	2000	2000	2000	2000	2000	1915.31620602573	1750.51822357021	1806.4661928328	2000	1859.2908101097	1947.52016756528	1735.17782081147	1838.48479615602	1639.22466609215	1529.50407083689	1712.0526234929	1775.64355326555	1673.12223729341	1576.10887098474	1549.07854721934	2000	2000	1998.94569337111	2000	2000	2000	2000	2000	2000	1983.37627914982	1568.87620549715	1557.35323808425	1995.61519475677
