frechetCorrelationESS_RF	minPseudoESS_RF	medianPseudoESS_RF	approximateESS_RF	cmds10DMaxMcmcseMultiESS_RF	cmds2DMcmcseMultiESS_RF	cmdsD1McmcseESS_RF	cmdsD2McmcseESS_RF	cmdsD1CodaESS_RF	cmdsD2CodaESS_RF	cmdsD1TracerLag2000ESS_RF	cmdsD2TracerLag2000ESS_RF	cmdsD1RstanESS_RF	cmdsD2RstanESS_RF
rep1	1661.81478815346	429.603957588205	1026.39767175893	7999.99999999733	4345.12030315255	98.1169453534061	26.8026361931059	350.54355655637	14.746537935507	398.713942444823	22.0831702946792	429.284994230808	36.919083346191	335.109946011122
rep2	883.140759767183	369.867837115814	822.411982731287	7999.99999999733	1835.5366840284	101.84066851455	22.3711275253544	408.927923660751	13.9417537377492	426.665560004199	8.05199189878275	439.093102573271	4.53787773892983	472.87567383792
rep3	1750.68808459807	506.73418559178	1245.5730840049	7999.99999999733	5340.95568272808	69.3499751509479	32.0427026805193	395.159368880519	16.1647020600278	371.16291539628	18.2423386106846	395.087864816008	29.5228112571545	375.675493079339
rep4	1882.61881574629	480.888653981518	877.180654987733	7999.99999999022	2206.08763024384	127.362383598204	26.8964298750691	430.536331250533	18.7641116599689	486.069255001687	30.6820512749489	442.022995673227	42.5366645849332	340.441786023863
rep5	1486.23000202087	425.854085056247	856.45569300466	8000.00000000443	2143.56710966551	163.015508968295	25.0284807657346	400.249613635675	13.8555613491151	488.269466737001	19.4615476245257	462.772230913611	33.4929307892057	463.591590134309
rep6	855.130621864587	324.477302294763	1066.39041956514	2000.00000000022	684.105641759121	45.5518795742122	14.4643774533335	89.0678094042397	8.65864458608243	100.448171839179	8.72133629305402	85.8945774703922	13.9635462865257	91.5219497705318
rep7	379.172997639681	152.656170938798	732.409252702738	1999.99999999978	585.823497264566	23.8675152786992	7.75092518052349	127.298117826792	4.16933303724494	140.804880327271	5.14597304735562	134.849352895363	4.69853108220761	165.350450749086
rep8	712.133744730207	321.938085712737	949.124596170033	2000.00000000022	514.488601484134	50.7339234702345	12.2701119829024	121.41843415183	7.68425236972147	101.144603120593	8.42848067928188	115.004849306327	18.9516876714438	48.0665619436525
rep9	532.884244609388	204.239497396566	740.426651838619	1999.99999999978	541.279335151619	21.3545805282946	10.8047574047369	101.026047831202	6.40642128689171	91.636865311898	8.06424723220858	99.3494965215653	11.8002648885211	47.2712386341117
rep10	359.55307282214	180.660412018057	770.546714729624	1999.99999999978	669.202290579256	19.4738650301779	8.45811718752172	118.066931736882	3.23841878751082	113.593925720105	3.65374132483956	73.9229039559974	1.6586862431253	59.2497715322262
rep1trunc	454.10373591443	180.777114009397	669.91869117599	1999.99999999978	780.367931194247	57.3206787657752	7.71900462358837	100.901391797409	3.4786936678008	82.6156672508445	6.77117629962889	107.323922143488	10.7259458708144	88.18941701106
rep2trunc	813.072325949883	223.818868250766	893.712103091002	1999.99999999978	439.841705017364	31.6140560877775	11.5054018592781	109.629952443012	8.06036462674188	90.9746844048893	12.3208379980533	84.2968410850396	24.7250527078544	102.692733205888
rep3trunc	1246.38845602943	595.232351668219	1325.62251950993	2000.00000000022	746.12220943104	49.2126600625916	29.2693516200661	98.416189707163	19.6859486652191	99.7333336928777	30.0710097514971	100.433365138089	74.8044748445427	115.772565228336
rep4trunc	424.5378619743	197.179836813709	708.020089585937	2000.00000000022	547.890512203476	68.345279232185	9.72699947357483	147.77780088125	5.40374550067363	156.32376784693	5.09313516356941	156.802292874309	2.90824179237102	147.753304669919
rep5trunc	740.895855787069	226.565101597486	844.01807077651	2000.00000000022	486.143287618567	20.8906684698343	9.68677063543901	117.83572923947	6.72732457032405	110.448980999696	9.68931332174139	123.78951727781	20.6502407120782	146.690493689633
