frechetCorrelationESS_RF	minPseudoESS_RF	medianPseudoESS_RF	approximateESS_RF	cmds10DMaxMcmcseMultiESS_RF	cmds2DMcmcseMultiESS_RF	cmdsD1McmcseESS_RF	cmdsD2McmcseESS_RF	cmdsD1CodaESS_RF	cmdsD2CodaESS_RF	cmdsD1TracerLag2000ESS_RF	cmdsD2TracerLag2000ESS_RF	cmdsD1RstanESS_RF	cmdsD2RstanESS_RF
rep1	4837.72852873135	1649.27985045712	3991.39310957189	7999.99999999733	3294.13140217725	1238.40516179231	389.126674340622	4899.54412810411	411.980445510033	4813.92113791204	452.181498000404	4331.94662647214	559.491067456334	2856.3259322696
rep2	5036.24954748506	1660.26658019689	3768.19610954694	7999.99999999733	2437.17671406283	1619.23027386389	371.104084845366	5339.81703816664	415.19212385739	6252.12824740669	418.452422619509	5682.25954898031	522.597154866846	3766.97479018699
rep3	4804.64396724545	1525.52297994347	3807.39042657788	8000.00000000443	2451.287226849	1479.27332292614	408.962972039139	5492.8073910187	384.784287842573	5492.35140353622	427.250314540605	5322.76118711854	520.340558116845	3571.9109148571
rep4	4662.8262489219	1398.37582124776	3805.15725467102	7999.99999999733	2223.39482509852	1343.39067029032	449.516740715448	5486.13584427695	503.885054156447	5921.59067366417	475.850141042715	4853.22712584385	582.282805824042	3442.04638975408
rep5	5038.03671661004	1727.6423007966	3832.56729769037	7999.99999999733	2681.63913741637	1297.68574147094	392.95047424766	4766.1647935584	481.20118157162	5618.22833146914	453.403598102212	4985.0791166457	548.013573938257	3233.68889172605
rep6	1355.36413980753	747.349048621116	1450.02254509403	2000.00000000022	712.862914191041	357.245200058002	84.7687586678479	1635.03133842461	102.211013467031	1268.03019773344	86.7238236810456	1260.89679203741	104.898002492717	893.908151599852
rep7	1156.96102134833	615.193315233765	1434.06215758788	1999.99999999978	714.288336104637	421.013499643155	111.681807831657	1513.32277308211	121.838500865668	1352.97509059083	119.638561977207	1277.38784055119	107.337270529952	1063.05019407583
rep8	1389.28442989201	655.220257394539	1431.65645938734	1999.99999999978	658.358488332545	327.995600021803	123.131622466621	1660.83948611926	104.205026447892	1221.39828781895	119.154397090364	1073.90291600934	142.468310148702	808.530665605936
rep9	1278.24246026116	733.825370526633	1412.27806973564	2000.00000000022	735.949850618721	368.135255337135	105.849551185407	1758.01921951759	99.0456625103924	1328.10245199927	109.590514785552	1247.65019300667	115.808882319167	897.330811465981
rep10	1436.1612253743	681.224136383821	1456.60159538498	2000.00000000022	964.432816206195	587.712603078824	139.373326129316	1825.94879561404	116.87783022201	1559.86844709629	81.618597845363	1584.46829191711	169.906057060403	1343.25435716696
rep1trunc	1257.16091567816	477.575776082846	1416.39401567677	2000.00000000022	1248.82917648534	346.484835808732	108.1945836705	1165.92970972981	89.7720768914526	1088.63649558434	116.703419307066	1105.04111454576	144.834361785163	759.138653346123
rep2trunc	1300.09222538188	703.172084543997	1447.91446622965	2000.00000000022	629.977744798498	332.046946632174	106.02921258498	1610.92089663431	86.5070131605701	1422.67189590242	77.1715002518567	1408.85807636864	96.3071075951106	994.052464631993
rep3trunc	1371.20409756867	690.381176893047	1466.44711642625	2000.00000000022	827.020549564793	345.608419850457	98.832793583798	1650.42023798567	100.461973783031	1448.77960163122	100.521186839414	1209.28326879929	118.039942093064	1005.71298319079
rep4trunc	1291.69409732479	613.363431954522	1506.50723324413	2000.00000000022	768.105427007863	551.750204823806	149.540342204878	1582.39584379154	157.53414082798	1544.07816261014	159.841856117381	1304.89168732876	183.956800279495	899.442217449502
rep5trunc	1280.29831194507	606.255639115361	1441.01871503414	1999.99999999978	752.099041095979	380.535603033592	108.227166692764	1597.64669541757	104.226620108246	1530.31849709173	112.343274294081	1323.44433764192	136.13788876466	999.99843986218
