frechetCorrelationESS_RF	minPseudoESS_RF	medianPseudoESS_RF	approximateESS_RF	cmds10DMaxMcmcseMultiESS_RF	cmds2DMcmcseMultiESS_RF	cmdsD1McmcseESS_RF	cmdsD2McmcseESS_RF	cmdsD1CodaESS_RF	cmdsD2CodaESS_RF	cmdsD1TracerLag2000ESS_RF	cmdsD2TracerLag2000ESS_RF	cmdsD1RstanESS_RF	cmdsD2RstanESS_RF
rep1	1659.50987111903	413.609435374866	1013.14597379859	7999.99999999733	3299.40548486747	98.1283891661951	26.8026676612855	350.894874992369	15.9223131560053	398.641087882547	22.0825215600623	430.122495178519	36.9381418228617	336.593638305625
rep2	882.613286412171	375.751188020506	814.700707408304	8000.00000000443	1676.54077410971	101.228514671376	22.373956939866	408.701756870831	13.9412884778699	426.313214330854	8.05353463123743	438.21710830898	4.54926631039509	471.265061253486
rep3	1750.7037472185	505.024153718928	1227.86718898928	7999.99999999733	4897.17656013134	69.3674582896519	32.0434310380852	395.181782749657	16.1682465173361	371.081038960336	18.2423377630712	395.49224825043	29.5353665093511	375.697162915041
rep4	1890.44741757003	479.598731087664	867.619824523732	8000.00000000443	1709.37073235954	127.281115726587	26.8963204213148	430.273858953358	18.7568579481145	486.349309642813	30.6847127529185	441.561855454356	42.6000139648407	339.281386487106
rep5	1485.4018181165	428.154837421496	841.561518315267	7999.99999999733	2181.18215085447	163.834297054911	25.0256479265131	400.47621793088	13.8422783648787	488.142153926787	19.4584743631346	462.824751173585	33.4828482621636	463.353431677261
rep6	856.09885216938	367.758375198783	1069.57648429098	1999.99999999978	686.667094087836	45.3049989091954	14.4649075961786	88.997383542934	8.66307174005172	100.486274459108	8.72053291864795	85.8961720432415	13.8583540045662	91.1886103407137
rep7	377.659175746755	148.046080395023	726.049767567264	2000.00000000022	558.281343072228	23.9884572428216	7.75090154277521	127.381227433011	4.16337496541709	140.555610189163	5.14513061698795	134.827160822532	4.65862140721701	165.106432568091
rep8	710.90219194028	332.53680609759	937.175530253371	2000.00000000022	524.738034699479	50.6916706697847	12.2711908251954	121.201370478125	7.68086597098299	100.972918205875	8.42808147009668	114.829708022615	18.9722360049393	44.1238656270187
rep9	531.601238009241	204.670431676611	725.59134018777	2000.00000000022	534.455138793138	21.3853751721467	10.803933420659	101.034464038435	6.39880553300105	91.601190817728	8.06567837201907	99.3375628086151	11.8314777240669	47.5730216432309
rep10	356.560393268099	183.335244653728	758.585751700563	1999.99999999978	621.685905067855	19.4810047913733	8.45636706289046	117.909013355427	3.23498714833501	113.653336076927	3.65347878567622	73.8189015738099	1.66018702605931	59.8009997734047
rep1trunc	455.454406411747	179.779220929378	661.175730847085	1999.99999999978	821.382048067419	58.3790869948016	7.72005108500913	101.137945662182	3.48374396566307	82.5564874772567	6.77194776380742	107.484382505134	10.7308133300455	89.3243434212212
rep2trunc	818.869279957186	235.388158962938	883.480319977969	2000.00000000022	561.688801188227	31.37659322982	11.508908787683	109.791355111669	8.05236745245674	90.9999389215069	12.3251232886645	84.1437719955666	24.7247062544153	101.915057534862
rep3trunc	1259.67825005943	595.986601736823	1346.28692101544	2000.00000000022	1970.10502631744	49.361083773169	29.2794375832404	98.3890905109944	19.6705994793125	99.6029584437064	30.0639825828379	100.370944619459	74.7246244432192	115.526724473017
rep4trunc	425.948003701955	206.958158438273	724.335772167032	1999.99999999978	972.871601111463	68.2637479673429	9.72552379652615	147.688473990063	5.40321131197124	155.943056198383	5.09449921044789	156.910499220862	2.91743485118334	146.114894158461
rep5trunc	739.394244638128	219.403050209809	834.512010095783	1999.99999999933	537.630288538534	20.9470832035374	9.68628669451218	117.768688837176	6.7110461434716	110.412136166754	9.69011908730403	123.619156527971	20.6671584578231	146.180209000221
