cp12.gtr.rates.rateAC	cp12.gtr.rates.rateAG	cp12.gtr.rates.rateAT	cp12.gtr.rates.rateCG	cp12.gtr.rates.rateCT	cp12.gtr.rates.rateGT	cp3.gtr.rates.rateAC	cp3.gtr.rates.rateAG	cp3.gtr.rates.rateAT	cp3.gtr.rates.rateCG	cp3.gtr.rates.rateCT	cp3.gtr.rates.rateGT	nc.gtr.rates.rateAC	nc.gtr.rates.rateAG	nc.gtr.rates.rateAT	nc.gtr.rates.rateCG	nc.gtr.rates.rateCT	nc.gtr.rates.rateGT	cp12.alpha	cp3.alpha	nc.alpha	cp12.frequencies1	cp12.frequencies2	cp12.frequencies3	cp12.frequencies4	cp3.frequencies1	cp3.frequencies2	cp3.frequencies3	cp3.frequencies4	nc.frequencies1	nc.frequencies2	nc.frequencies3	nc.frequencies4	cp12.mu	cp3.mu	nc.mu	ucld.mean	ucld.stdev	meanRate	coefficientOfVariation	covariance	skygrid.precision	rootHeight	treeLength
rep1	7965.35852240413	8000	7467.4713678179	8000	8000	7796.97964462002	8000	7851.61116121179	7201.27459879643	7983.05204553067	8000	8000	7858.12086006937	7640.20042293032	7613.9918514003	8000	7153.0643061739	8000	7571.36191060203	7175.13384115492	7529.85576561969	7731.12281720509	7944.9251611804	8000	8000	8000	7952.83227446513	8000	8000	7962.13049384438	7560.19279480167	7220.43038619486	8000	7694.52495107454	7723.18185119338	8000	904.697186140589	845.82045459161	1608.59383158244	887.830887038555	934.894591021111	2134.06808042	1284.03228923689	1177.88688355696
rep2	7228.81317539489	7388.09869451957	6719.74834966934	8000	7915.82107836671	7781.85208750101	7374.01057067252	7282.59412889276	7802.21502226567	7532.94756201319	7804.32082788335	8000	8000	8000	7903.37707212351	7823.30895541587	8000	8000	7667.07466830936	7850.73210388514	8000	7760.51459918154	8000	8000	8000	6896.75970824193	7271.677820988	7534.33071545191	8000	8000	8000	8000	8000	8000	8000	7110.61230355056	950.730777865567	814.982657001741	2528.81260464423	591.151324406548	1225.93330714116	2021.01677792968	976.703214087896	1306.76103816412
rep3	7924.6473568523	8000	4574.68776237081	7367.24246716067	7843.83784847838	7947.71451708005	7872.81268132597	7519.31315351129	8000	8000	8000	8000	8000	8000	8000	8000	8000	6509.54431412818	8000	7653.09917144892	7896.52429638101	8000	7163.41877347136	7983.60347652178	8000	8000	7688.52950646234	7939.54179729473	8000	8000	8000	8000	8000	6749.15616287547	7963.67548380656	7049.39323984405	536.98180488258	447.521118394984	2571.68249306233	847.164220582616	839.830255535205	2399.82140524276	4278.19053358307	1791.98980451155
rep4	8000	7460.38070368588	7278.00838151062	7852.681992883	6921.5997289928	8000	8000	8000	8000	7687.81821362889	7869.73970503667	7988.12400160938	8000	7971.57329968885	7916.08327668348	8000	7411.81833838646	7500.41322056612	8000	8000	8000	8000	8000	7399.41417962385	7129.51214874613	7265.95812684981	7647.78845609283	7888.60634973737	8000	7797.76735713667	8000	7519.36904592278	7262.82703056899	7759.38650099374	7613.94715034319	8000	633.361420304582	562.107110603548	2073.13125005127	910.013167652444	896.862264285798	1919.59738083007	1464.00882006255	1390.56296279336
rep5	7844.37898803829	7832.95221127722	6813.6317769108	8000	8000	8000	8000	7612.41318175206	6781.59183405025	7254.48716960216	7790.55196251396	8000	7288.36383393107	8000	8000	7715.94569928504	8000	7727.83526679275	7585.36951448465	7938.00241788343	7752.05812951413	7969.9300685217	8000	8000	8000	7965.69952915262	7832.37410820105	7928.42603994911	7953.41523454975	7617.06043987368	8000	8000	8000	7994.89522863816	7749.63579628824	7499.9391522902	719.291683574478	595.85113324188	1719.46431265846	884.258147418163	841.02158752581	2942.87496803932	1365.91642378648	1568.04259305478
rep6	2000	2000	2000	2000	2000	2000	1900.01400009926	1911.37120441574	1885.35542322459	1300.80041288204	1931.01820603505	1882.89222431233	2000	1801.59714159274	2000	2000	1842.49034227787	2000	1920.11337897513	1967.89686267018	2000	2000	1866.28673357647	2000	1775.61475770149	1889.75538969707	1775.99878991592	1754.1061136405	2000	1647.97946580054	2000	2000	1794.9736942007	2000	1926.55129354034	2000	214.336271430923	194.933392922726	402.163916664324	174.849224652684	45.8288378036449	748.399895055423	240.743920650961	249.161479477883
rep7	2000	1907.27992834772	1764.64035573793	2000	2000	2000	1644.13935933478	2000	1837.30815142519	2000	2000	1708.76265019525	2000	2000	1542.49212218076	2000	2000	2000	1686.01959672619	2000	1859.24615675253	1896.67939584714	2000	1900.57477061787	2000	1659.09069400232	1528.934872189	1543.86842718628	2000	2000	2000	1838.94549493059	2000	2000	2000	1689.54105024207	170.666929477378	53.2444631774052	598.164481671055	162.360069712813	232.228609122265	854.214404394813	356.791441289646	464.136038004045
rep8	2000	1882.29386471575	2000	1962.11862245811	2000	1972.82957595621	2000	1831.49272414446	2000	2000	2000	1969.43111223993	2000	2000	2000	2000	1870.39684735036	1927.12054548885	2000	1893.90823909156	1835.59733905416	2000	2000	2000	2000	1874.79222687586	1545.69925433875	2000	2000	1964.41097133794	1953.18417303584	2000	1934.99667742835	1696.81264852343	2000	2000	191.777027214866	169.002198921216	793.36921144877	295.285247935156	599.596924056581	918.251876426819	1278.8148560154	578.482641875123
rep9	2000	2000	1803.17790512222	1734.65160359464	2000	1971.70326149219	1953.17719917139	1929.40315557427	2000	1977.73462193598	1814.90095219157	2000	2000	2000	1958.45177586964	2000	1868.65942293819	2000	2000	1725.94965225365	2000	1906.85723363866	1874.74671144072	1869.66319184883	2000	2000	2000	2000	1849.04062393746	1999.73336623354	2000	2000	2000	2000	1993.80045819702	2000	213.57453658619	124.643848943556	737.839561620016	328.657650860816	1335.26706709386	619.548947273071	213.669885277217	439.186881002425
rep10	1848.64896702587	1850.77122847573	1686.30078535922	1990.48429015077	1844.39746225721	1876.26068082265	2000	1826.34935448305	1850.27864081993	2000	1808.4650340725	2000	2000	2000	2000	2000	2000	2000	1968.1707525167	2000	1947.17291696499	1900.28423312077	1864.4360949224	1935.22767866023	1955.23656182384	1730.84577449867	2000	1775.6871446175	2000	2000	1758.63469715296	1995.47955523585	2000	1824.77386016029	1889.05415509643	2000	231.012388610085	202.450921323847	989.744990007572	215.280434292028	436.825696990473	797.642236752925	1067.07720208519	669.596069956471
rep1trunc	1944.6597340725	2000	1705.64661480383	2000	2000	2000	1984.48810854476	1521.2303418635	1653.58319886695	1991.48068455632	1618.45912239718	2000	2000	1991.12554435384	2000	2000	2000	2000	1833.39306725182	1815.56864893276	1772.59601663659	1885.24642011139	2000	2000	2000	2000	1987.86489931033	1775.79733464948	1850.70852391907	2000	1977.49662666285	1705.69941349371	1876.88524474592	1768.13013742251	1949.75635073188	2000	283.630321914429	264.945843302434	357.225698700805	168.733165266109	170.559207904889	679.278987162509	229.291631362791	282.535768248348
rep2trunc	1733.7688751691	1986.5922911649	1799.08516007185	2000	1898.30124504417	2000	1844.92986459487	1722.27300850497	2000	1777.5081038441	1817.16442315325	1634.71289974653	2000	2000	1960.57804230577	2000	2000	2000	1868.22957473446	2000	2000	1870.69328874706	2000	2000	2000	1607.37392119387	1984.1863419182	2000	2000	2000	2000	1963.41259861116	2000	2000	2000	1962.16772601796	271.582761820936	246.930842005162	676.93606169724	185.996722705055	333.810548726696	660.671249203684	342.950386341148	564.528679007439
rep3trunc	1875.86300267275	1962.28795626717	1166.03926005089	1660.21783475609	1997.00008951942	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	1768.89066610072	1907.08862990904	2000	1865.28313333398	2000	1718.92820478914	1948.76809329491	2000	2000	2000	2000	2000	2000	2000	1990.93800784164	2000	1561.66917576574	1726.16891749146	1599.06219597416	117.013358330876	100.451526450331	521.220547880854	182.182174621146	123.751544017991	529.25445226528	1030.36664850623	305.8222973569
rep4trunc	1950.73843355601	2000	1831.22042836728	2000	1747.79681845918	2000	2000	2000	1870.70394953297	1956.25378953203	2000	1677.89856731454	1871.22264734071	1574.03004536978	1951.65838577416	2000	2000	1789.7645961409	1832.25344393947	2000	2000	1635.61175729083	2000	1712.45583191001	2000	1555.8370951188	1863.48809862876	1750.47800834677	2000	1810.52870023194	2000	2000	1725.71737358012	1968.13899405761	2000	2000	140.055694389888	123.927477133204	450.84793455975	253.830242460894	156.942864992048	348.391790046994	401.030519752102	414.19463742292
rep5trunc	2000	1952.15461034856	2000	2000	1946.69543425758	1950.61964996422	2000	2000	1968.87342318114	1777.97553855108	1775.88800099477	2000	1807.16528264466	2000	2000	1858.79160415757	2000	1981.79624847247	1833.3960752692	1929.33495166265	1931.99292810841	1931.49613895588	2000	2000	2000	2000	2000	2000	1932.51570307696	1824.97838998665	2000	2000	2000	2000	1978.53733474905	2000	132.737740483642	104.880969114249	348.129224937446	234.719836032984	167.410790036339	601.377048047092	221.997690150456	250.949631849596
