posterior	prior	likelihood	skygrid
rep1	3139.51376879105	2346.48540930213	5121.23680051888	2397.16980895902
rep2	3545.61327511629	2959.80214383875	4494.59888666198	2957.61667223679
rep3	2897.11517203816	2456.34649019747	6024.22308243834	2491.45615934323
rep4	3103.12875431733	2689.08706635088	3909.29540222489	2724.27670455196
rep5	3623.50239662088	2763.57855301029	6248.1621170762	2817.55929560904
rep6	946.673246692485	618.704576636654	1254.2248320726	642.85706540566
rep7	1047.14374777067	701.042603995385	1571.43158895913	721.278443101676
rep8	1048.47414882942	844.322370592639	596.659161917732	844.547478752736
rep9	981.981515923637	802.707236154983	1747.96573628122	802.957714053891
rep10	969.515590322462	863.25102816644	1390.0335537255	860.73054849854
rep1trunc	721.986092029927	592.473602008383	1180.2762097543	607.034810756888
rep2trunc	1140.90817285371	823.09315600968	1653.16717583079	819.28266243579
rep3trunc	562.091150177411	406.56458233996	1492.27097051143	420.052702575141
rep4trunc	813.742359506462	697.369837623648	2000	783.043784214948
rep5trunc	863.492495069941	546.799111356096	1867.11002734248	559.783120566093
