skygrid.logPopSize1	skygrid.logPopSize2	skygrid.logPopSize3	skygrid.logPopSize4	skygrid.logPopSize5	skygrid.logPopSize6	skygrid.logPopSize7	skygrid.logPopSize8	skygrid.logPopSize9	skygrid.logPopSize10	skygrid.logPopSize11	skygrid.logPopSize12	skygrid.logPopSize13	skygrid.logPopSize14	skygrid.logPopSize15	skygrid.logPopSize16	skygrid.logPopSize17	skygrid.logPopSize18	skygrid.logPopSize19	skygrid.logPopSize20	skygrid.logPopSize21	skygrid.logPopSize22	skygrid.logPopSize23	skygrid.logPopSize24	skygrid.logPopSize25	skygrid.logPopSize26	skygrid.logPopSize27	skygrid.logPopSize28	skygrid.logPopSize29	skygrid.logPopSize30	skygrid.logPopSize31	skygrid.logPopSize32	skygrid.logPopSize33	skygrid.logPopSize34	skygrid.logPopSize35	skygrid.logPopSize36	skygrid.logPopSize37	skygrid.logPopSize38	skygrid.logPopSize39	skygrid.logPopSize40	skygrid.logPopSize41	skygrid.logPopSize42	skygrid.logPopSize43	skygrid.logPopSize44	skygrid.logPopSize45	skygrid.logPopSize46	skygrid.logPopSize47	skygrid.logPopSize48	skygrid.logPopSize49	skygrid.logPopSize50
rep1	1814.96374980864	2395.88265659585	1191.5398485332	2035.21089917726	3830.77179727936	4756.06545405343	6587.40217774851	4899.93644005466	5744.85116310664	7010.75988180233	5253.68078096167	4006.92471813655	2354.53528657967	5991.17669441359	5791.69889176573	4615.47823282855	6158.00776638675	3143.03965357456	2911.77588653257	2590.70571353337	2318.82152063927	2165.58842712005	3005.91450852711	5152.31917219071	5870.93071027568	5434.25775924912	5105.92317793327	4632.41435519526	5085.21888263037	5829.68595044423	5751.51939528237	6166.41533926298	5870.06227578319	5570.75605340226	4310.44088152674	3214.69294565769	3056.48631703888	1978.79433845287	2338.90110875997	2705.28801571728	1041.12257296357	1369.3037255489	1490.392389401	1772.45554985389	2082.47529698623	2370.69872293155	2822.8436584112	2172.9688032943	2084.07132984639	2404.57750483999
rep2	2031.70614401702	2862.00185582694	1478.957610738	2290.57868019829	4307.3225458294	5271.2647750029	5842.82940778612	4758.51127273318	5357.63405351198	5620.52741336015	5728.08803496435	4524.55539066443	2624.02211360876	6521.353949801	4840.32504071818	4091.12944631798	5109.21539432512	2601.63798268673	2453.86285734763	3153.24185435536	3007.20205473882	3565.21085008263	4527.17738981044	5933.55022350645	6700.92892754365	5748.0104841028	5408.49432327285	5267.00033168643	5594.71622243464	5496.08734770089	5386.99185963064	6312.04870188541	6554.69497227307	6120.63401959809	4336.68691574249	4386.88521214235	3959.37336885267	2965.79716844027	2435.0116225766	1882.14158085109	1366.47086250314	909.091887999799	1234.70306753868	1341.64490708994	1370.21981101045	1711.81008320554	1830.02739431677	1774.00554471388	1863.68419512588	1799.38905928679
rep3	1872.54335665434	3013.1104687842	1624.46828387692	2982.19245348152	4455.05664219008	4604.54095370539	5489.71055206927	3440.27762107013	5920.93775243909	6303.38110237829	4924.78733424252	4663.34791371674	2463.95970740233	6577.86911940654	5649.57614620029	4363.16088345637	4364.27152114288	2875.9825096701	2157.52132319248	1860.93137427505	1548.96399224741	2144.48648994254	3202.58150235244	5312.10268882905	5614.91345688952	5831.10590444475	5238.56441219639	4822.05363708795	5380.07209176561	5479.8677054522	5815.06425034537	6292.54811292207	6739.93136833005	6122.70083806656	5490.22464865616	5178.30738085497	3509.74999466276	2810.34183901319	3750.35578570484	4972.72305359116	5935.80644810962	6550.68520558231	6608.03637133847	6597.37381363459	5204.23203048945	4709.57643517459	5039.92748224932	4505.8169418138	4612.90998422115	4600.41575300571
rep4	1681.78699140049	2580.85402393625	1733.98314316779	2248.56465999711	4134.5713786807	5509.71296726945	5741.10464187148	3920.99386684631	4903.08797705375	6866.21940313326	6266.5920900166	4836.42946697482	2157.59177148663	6185.90862814374	5901.33643716807	5184.43408414647	6354.02501860461	2426.2364969099	2273.13898756249	2828.34659358325	3594.12189221661	3305.66957330217	3861.8393807328	4882.47201752929	6049.03151636182	5711.37569847347	5644.30017074416	5526.19468497131	5477.26877272825	5923.04106911769	5644.61069219955	5710.41387380643	6246.68660229778	5436.21824185749	4387.22439115537	3291.70712449277	2612.54052826757	2029.33795185687	2646.03278796338	2051.81244731197	1264.48969948629	1082.76678921226	1117.21110651319	1165.45397722407	1293.18015120965	1417.00485801334	1809.82827595149	1752.3310349613	1895.5328844476	2149.71532749476
rep5	1941.40293963387	3273.8511624895	1685.89208068057	2639.82278639347	4357.07634571489	4835.0030015299	6315.59283212566	4301.6542664425	6296.54520819722	7272.46290375039	5414.59057244342	4059.76036388259	2601.6815006905	6352.68600725062	5624.19991709059	3584.54192152377	5834.67166835675	3340.71358011541	2659.14060804987	3119.74351090819	3187.64469187567	2212.63336518354	3553.47981208359	5522.46032783041	6599.02047218641	5920.63350025889	4738.40425889397	4111.90352564261	5613.87575193014	6415.78566991692	5934.7276205667	5912.8712943754	6622.3312679125	6339.06248156831	4834.76220241284	3313.62430375243	2825.69131046841	2505.51194141092	2617.32770977018	2246.11234869422	2079.12053678993	1371.64553539415	1452.19186128873	1859.61196997515	2127.71545322105	2755.61785861409	2349.98664151246	2058.24857033074	2189.84440214442	2609.84505524756
rep6	504.138906380853	538.045978235859	400.801079089431	437.362906599124	1567.26498302948	1346.85070106175	997.429597982247	889.422678651129	1291.67124741172	2000	1282.90304966247	1088.49692249042	509.79490665161	1721.91104396162	1318.04639920524	934.694108080763	1426.12725414701	809.602220350548	630.709498964	543.797296511604	911.174935702292	609.252452462065	664.159609048746	1471.12682848949	1500.82082740854	1898.36611774864	1425.06518047425	1128.37541015754	925.399418487739	1707.91389460186	1560.75954708066	1412.37662625092	1850.20086726367	1635.70479342288	1673.59278773286	1155.82428103986	1017.78106802495	651.368538731521	543.948112219506	695.389990242105	388.602883662201	212.141949865145	236.596663597932	281.629380707212	269.24967772449	282.526088960369	434.934544521628	512.288469255391	458.088181013165	522.774648739455
rep7	590.221673398279	720.404395874452	551.124149377675	669.047535496022	707.069491501233	1194.28489759194	1350.07510847273	1223.33472229841	1421.52788997299	1656.65244102896	1316.7394683285	945.508241886245	654.836252818504	1592.39146657712	1501.49593391358	871.698877054446	1609.20001396333	986.732944487183	648.175425586219	513.426027946546	584.693557413772	709.48192768682	836.612189039003	678.483896850137	1362.66012801312	1624.88561712398	1324.40773901019	1376.83111649975	992.102403284471	1707.46740424153	1623.78994648366	1585.70546969959	1477.40860501059	1308.9734412025	1300.20185843907	1032.93797401735	1078.46529620518	972.639427737233	770.090676663374	720.738774453689	681.734638202856	489.095106340532	353.26126780308	756.837008777831	727.800355670616	696.863236091812	760.934607164274	726.89572378715	731.808831650351	727.780571696097
rep8	676.578403477904	883.807699622796	529.227997478374	754.042039307387	1024.52132728022	1355.95380786417	1598.29130411184	1358.78374685413	1642.17441596981	1460.59328401693	1422.96843463435	1046.96609450485	569.639652869544	1523.69410634848	1241.16345874489	1068.32331125092	1151.95041758898	999.138023300089	808.885060027245	705.412135390441	752.659299910711	775.316599377867	694.270276382244	1210.02103963046	1596.04409931753	1513.01698280601	1642.91802227368	1499.0651425462	1249.45323585376	1160.40123654191	1349.40132795778	1164.7124703917	1728.16888631429	1245.63582949152	1134.64176133892	844.880956045541	600.091833435619	585.713420554127	569.326562950008	1257.80479896176	1385.89945223511	1328.35938634609	1656.29420111628	1717.27422818311	1566.99948054415	1579.96427524841	1388.64049112067	1417.44501495685	1271.61379816692	1198.40074250536
rep9	482.06692186107	848.674608290212	547.127936951955	681.564671956731	1267.7359358019	1513.53210097337	1568.72868865016	1424.68294373534	1741.34007958871	1795.89451256081	1167.72920701095	910.24408095826	680.412764091865	1295.17503035596	1396.23846363887	1128.24820201001	976.042000102718	515.651681328633	564.96465146198	632.421608357198	1005.99901602863	1155.20723166974	1280.58064199954	1670.1177464624	1630.73538298843	1721.68431450081	1287.78330147462	1235.29637726072	1709.77481687785	1527.78266595794	1504.4130335915	1405.90366506343	1632.18138911532	1464.1991036914	1305.12355076831	1132.1467695746	963.049078927531	604.054659915024	574.558847025879	711.95287814429	382.644353487043	443.373519109134	424.210928433625	501.310800055963	398.703984292261	346.296178829654	394.719099807788	395.978452898637	615.239002184107	619.339927970054
rep10	542.176073141688	1295.73648753937	785.043903182406	714.112137099837	830.796850729164	1152.57466017017	1424.36393447289	1309.64827813321	1397.37643219523	1663.74054903402	1530.95543800921	819.981944479603	1043.28754966785	1323.69850587014	1482.56938472401	850.739934003227	1202.51645787723	1034.54157589736	576.575961605085	730.589283743218	759.893884993762	705.265772439713	1148.65526311797	1359.21716980844	1536.69264361018	1359.59979536833	1435.18861729738	1771.79502129253	1310.06787965387	1506.54268194526	1306.31278763756	1711.63410578016	1784.33640007047	1426.81625689374	1576.70804112932	1554.73761503987	1232.48656163348	837.268883981202	595.801297752953	973.893153343337	1403.89814398964	1669.35220456507	1772.41858802356	1708.17356963423	1768.78836522975	1568.75377972584	1305.01093617438	1072.3695463449	1157.83620616769	1234.32471746286
