frechetCorrelationESS_RF	minPseudoESS_RF	medianPseudoESS_RF	approximateESS_RF	cmds10DMaxMcmcseMultiESS_RF	cmds2DMcmcseMultiESS_RF	cmdsD1McmcseESS_RF	cmdsD2McmcseESS_RF	cmdsD1CodaESS_RF	cmdsD2CodaESS_RF	cmdsD1TracerLag2000ESS_RF	cmdsD2TracerLag2000ESS_RF	cmdsD1RstanESS_RF	cmdsD2RstanESS_RF
rep1	2859.29069451796	762.495658327534	2033.3306303741	6867.76467123721	5228.40752544643	869.689349452284	1351.27275601806	304.346454706971	787.863613345338	257.333629698432	627.783978464891	174.690880750908	596.454067659546	195.56956449973
rep2	2977.78301660069	959.301346413659	2018.6141371016	6934.03923985607	5375.60502231041	658.367856892011	1468.07074886957	278.994019368755	752.427296735602	220.048610669148	758.24156668558	201.568069902415	761.765455140298	198.136477953941
rep3	3266.07076310613	1156.85604366989	2207.11136092641	6963.3750346034	4360.74551457216	2877.92971640098	4360.74551457215	2302.18257829424	3947.44458174567	2148.0535475341	3207.24078087567	1648.3454185319	3074.12120121456	1681.58153182215
rep4	2603.29012231747	651.799311365228	1800.06511604579	6864.58408598987	2528.51510858101	649.638509034331	1210.14454989596	271.257701485677	692.457776182265	248.148499953242	517.612134546605	210.94442513752	541.750923256632	211.209312317811
rep5	2787.4820413979	797.419787913308	1829.53065524066	6828.35882817244	2065.84006614295	458.270963406114	1053.85999676304	302.751014619243	585.731596304006	265.685337245132	490.648955797962	290.55120561611	491.737899740457	309.212008801475
rep6	592.871317588602	183.829258228064	603.411211374831	1733.24794267369	1096.99226326655	188.003912588532	397.330688671553	97.189794568629	201.917334950629	78.4521744196095	176.785003128172	50.2078333411039	187.627250202141	55.7700318932325
rep7	202.535111901725	32.0774426754927	105.716010690291	1528.85586187264	566.516064140984	66.820875056464	101.391566767757	99.7882094334262	25.7206653727303	82.6119256041392	13.6864144811835	62.4091266225538	14.3168897487642	80.5166236232637
rep8	154.098739069754	24.8317433224231	78.9792498058879	1326.7079173872	953.187733984352	77.7741380605849	62.6864628712313	203.276259825058	13.1528282666739	148.034451257407	12.6966713708193	146.579472527163	8.70665720309271	194.538810555427
rep9	703.056354253743	175.654693686215	539.009557735701	1725.66318966948	769.349974926767	259.222728425455	372.20883673436	101.722785290468	164.374490495063	77.6839359383299	147.958854262816	77.9398481614795	154.519375218228	90.017807938029
rep10	784.589644064735	221.809871726518	540.094092352965	1749.14625573388	896.181181840424	313.19696048763	801.411057915718	130.619818224563	446.855777115165	136.904670167073	490.629768381684	116.28802242503	502.858224499024	144.858096435675
rep1trunc	683.7124600342	166.475858039007	570.422707290338	1703.63052708251	894.44439961602	267.122511887475	411.799655211759	112.558144165327	173.397853417986	50.3089803429682	127.629180340468	61.3996506745138	150.055744394315	72.0037571968827
rep2trunc	999.409261676126	300.148173971815	927.061862732293	1747.851315482	1090.53065141989	373.580998391771	574.875442036773	106.092631430597	361.618795337977	62.8954361933554	357.92172030637	47.7756551137191	357.356496284337	55.5003026530096
rep3trunc	853.859993934359	242.457293176334	686.985655233221	1736.96680821435	1420.91911861788	875.398051088177	1420.91911861788	583.831204708944	1004.65240652478	451.911477189929	926.842977466424	365.985190577997	907.624469031114	403.970147280173
rep4trunc	617.670482537474	156.557150411855	618.842626261266	1702.37336336445	637.690692516495	141.998185385824	394.930165763626	108.665258011619	134.603449116869	84.5480822069063	112.135608093562	57.1343200805891	121.497091341939	66.6524067278263
rep5trunc	653.305345782365	198.534302631937	561.462751182126	1514.67447443112	584.076597947024	123.881511988846	344.706551178911	94.6087980815615	160.632644249682	70.7020841875615	115.718074896455	79.8194644031758	119.876118665041	88.0757268260739
