frechetCorrelationESS_RF	minPseudoESS_RF	medianPseudoESS_RF	approximateESS_RF	cmds10DMaxMcmcseMultiESS_RF	cmds2DMcmcseMultiESS_RF	cmdsD1McmcseESS_RF	cmdsD2McmcseESS_RF	cmdsD1CodaESS_RF	cmdsD2CodaESS_RF	cmdsD1TracerLag2000ESS_RF	cmdsD2TracerLag2000ESS_RF	cmdsD1RstanESS_RF	cmdsD2RstanESS_RF
rep1	6235.99659794713	3872.7119329154	6140.89889616076	7999.99999999733	4312.70851902826	3354.08982183393	3480.84996268019	3266.9761813357	3746.78726340004	3634.32553892007	3593.8685864197	3506.6541627523	3626.42619555769	3584.35409590957
rep2	5743.27688325281	3148.61931127416	5301.22116952017	7999.99999999733	3760.3961035615	1180.85039111843	739.407960222497	1283.78702374609	537.881085378667	979.987903916264	491.3128704832	892.286360415848	1030.58787480017	1131.44356384441
rep3	3802.50497983626	1291.58616321532	2658.44275586817	7147.93072803717	4080.34276511385	1903.03005928605	3816.26573810672	1254.74779204369	3136.44910627113	637.498471110089	2834.21524435529	561.374040256904	3026.55138729293	500.622719615859
rep4	6055.84674594163	3093.70862060406	5603.38534949128	7999.99999999733	3523.16876678103	1146.27618153542	976.711446615152	1429.01758833486	995.854515113233	1303.59566912304	949.19975787086	1174.38194227257	1512.38117895301	1337.951573301
rep5	5180.06856997327	2197.23017753344	4135.40465110064	8000.00000000443	3734.60832597835	1248.4062041404	640.70793106204	900.441225330308	451.159166523793	587.043302982216	370.198018181685	542.608830417685	632.435596328477	661.252661252799
rep6	1553.68607040364	789.855590338361	1627.16138662454	2000.00000000066	973.226605967159	337.138439006494	276.193584003634	399.307064610746	276.019939658681	363.478104521199	280.888655666865	364.415146333312	439.197452389047	390.55896868364
rep7	231.150852496324	30.6409382558538	109.847508015624	1791.96391777914	1033.07383331792	542.219602373545	669.804563708192	565.237318132225	635.207247704012	676.78139638198	110.181727471906	303.489051728826	194.148903111645	196.286479445718
rep8	198.314032488224	28.8575974744855	93.723510805445	1695.50865398278	761.489099535676	291.474850869853	180.794830858463	377.065338906671	176.436251263639	329.150033126217	72.1885787098742	340.475578896768	73.7946014709427	410.142238200333
rep9	1019.29911141538	315.946975487178	960.606260993732	1999.99999999978	1013.17661461965	253.913205024045	507.740697741132	311.784933477219	385.257101599352	118.091983687676	343.955203730819	99.7579216562504	461.372245790658	121.930712258412
rep10	813.854790665891	199.178600248297	576.475371808026	1780.35535916011	959.462688295058	125.318429286051	133.535597157403	129.387714868366	135.495659952973	133.382479887928	121.81977710668	126.520355509844	153.422576844992	142.252026049316
rep1trunc	1583.19237723529	710.574420249251	1631.33015152943	2000.00000000066	1465.07234183416	934.618754674813	823.372178986886	1039.65583521391	892.747619160993	1169.47695031259	877.197258811	1072.15229193876	930.20828347199	1106.96689960689
rep2trunc	1567.54797591181	967.923064922408	1547.60980405276	2000.00000000022	1058.59721113172	378.259975897322	249.110532584029	413.731615417107	177.822642666774	433.754798544976	196.968709008028	363.168467002315	363.847961423015	488.781567631052
rep3trunc	1030.91389791811	257.572509745266	948.936194508515	2000.00000000022	1174.206161621	576.683799023432	977.622586392219	430.220538820867	1021.43539670784	192.028720132193	894.337546179146	164.029212664198	927.071603607971	171.782977402833
rep4trunc	1523.5374606432	707.156408901246	1517.78542777462	2000.00000000022	1040.36388303585	420.933839425815	302.045471795742	453.621577903327	249.951459505675	418.380712794357	129.833268606521	277.333756121408	351.587640548105	329.070778340274
rep5trunc	1318.72868322804	563.329355162975	1345.00724423659	2000.00000000066	984.237166808656	337.202208398401	179.693566154657	313.825384302734	116.818592235155	268.987746254181	107.800103921626	180.206782102457	190.482805321185	213.46075307603
