kappa	alpha	frequencies1	frequencies2	frequencies3	frequencies4	clock.rate	skygrid.precision	rootHeight	treeLength
rep1	7662.52568885984	6915.07511923912	7457.75449000825	7355.66306145585	7478.09045649962	8000	1299.02147542569	3872.53243095391	5512.97441085737	785.828351406627
rep2	8000	8000	7588.9714765382	8000	7868.32903823978	8000	1286.31133414894	4824.45753055465	6016.23377415411	822.259486913919
rep3	7865.9291313863	7810.51897302915	8000	8000	8000	8000	1114.35277894202	4167.121890947	5888.42559953839	724.305747161804
rep4	7340.72989642584	8000	8000	7864.18827934221	8000	7859.3611721957	1175.20850066166	4250.70359622315	6701.20747888389	695.634966326391
rep5	8000	7667.83722055793	7507.48276268688	7674.27674041087	7722.60037696806	7789.71206971649	1485.36908420887	4654.73722235135	5513.87814600275	906.655928683835
rep6	2000	1909.79671636961	2000	1871.0770003587	2000	2000	236.255147319155	822.064181537587	1380.15018031047	140.201014085968
rep7	1825.00437418603	1845.16531078472	1784.6068338637	1902.58849968218	1923.15722160345	1980.08831802727	550.85346025796	1238.1494695404	1312.17715549113	306.373643081231
rep8	1586.00529066049	1813.06295767022	1832.40783100502	2000	2000	2000	424.01080321088	1191.12344441674	1693.57251612908	260.559323998049
rep9	2000	2000	2000	1935.90469697574	2000	1948.55426570665	326.31581517926	1131.01957962655	1525.10968719387	216.69357784323
rep10	1864.4565576673	2000	1982.0238616589	1952.90799659411	2000	1906.72578688793	308.284640318268	1116.93796382929	1801.39308295465	172.809339889074
rep1trunc	1900.05304995794	1382.2612961111	1693.48387919871	1939.37751105236	2000	1437.86321959346	462.281987633988	900.532953569454	1570.74325066868	227.820897619773
rep2trunc	1901.26067016026	1904.19478364427	1796.43040663394	2000	1977.00778152505	1919.81526933226	365.309383427979	1121.64993102147	1610.08878301037	223.210649073245
rep3trunc	2000	2000	1960.15616015735	2000	2000	1865.58629939203	362.392292755968	938.008747222537	1509.29824857288	244.27855778866
rep4trunc	1272.43689352923	2000	2000	2000	2000	2000	360.267694479355	987.817173021853	1524.99140249952	213.217596321292
rep5trunc	2000	2000	1756.65498617581	1893.00656958588	1924.24534185815	1845.42301515106	427.473340461171	1337.57379763503	1552.07302807687	278.465022851475
