posterior	prior	likelihood	skygrid
rep1	1040.83735552729	890.066940891481	589.217637349413	889.597641517416
rep2	938.433194455261	792.560188157294	443.021148771128	791.967772923146
rep3	752.21113029694	591.319231948129	544.878547308872	592.018750756384
rep4	1200.4950368436	599.27639241618	1145.64559990843	599.403028408948
rep5	1020.09746836403	981.248132119456	809.602586008401	979.925608493499
rep6	145.092474575027	113.575093667219	250.947469258637	113.568648338328
rep7	238.273354889513	259.838476723245	313.116980438887	260.060762257332
rep8	283.499338591074	277.130800875117	381.019624574393	277.051913651042
rep9	349.494541048189	234.912023546133	193.232466835545	234.905328376927
rep10	290.376400628079	234.484146707303	182.989767233198	233.754408794596
rep1trunc	280.066572678931	256.851860705928	141.745219569505	256.5044008374
rep2trunc	241.669779547317	246.795524498694	207.954049058357	246.447344267094
rep3trunc	146.374170225954	149.685191393596	233.406815662826	149.964918592897
rep4trunc	170.035327561557	167.027916300108	427.474318840098	167.261032017126
rep5trunc	303.859971122752	305.34184439621	199.690987053726	304.74586569623
