skygrid.logPopSize1	skygrid.logPopSize2	skygrid.logPopSize3	skygrid.logPopSize4	skygrid.logPopSize5	skygrid.logPopSize6	skygrid.logPopSize7	skygrid.logPopSize8	skygrid.logPopSize9	skygrid.logPopSize10	skygrid.logPopSize11	skygrid.logPopSize12	skygrid.logPopSize13	skygrid.logPopSize14	skygrid.logPopSize15	skygrid.logPopSize16	skygrid.logPopSize17	skygrid.logPopSize18	skygrid.logPopSize19	skygrid.logPopSize20
rep1	5286.9552818521	771.151442330141	802.98242026376	1957.0207922767	1648.85302272573	1628.3394892994	1481.88177409016	2140.52766184632	3300.22875735301	3231.82769714809	2122.65707392876	1706.94283881383	3935.97677905187	4348.86563542259	5259.80041691493	6880.64958835719	7455.49858154314	7401.42351149252	8000	7966.67988398245
rep2	6563.30266809729	704.822316957785	1688.23248165408	1510.00262987684	1402.55947409907	1654.8290916687	1109.07645806078	2616.03480372473	3646.91305148763	3521.18585655872	1914.66488384858	1708.9119273502	4057.87079595894	4945.84008688318	5206.29595129206	5961.60853357803	6729.76787424128	7232.55812137361	7238.13103770478	7281.49732671631
rep3	6594.83170640637	763.451734492531	1113.76851564168	1623.78716769874	1654.39857511387	1457.03809097064	1066.25694874193	2264.32651533083	3393.0612892284	2896.81735107766	2104.73381966861	1163.83344000146	3066.8741266172	4828.10671801354	5668.01358596709	7187.79554953651	7433.65913082378	7462.29855390765	8000	8000
rep4	6888.91285390245	1081.83885017611	976.316867630754	1862.42748250936	1635.37602077438	1893.7621582268	1423.34550838951	2436.63225446262	3147.59592988598	3631.44660166786	1578.59809038223	1348.41336600306	3938.3486485757	5109.19580202794	5630.42129138389	7449.86337034802	7063.2480606195	7591.35731910771	7584.33874432908	7867.75448447373
rep5	6177.37612745929	982.028806734707	1647.15585118465	1830.38400863689	1728.80292626389	1662.89733344775	1129.82698374203	2665.36908377075	3809.21616354912	2771.93736392295	1969.01684443111	1424.48950495934	4182.05918546116	5166.75715354789	5379.39117635615	5812.23117909432	6054.63359500271	6821.90886204602	6865.0113719626	7813.50297657389
rep6	1646.68923702477	216.926631331728	412.377684570945	348.217207220324	330.0801054599	414.607400963487	174.219151060103	696.323278877086	920.943639925186	761.579682271244	604.833565001848	360.380965152321	987.226161404472	1167.05630081352	1041.73744637066	1489.11977637801	1528.40974736602	1529.42289607026	1633.68760856746	1556.11252069256
rep7	1673.20540556602	383.567834291559	337.68246279003	502.572171483282	480.419137694241	474.844012684742	329.444352531814	511.821485680641	769.424393401543	846.572740574552	633.543893580278	425.154799339862	880.391227452227	1300.90827014667	1211.54124664031	1531.24620998632	1853.6554423736	1822.5286836833	1778.90324326866	1790.37791551026
rep8	1464.84690572644	330.808223072969	395.23747704683	410.212153825141	279.042607682299	231.686342535088	382.418564442933	379.112888914264	1000.73152634366	838.91849165922	507.840461536338	469.922761529335	937.799087529666	1178.80456973226	1222.83799929999	1702.52736875179	1867.82325467323	2000	2000	2000
rep9	1725.04857117694	253.748744314285	421.127770975944	347.263337650604	326.84568231367	337.005758361507	453.646743122357	629.491406756468	1129.74275248244	824.654360588648	442.219250289349	352.474439270319	937.527402363124	1181.80332876009	1319.03652953799	1676.80941294266	2000	1792.60791629808	1855.50357130768	2000
rep10	1452.13780225669	270.372175332077	336.156578327452	432.916779343767	418.655806732156	463.190109643599	302.535400649383	702.11261483063	699.175087071519	941.283987956317	494.03087456594	405.486844843199	964.598809476054	1199.33645735615	1295.25063680688	1655.32184722677	1752.00239379552	1910.67780869542	2000	2000
rep1trunc	1152.21372157254	241.531837563415	280.194967609309	510.413473766478	495.615253077194	382.720387373018	398.045267367385	575.235902652454	709.809588685504	555.086185881159	553.03589312799	457.960245209876	1066.32637699855	822.024942347827	1023.22192262674	1756.83046938681	1805.10040829385	1708.80211988735	2000	2000
rep2trunc	1597.26536343663	248.982320366405	362.433479862039	347.344226134399	448.621540590254	430.019089969419	342.286726143992	820.243266342214	1067.33794390514	996.698885045407	432.131341851601	410.315696904327	909.75474675862	1176.69544053893	1416.63893537932	1863.10675267609	2000	1994.38328391607	2000	2000
rep3trunc	1538.05436933248	228.902661758158	363.385208608645	375.546830284922	389.328114149432	453.876674690603	224.352988110531	668.943252537596	847.554739135319	561.65443163242	438.977938023938	430.508537293316	648.541620723821	1382.91637104141	1535.98967569131	1761.53059374782	1687.96567639702	1607.93022137592	1614.95754420228	1582.92271396006
rep4trunc	1792.64650179151	285.390314995888	382.415001267497	348.55376700796	301.385351087741	306.503085210562	489.850436675246	708.297215528792	832.077133199057	901.960622066685	434.326118652334	303.364096442127	787.110722840172	1296.65557016952	1233.87548863244	1829.58952996989	1815.5397571502	1968.92205589705	2000	2000
rep5trunc	1832.21191282524	158.346679991891	339.500946121278	411.611669987573	432.089149754353	472.277996874593	286.335057167015	389.137271471111	1078.59947666392	863.616177003419	568.253077545391	419.907870997103	1107.2056429258	1493.77168855728	1595.71773535329	1584.24595299236	1149.58245879109	1568.95439564905	1479.86461440538	1558.96069469496
