frechetCorrelationESS_RF	minPseudoESS_RF	medianPseudoESS_RF	approximateESS_RF	cmds10DMaxMcmcseMultiESS_RF	cmds2DMcmcseMultiESS_RF	cmdsD1McmcseESS_RF	cmdsD2McmcseESS_RF	cmdsD1CodaESS_RF	cmdsD2CodaESS_RF	cmdsD1TracerLag2000ESS_RF	cmdsD2TracerLag2000ESS_RF	cmdsD1RstanESS_RF	cmdsD2RstanESS_RF
rep1	2231.80336056523	600.54368399193	1806.99988984193	6835.61129155241	638.933868903983	154.384857427026	203.971221235135	112.724145700862	240.632232758121	128.700606366301	209.537261334118	76.9331506290158	244.222729611866	101.034033151857
rep2	1880.07320744133	305.748747594758	1272.95523847587	6819.86756386819	417.120620163626	118.149370335461	126.56155167692	46.8400711502234	150.093674843759	56.4806906288987	62.5669878437797	31.6675132886104	74.9962014008406	39.0010765376899
rep3	3029.67736462684	922.281536176731	2041.78211519912	6848.49003025417	582.464326832903	187.190863395692	184.799386335774	113.70316781819	222.794190297586	97.2287302269638	171.285825350352	63.3682164060648	139.320546451178	81.9335705580148
rep4	2692.48561247818	778.996958779723	2014.77070186573	6853.46758943589	390.938038709488	128.361999640614	207.96428707916	105.106718644209	241.236326267158	154.249563053788	189.718050297374	58.6908546016289	179.835559466564	67.0894120526784
rep5	1635.33982511444	569.715538043812	1464.76262645282	6835.27391444501	427.612565496649	114.597068555201	129.269341490574	71.0257203263626	208.615716371668	59.6082901676536	157.027839352884	20.4175766639403	154.570537560637	20.9106894121843
rep6	844.712672824189	600.656373402866	1208.15753345576	1713.12210886707	227.308954541952	40.8818751386084	54.8681589010777	49.5507919713784	64.4969677166429	51.926395353977	67.9009353164613	32.886469587325	70.5604152136507	13.4222318739885
rep7	897.303573786813	644.510925176957	1189.26470288745	1709.80068800038	152.061336074537	30.0397867453442	50.0682670855558	38.8148070554164	68.9353810186595	46.5359160657116	38.3804105437462	33.5795999457402	28.918788541979	33.2739021642748
rep8	571.181833102878	544.055959935647	1094.75436810262	1710.23695102732	327.237030007327	57.7677298273258	70.8119406352092	55.2840758085767	78.1285143703585	69.7121079035116	68.4281679816982	76.1305526956632	54.550659117622	77.8783362718882
rep9	580.41577842784	551.4262927438	1100.02568529719	1712.25172666899	459.764692329758	29.9765441035881	32.8874435990346	20.4225057349333	46.8840817610121	24.6207525903449	11.4872108869755	7.49419761538291	5.46212846676574	8.2833016380313
rep10	786.972884520218	584.093360540955	1170.18654695659	1710.75513756236	267.655318185924	68.8971606933937	56.7807016323569	60.5806864065289	51.8100545241145	69.7228045373235	54.0484409295614	45.9833890988417	61.9636297749452	42.6797912711136
rep1trunc	917.319259817938	695.550299776479	1224.63032929704	1710.77776171807	367.86683472218	56.5623387539032	63.3658197684631	56.4681669144752	71.4626850427686	58.3302876366657	58.1493441130645	28.9149006163823	77.7557931350972	26.5552187618525
rep2trunc	488.335206234374	203.922533475006	942.912847283748	1711.84358233526	522.884691720671	57.8393259729215	29.5030060124027	16.4441712272907	38.8864883364014	13.8327034287156	10.2229891651888	4.14472907870117	5.91393877750937	2.07419666752917
rep3trunc	1034.9678136028	703.650036327266	1209.38172315136	1710.88430816242	267.274519918884	78.4158727883768	107.252067983067	92.5692592478397	66.2992812237993	86.5741513673458	89.3687617206175	55.0621249957993	81.0910082680856	86.4732278633261
rep4trunc	736.138276456879	659.428788109816	1181.84569616198	1713.57497005967	250.14262740797	50.349630935265	49.0796372236986	64.6654249122888	59.3766547448842	63.7594593056246	39.7095771014315	47.0899481025183	44.8218354243059	69.8608115755861
rep5trunc	683.710367303724	584.75888116213	1117.25401094143	1708.0173420163	251.768849726986	34.2146293659907	44.5143496976657	34.5766801507896	60.6485904773351	33.0159877834866	41.5177330362511	23.5769534966445	46.2346011596248	38.6575325911629
