frechetCorrelationESS_RF	minPseudoESS_RF	medianPseudoESS_RF	approximateESS_RF	cmds10DMaxMcmcseMultiESS_RF	cmds2DMcmcseMultiESS_RF	cmdsD1McmcseESS_RF	cmdsD2McmcseESS_RF	cmdsD1CodaESS_RF	cmdsD2CodaESS_RF	cmdsD1TracerLag2000ESS_RF	cmdsD2TracerLag2000ESS_RF	cmdsD1RstanESS_RF	cmdsD2RstanESS_RF
rep1	3232.58138769589	857.81284309612	2128.22979982662	6861.31093988918	1342.71064303458	154.183357351244	225.120786499104	99.0227249549475	241.51702418904	125.536655147865	211.036157410519	77.6139670432743	248.742215653876	111.054766387116
rep2	2116.69761321724	411.093678197176	1445.28880783786	6846.60979769211	435.055339810896	99.5205200604557	132.631761609405	49.4016351452207	157.573355951241	54.8060148730103	66.9911963716691	31.168331634613	84.1714085402728	38.6326667900624
rep3	3509.91981336685	1095.57678921307	2298.0328524702	6879.21514883973	1441.15722508333	133.322635328341	191.53586291894	116.323534956224	226.269592844487	91.873009314918	182.782053957385	58.958991776335	151.065067191361	74.2399347737207
rep4	3215.30695590261	891.765298519165	2242.0529651475	6877.40446482421	474.837491649604	134.372882399728	225.745821524252	119.372927421859	244.196646941082	162.08918933036	195.694338066235	62.1998782783137	188.661899002917	78.9573215401289
rep5	2590.02594976906	704.077287186436	1950.6796366584	6861.62127016759	572.309405144063	123.723602667777	162.620553996187	74.4440691827113	210.833807045396	58.8374817970665	162.123154475924	46.8057224654655	157.299104364467	30.9894965017453
rep6	962.023796467177	629.965979562583	1274.15320001813	1719.49651913298	184.203686604682	44.9541632340292	50.815467957871	53.4465126047411	65.067661164413	55.8613518323166	69.1654776054414	54.5880223107364	73.1874753387631	43.2235223863599
rep7	986.308269495909	684.616461296918	1254.68201280476	1717.17453624559	181.096201937353	32.3852249825019	51.5264101523251	38.9751712454556	70.2869684817458	46.7331572392116	39.6700249390668	32.0691699037469	30.4490171237786	31.4208344402755
rep8	803.835986603307	696.065034337023	1250.50067334159	1717.15179351815	178.881393110402	62.3215216643232	72.5756986723904	61.9520423755294	78.5692545605276	72.760880354268	71.5886767681591	80.125326215105	65.7543151943399	82.389563701596
rep9	653.959250941792	607.712193125614	1205.0707155251	1720.75546076692	285.376449293887	26.9890184475305	38.7328138425783	20.0623867238202	48.8191324416708	24.2080558797932	12.2502420270006	7.23818258039126	5.88702786172626	7.32853495339758
rep10	1042.05658179735	656.019803480165	1332.83535166753	1719.50712538046	175.298911725748	70.2526381655447	57.8681056601455	55.637259183824	52.8958575032403	70.3322738156415	56.836765639872	46.2922625763106	65.535680833377	42.7861582474241
rep1trunc	1054.22841304162	658.982708595156	1291.85293480733	1716.84846260587	234.686698186608	58.6602187614284	64.8994483255318	62.4905118044456	72.0931434786227	60.7957248648023	58.8846699519476	35.8702355591844	84.4902806526597	35.1703342899329
rep2trunc	517.717897390041	239.712972170078	1045.29982564503	1718.5436075018	380.862068019506	53.1042044630808	29.2263209741558	15.2099811145112	40.7878116401145	12.4867905555728	10.940089071056	4.19022437581975	6.632665860434	2.15390298755424
rep3trunc	1142.54872669359	728.024867509845	1291.25827412337	1719.79474200535	292.955507935067	81.7122798254887	71.1246152996744	89.48949967869	66.5068754423328	87.6009706093612	89.7551154920722	83.1515359268481	80.3869098391161	89.6930775388701
rep4trunc	832.206615440012	711.59999187426	1263.62220088016	1719.8502650277	343.286423085252	57.2536096094516	49.8762980471647	68.5928265596471	59.6728905632696	61.5402093337075	39.1267915124105	81.5700675125483	46.4467266312932	89.8737034058981
rep5trunc	855.69569731426	619.127686822902	1241.83535110172	1714.52863282808	174.399281011443	37.0002980793147	45.3421177803145	32.3800629544526	61.3883534047016	30.9681475666983	42.5119323284572	21.1574882296803	47.0228397794634	38.5595159190948
