kappa	alpha	frequencies1	frequencies2	frequencies3	frequencies4	clock.rate	skygrid.precision	rootHeight	treeLength
rep1	8000	8000	8000	7156.27941040771	7880.13473430524	7908.49756116866	281.20884051931	2996.06902577981	1801.33685932757	147.733559423291
rep2	7740.48169774243	7536.78846816013	8000	7882.88422344918	7759.50077283982	7636.64355857289	71.6079920371787	2641.35913063385	1938.68060906789	41.0001672470505
rep3	8000	7689.57857178444	8000	8000	6947.51239556243	8000	113.07972669748	2224.46246390729	1584.04387852813	71.337871892095
rep4	6587.49620739064	8000	8000	8000	8000	8000	65.1744833752982	2090.81695640688	1230.75012046192	39.6782564063601
rep5	7438.4906463558	7879.28540318734	7950.76705372051	8000	7622.83558157289	6979.93566721382	294.45065485916	1453.5669711135	1276.25195095393	153.065198068179
rep6	1481.64601087864	1966.48349199514	2000	1631.53569792985	2000	2000	111.586334498	604.323756901658	245.643671896956	66.0518782223315
rep7	2000	1844.13408480665	1747.00910469563	2000	1873.33747538213	2000	118.85732702059	531.135929049647	211.679597909668	80.8401519637899
rep8	2000	1530.6665694823	1952.15750236821	1826.97751066396	1629.31282284881	2000	77.9350234308168	563.501338297012	166.60626043665	38.1835241427237
rep9	1665.74585182756	1757.61944900779	1747.48648321095	1877.34352832358	1672.34622274619	1926.84267000401	105.884323978454	724.290761753386	588.925579697433	57.3271287018471
rep10	1858.25550062775	2000	1934.62314666377	1778.95107482842	2000	1948.34241576814	53.1709239483268	521.192268524516	483.031913937623	29.450062707769
rep1trunc	2000	2000	2000	1614.32232311134	1875.76401478936	2000	41.3434013484192	805.533319338381	684.155533499054	26.0786085836113
rep2trunc	2000	1820.47169469432	1360.34657808604	1900.2514953305	1534.61844238488	1922.60796412804	37.4788571781168	1072.58821063096	493.165595009175	23.2982594169004
rep3trunc	2000	1943.57869468216	2000	2000	1618.56755387139	2000	75.0190534969098	582.510289433959	483.199353153007	42.9108698007485
rep4trunc	1647.6004757113	2000	2000	2000	2000	2000	16.2671112439479	545.467250408426	308.527414174854	9.72456176434123
rep5trunc	1769.89824960987	1828.24820042396	1954.71808406605	2000	2000	1497.74937252508	88.4435270653134	425.346224115509	547.30938184085	47.8696480256993
