frechetCorrelationESS_RF	minPseudoESS_RF	medianPseudoESS_RF	approximateESS_RF	cmds10DMaxMcmcseMultiESS_RF	cmds2DMcmcseMultiESS_RF	cmdsD1McmcseESS_RF	cmdsD2McmcseESS_RF	cmdsD1CodaESS_RF	cmdsD2CodaESS_RF	cmdsD1TracerLag2000ESS_RF	cmdsD2TracerLag2000ESS_RF	cmdsD1RstanESS_RF	cmdsD2RstanESS_RF
rep1	524.067838168848	207.817769778568	476.945923430757	7999.99999999733	49.9747048008767	33.4258937949069	49.9747048008774	57.3416766412209	15.4408150893821	12.5665521117505	8.11554772792632	4.93607575786084	10.2590984506199	1.56265017466057
rep2	530.015006507942	228.641054351162	504.387596424003	8000.00000000443	80.4150482065285	52.3010524298235	80.4150482065449	94.6498249300745	18.3503650906217	21.6469812287157	11.2303406772545	17.7541139146367	9.14833091593671	17.6102426182267
rep3	566.876064474182	212.662937612896	517.256532791307	8000.00000000443	65.2727507173789	45.1828985355301	65.2727507173854	99.5247894843368	28.7871130268014	37.9042097047568	25.8367531074025	14.0304085919159	26.6956201289486	5.16917419126386
rep4	565.79871768107	216.847857467199	535.349020279786	7999.99999999733	48.3464330087336	29.997972297803	42.7395712720257	92.7961483766409	11.6105447812848	32.6068301801831	5.15957438917783	25.9333458695102	3.57487106645887	27.5658831000838
rep5	538.857224762368	237.279128259443	477.767594545532	8000.00000000443	85.6579198811108	31.1311507390285	47.3259702707235	74.0847973635512	10.4468804279321	17.4346268082975	4.03791205430944	7.437125502091	1.43773871933815	10.3961074912186
rep6	282.719511423696	262.793876211683	492.275529803144	2000.00000000022	97.4608560254538	29.0741512974229	97.4608560254486	30.7200162822913	33.6788489567725	12.9045919920625	37.7027191082336	6.35649357136922	40.7542703422098	6.54990845647079
rep7	295.405652886618	252.205471937902	537.076492676479	2000.00000000022	71.2562506688985	36.9078573965319	71.2562506688965	37.4385402612687	26.753168096089	10.1198565997648	8.99338363492924	5.38298615003892	3.26804254609426	1.90387820135556
rep8	226.053142816369	194.521783765248	380.235129672573	1999.99999999978	114.295585705492	19.4774489167158	32.8692487289431	36.0232651690777	10.6152329361867	12.0463323240558	9.95238730895393	8.86766051637939	13.8977475334368	5.78658280049448
rep9	235.360522210992	171.675588565384	411.313397412274	2000.00000000022	58.5985745694278	29.3717529756192	45.5332271400773	54.7815911846267	34.3412868980294	34.5671753017915	13.1144217777318	14.9978704686735	13.641242415596	3.47716356859517
rep10	235.985790095335	159.72255344507	403.266757795142	2000.00000000022	57.5574647903965	28.9466892644086	37.125002817508	58.847734592813	9.22227450574327	22.674354232204	5.97985873935337	20.423878680784	2.61052274338536	6.24764179408138
rep1trunc	265.935931916236	178.401814155746	466.010851503548	2000.00000000022	63.9028489863399	24.2341763547503	34.1140264517985	42.6202908956139	10.7801233818444	10.3068253252699	4.54893263619324	7.89296503671239	1.85739279512766	5.10716697814081
rep2trunc	275.054026177305	299.289398656386	517.203709224824	1999.99999999933	205.833160463103	49.6963943684469	205.83316046326	50.0612936407304	79.9474192408121	18.3538711302264	30.6784469919514	7.09150290325596	31.9872591632324	2.31693528955024
rep3trunc	225.455414623637	162.646160957895	356.808523105805	2000.00000000022	51.2664272975468	16.4811265331295	18.4970645895958	54.6964357049105	8.5249729103881	35.9137035888356	4.36824062615927	17.4737988024689	1.9383660464906	21.5605912964626
rep4trunc	264.393339287491	250.919583302507	453.063614150304	1999.99999999978	46.8153368459328	28.7020692448938	42.1557227377121	51.3127097767877	9.77362685176878	17.2216110957554	6.09698080705725	11.4716378730802	2.06880306003852	12.6827763413101
rep5trunc	297.842475421056	257.409498376093	547.994099967962	1999.99999999978	85.9062286755795	62.1836709887237	85.9062286756024	87.9393301573147	24.4122234945369	28.8963691612152	13.240891356542	24.5018799043775	4.66875449097743	23.6909762726155
