frechetCorrelationESS_RF	minPseudoESS_RF	medianPseudoESS_RF	approximateESS_RF	cmds10DMaxMcmcseMultiESS_RF	cmds2DMcmcseMultiESS_RF	cmdsD1McmcseESS_RF	cmdsD2McmcseESS_RF	cmdsD1CodaESS_RF	cmdsD2CodaESS_RF	cmdsD1TracerLag2000ESS_RF	cmdsD2TracerLag2000ESS_RF	cmdsD1RstanESS_RF	cmdsD2RstanESS_RF
rep1	515.500194264886	202.750636242297	462.070288141188	7999.99999999022	49.9355712978282	33.4129164616083	49.9355712978298	57.6522760463252	15.1450171182645	12.5339176355475	8.127365440718	4.93340506760679	10.3684894623148	1.56196613655252
rep2	520.8060355655	221.444836370172	490.987306233182	7999.99999999733	78.6115521857759	52.4612078027319	78.6115521857865	96.1945113611997	18.0924362042564	21.8310641580488	11.2290238862094	17.5958481411874	9.10210566861224	17.4938368488099
rep3	557.83474428345	203.91359279778	498.374845535331	7999.99999999022	65.3704167155427	46.0229757452657	65.3704167155487	98.5829353818637	28.9132719431942	36.9447112564838	25.9149757874634	13.4652719054531	26.7776923215641	4.91247095402716
rep4	556.920633091216	212.972133632919	521.146259512252	8000.00000001154	45.6865782482425	29.6800909028491	42.7175579291089	90.2170283948402	11.6904116481104	33.8250171083753	5.15921922255464	23.7891124401572	3.60355613608588	26.5140920626307
rep5	531.12194152009	232.060518903646	461.774556249756	7999.99999999733	80.6819894125511	31.0433756762035	47.3093465475519	73.898973018676	10.0891209353376	23.7754277416885	4.03238790343032	7.50604995204959	1.43354609383403	10.4725082584305
rep6	279.805474133009	259.13805040857	482.036891525189	1999.99999999978	90.8485212690566	27.4146739499469	90.8485212690606	31.8269071797267	26.7306729001032	13.0116247304748	28.5269760204262	6.8151938990683	28.5241444481555	6.98373331911139
rep7	291.612228447346	248.440953071536	522.244898767254	1999.99999999933	67.2671071336687	33.3186506157942	67.2671071336701	37.5631897279562	27.3803102672602	10.4070033893305	9.17666839579254	5.42107211365959	3.3486944310066	1.91918901646026
rep8	223.337724864113	189.344064640867	372.988795307698	1999.99999999978	112.578060288029	19.6457331102356	32.7922353924113	39.077687998324	10.6778496249335	14.6504276961537	9.96188007168368	9.37478101033459	14.0318466258155	8.51883011629944
rep9	231.658070199497	156.082513622803	399.91975719382	2000.00000000022	67.8148756021509	32.0224046692926	45.8676636268796	54.729798880694	34.9968243759357	35.2696400102238	13.3802454448314	15.2310336175467	13.9365342389603	3.56888029838811
rep10	232.513169985652	157.132075344707	388.21584921227	1999.99999999933	66.5009676855475	28.6741203744996	37.1001620568832	58.4571836722372	9.17502559875123	22.6961845511513	5.98297107289908	20.3005407936564	2.59632050333029	6.50441537123388
rep1trunc	261.874994452247	170.975946574999	452.48990853915	1999.99999999978	62.6658632918562	24.1835424875262	34.0901482580306	42.5998738641823	8.95638720405962	10.3708835716735	4.55549513127772	7.9789844035665	1.86210643037709	5.19809136618587
rep2trunc	271.406236796647	232.569930352117	503.116453517047	2000.00000000022	214.175591356129	51.3396103563505	214.175591356218	50.4714053056159	88.4752539793973	18.6968049986242	31.6177757868768	6.89277716366978	31.9552671172423	2.29134258935121
rep3trunc	221.800674761183	158.08989095094	341.706475615526	2000.00000000022	47.455890223521	16.3630709054508	18.5117231763119	54.2575724127585	8.59177541526205	35.3718449170692	4.37923990942071	17.5219849279688	1.94021755395025	20.755918560652
rep4trunc	260.448819880238	234.35776865915	438.212407127203	1999.99999999933	45.6150803652186	29.961727634939	42.3171265051998	54.9546406993094	9.8680712710635	18.6686809237539	6.09366797233136	10.8295675829279	2.06806614848749	11.8152374283137
rep5trunc	293.669536185735	236.497632049972	529.640788337853	2000.00000000022	86.1311554344105	64.194514238573	86.1311554344437	93.559300452732	24.7431704692209	29.8372816925462	13.3721437521307	24.5944855287213	4.80162987900335	25.2410295683892
