gtr.rates.rateAC	gtr.rates.rateAG	gtr.rates.rateAT	gtr.rates.rateCG	gtr.rates.rateCT	gtr.rates.rateGT	pInv	frequencies1	frequencies2	frequencies3	frequencies4	clock.rate	skygrid.precision	rootHeight	treeLength
rep1	7596.11938150664	8000	4195.82657021167	7632.32734872282	6663.62541406909	7106.8084631073	3459.23020031682	7736.76346453884	8000	7896.99043876889	8000	354.987878091076	1846.17916253653	1645.22580135185	299.728853400878
rep2	7102.52702539681	8000	4446.49679826846	8000	7625.76921761358	7519.71389937911	3339.75955901801	7787.46049162641	8000	8000	8000	459.690534071068	2466.56544573057	2254.70531750962	379.106867595975
rep3	8000	8000	3874.5470950855	7582.94636383535	7215.00124579387	8000	2736.8746866181	8000	7109.04506927013	7788.92404789259	8000	378.191686191426	2223.58169292431	1977.58126732933	298.43899691002
rep4	8000	7771.90164455387	4390.94121930833	7774.29874354284	7848.38830782553	7414.9688079839	3996.01002642946	8000	8000	8000	8000	286.373950999185	1509.56870784631	1477.10275604991	235.447381474303
rep5	8000	8000	6490.18846605722	7833.2179012585	5784.69997242072	8000	3769.63397590982	7776.41172884841	8000	7693.57791593566	7897.05800046834	254.292059502982	1697.41624412012	1770.50687180054	218.036253755372
rep6	1885.34580503755	2000	2000	2000	2000	2000	1351.28399714977	1878.62664241229	2000	2000	1577.54595083473	95.7824344909337	373.010337423405	309.789442778469	93.3026207028055
rep7	1972.74909758889	1915.98390112997	985.123637106565	2000	1961.14170083904	1874.2560240639	679.348843525848	2000	2000	1797.94492241216	2000	131.336386090079	578.625781509993	544.591863637739	110.125880647157
rep8	1963.65330568295	2000	1388.86398995795	1844.29581239269	2000	2000	1090.52287356386	2000	2000	1919.26840040102	1927.29632304567	108.090509214069	1118.2352685445	729.284908764997	88.6185544392099
rep9	1964.95823072553	2000	1237.89208345515	2000	1826.19188998385	1985.94492996694	1138.08499893789	1738.14550722111	2000	1686.8812980326	2000	76.3532304352603	648.432921546584	436.41669856805	60.6361095817431
rep10	2000	1778.00852638893	1839.86349202355	1987.94129388947	1978.41567449717	1913.31481931958	1017.38387016127	1874.34293103774	2000	2000	1766.32420970934	110.709627802468	838.419404631868	569.409737110426	90.8875866504343
rep1trunc	1947.96018661736	2000	1490.18009289646	1929.17040378806	1934.32432381085	1776.11221088853	1306.30465114068	1885.31921914084	2000	1789.75197363967	1820.70015891544	81.8454346656872	612.556548192336	690.014277452899	72.6572109306606
rep2trunc	1546.48211286899	1486.70962021681	935.422651648004	2000	1634.10130700705	2000	632.010493770991	2000	2000	2000	2000	123.551587911714	632.480972993492	760.75476665915	107.577974727251
rep3trunc	1980.19368765241	1840.91068341665	1268.56470509077	2000	2000	2000	747.969255419385	2000	1867.62128703361	2000	2000	102.996855003799	382.014844165482	422.787747901254	76.6250361214599
rep4trunc	1932.97450642465	1880.74810842399	1857.35126081155	2000	2000	1758.52736277029	842.188325855813	2000	2000	2000	2000	137.3580318496	555.213643314334	802.635081847862	107.899530970122
rep5trunc	2000	1839.28850916372	1698.27112892646	1986.0756415408	1583.20433453449	2000	930.775691943252	1825.97268078291	1761.25783335096	1939.89077703388	1872.19596819679	37.7539238735928	506.39391960881	431.176183815611	57.3725429754783
