skygrid.logPopSize1	skygrid.logPopSize2	skygrid.logPopSize3	skygrid.logPopSize4	skygrid.logPopSize5	skygrid.logPopSize6	skygrid.logPopSize7	skygrid.logPopSize8	skygrid.logPopSize9	skygrid.logPopSize10	skygrid.logPopSize11	skygrid.logPopSize12	skygrid.logPopSize13	skygrid.logPopSize14	skygrid.logPopSize15	skygrid.logPopSize16	skygrid.logPopSize17	skygrid.logPopSize18	skygrid.logPopSize19	skygrid.logPopSize20
rep1	897.807105444708	1068.32988812845	676.279644537034	571.480965079811	329.184420748232	1001.5914853459	1679.01865926493	1195.09187322311	403.802668520087	1154.65197856588	1742.72863955555	2344.45836739685	2940.22370454797	3678.70177315496	3601.87227925328	3774.77853132632	4189.2233861004	4208.93624368818	4566.03206483216	4854.72107869955
rep2	1085.53539541322	1122.26860297026	1025.8248070587	611.783247269581	409.454628031289	839.547330108373	1754.0241709519	1403.69526267873	1152.46447477971	2590.56806150135	3602.22108015304	4887.24601927393	5736.57176087561	6182.31060893656	6519.77682756467	7046.00133336627	7161.47639829732	7310.1989437422	7251.31580107035	7242.65008784806
rep3	1018.97662647489	1179.94233734088	818.84491092504	503.860636284967	340.70183216452	1103.05240034991	2121.59968629802	995.295332632184	941.485761323817	2138.93912388524	3039.93371961546	4256.49706956814	4713.75006712666	4903.45067084783	5065.40097143409	5210.48107134657	6177.74713823823	6460.60081218219	6326.3137887748	5841.3935238999
rep4	1204.45580071504	1119.65219417205	725.237202253612	422.695962493565	322.868507413794	885.541646582294	1579.04380481773	854.802360796406	432.198089602407	911.916666447173	1869.19886851083	2716.75179718332	4190.41067462479	5228.3805442302	6171.30573559042	6124.54037049944	6261.76480372013	7218.46318179754	7275.25138817464	7213.69059231727
rep5	414.526660630119	1223.54242234839	820.168742387051	420.332525618329	356.548299332663	944.678595259104	1598.67313473606	956.946402791364	518.049784903086	968.806210761974	1374.35166295696	2139.76330783071	2287.96169089937	2429.80059640335	2516.65095251515	2959.74092517369	5075.21321091575	4196.60996342454	5292.73778991578	5579.87058150375
rep6	175.557572674973	433.590651743692	238.241379000237	146.230777832851	79.4284328385226	250.791250425278	263.478414967735	174.415547495616	87.4774613249863	197.450471329378	390.804683337077	436.010471874228	698.148656197925	1405.5364337486	1400.47268472636	1447.67399658515	1565.23750737511	1681.13411965323	1740.28142601803	1916.54368476841
rep7	180.977736133922	454.849678987102	285.476703702611	166.582154342555	110.848519283125	299.285576515194	338.455001690466	201.159865121008	169.604242050572	611.36237741549	1185.09949376561	1193.44077383439	1548.16185802573	1845.77023850775	1719.91163427701	1677.41317186298	1821.25655001775	1805.24631478677	1885.0348951734	2000
rep8	289.606965755351	507.161506729829	292.014148992254	147.795590585741	87.6688612822812	337.585728775145	663.690691775208	489.846231087896	423.825912808028	657.072589172912	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000
rep9	232.83123374439	235.365199522	146.186658435097	125.821981541637	75.5124642216191	259.019238847035	332.634257680399	335.935081161703	321.815183432941	580.406361280557	678.701973786795	812.175774599109	949.936368631482	1037.28536062325	1062.67893185429	965.399877786927	936.931946161031	1310.41301761543	1480.97171520581	2000
rep10	394.077686046962	333.456574471217	212.502734345279	156.763062550212	86.1203714779736	229.704703517696	527.904448498699	346.638413660088	381.414494594931	801.453311192322	1224.16296958574	1391.03632663229	1845.53902865624	2000	2000	2000	2000	2000	2000	2000
rep1trunc	279.635703961822	244.327123889422	193.915552907815	118.572818493269	74.8060964467574	355.905664553727	553.2611092494	332.655567797386	381.005563011445	860.397765448529	1188.34758687456	1416.11313626193	1803.40159424931	1802.57374311583	1742.93759475903	1784.35386786489	1787.88334229902	1771.43302957733	1790.1884134865	1804.15492314817
rep2trunc	339.87721408105	287.147810567657	259.097801483868	157.969558291798	102.147692693994	99.7083847978608	516.805469506514	395.138570436892	449.489290870694	1168.8348174819	1341.56452198866	1504.18442241154	1647.8569213364	1806.59034935767	1914.03477017947	1865.23912000093	1973.87957729322	2000	2000	1994.66327408351
rep3trunc	316.728133132358	420.026560054587	210.994339140474	131.563192721325	80.8797399264587	300.892652271274	655.054073446819	146.887302762419	128.162711455854	280.568566998587	475.539745385026	719.836968020201	1172.5881443001	2000	1368.06088921792	2000	1262.69869001144	1258.89832252645	1318.70179045192	1368.23228997961
rep4trunc	366.490240244049	392.657240222833	268.713934324284	157.456720178659	117.448730758327	392.222509937372	617.224930139275	353.444748794311	167.762569944011	356.982273544941	590.841593255694	831.456207069044	1271.55864752067	1851.22297811116	1866.02683987561	1881.77992735203	1830.11775005628	1822.41270741268	1820.1859307031	1803.73914504683
rep5trunc	248.13190670905	194.082326188595	250.815204755325	120.568245098558	65.5625249380433	212.379408516164	373.969257726013	227.136075549215	131.384229088092	301.766482136707	326.95093082785	527.286460199963	638.720118063065	715.07244621147	785.797957733524	937.379556243342	1045.17118401607	1046.98056343991	1086.41283478122	1284.79554854712
