frechetCorrelationESS_RF	minPseudoESS_RF	medianPseudoESS_RF	approximateESS_RF	cmds10DMaxMcmcseMultiESS_RF	cmds2DMcmcseMultiESS_RF	cmdsD1McmcseESS_RF	cmdsD2McmcseESS_RF	cmdsD1CodaESS_RF	cmdsD2CodaESS_RF	cmdsD1TracerLag2000ESS_RF	cmdsD2TracerLag2000ESS_RF	cmdsD1RstanESS_RF	cmdsD2RstanESS_RF
rep1	2161.89847880552	513.833016112709	1499.49969758611	7109.56088017898	502.453744977229	62.3958797613408	62.8231445083141	67.0164533640225	63.8790994187745	54.6585238031154	65.4026048266029	34.2330083953327	51.2835519583744	34.1469813268527
rep2	1926.99407221441	479.438142660145	1278.9732132829	7103.23216949056	527.870032689515	50.0906549029159	73.7434030426799	66.1277164239705	66.4765415843757	61.6805279543029	31.0143842299851	18.7370921264563	32.1854928601983	13.8824279975376
rep3	2274.13606272379	531.339281553992	1321.79084874914	7109.40207018515	575.277693725215	45.7390314627309	64.8811768258488	57.8263885174555	57.8844747769702	38.5191153477127	41.8941160099846	47.6773180197016	34.2540541817259	48.9341634591203
rep4	2601.09934873175	652.776864092343	1415.27243988891	7115.5688579631	1275.2962274524	53.6197734564371	62.9733120901741	63.9192323815899	56.9382830875924	57.0179199989045	31.8657341827309	57.1215640114222	29.7478511523435	59.6468751513028
rep5	1703.68982397393	515.947490012146	1258.31685526905	7105.53602482572	472.441540335125	42.8664580395394	64.535377582296	44.8574045398446	63.5337803367192	35.866388642806	20.6067421973295	17.0624235524507	24.2121944373507	16.0338914402078
rep6	652.728069497179	345.126859750103	915.836871741761	1773.04931838919	355.927664811102	11.7407891593713	18.9367669541343	17.5232409325163	14.6515678381961	10.048044669934	13.5657122605272	9.53746975935723	3.0590435755156	11.4179711996735
rep7	579.61982681285	310.32898342202	855.753085335011	1773.60828503063	414.217003156305	26.8012342656206	21.4107932230134	26.8247758241929	17.2036099330835	16.4498573006009	12.0127587647917	9.92702358621173	3.25956070695612	4.35325273147428
rep8	593.486877391583	329.148709164761	870.502197376219	1778.80380095692	772.998098552451	11.8054382505472	16.1460297480377	15.6732056479881	14.9632999484507	10.3941992591979	12.7164459013101	8.55881220702164	13.466962674894	10.5160558694706
rep9	623.928230206698	300.390622979334	933.250328099871	1784.34996943216	514.144028182257	18.0526186396017	19.0251442306902	28.4836430700242	12.7994126942725	18.2200461445028	8.03851520938877	13.2069672105479	3.33119988231306	11.8248189478809
rep10	680.861917988031	391.452922612404	1063.03616482884	1782.63483693541	461.597138500583	16.3795725922438	30.4714130194102	22.5828029585402	18.7985537485502	12.1459466305737	18.2381724133194	10.7337984792518	18.0960511399739	14.3435063381641
rep1trunc	600.453605871772	288.696094381845	911.591765463969	1775.83635944972	730.649444778967	14.6158619344702	21.9206457124137	19.0788924727859	18.927121795553	11.3215832972563	20.361118271824	9.15694928645357	22.3506412624324	10.174754263196
rep2trunc	688.345675386478	405.160791182053	938.394534204611	1764.08788427928	351.514116441491	27.8435496783318	32.2592382767926	21.77262627989	28.6944194566444	19.6770729256657	32.5396392956489	19.9496045566535	9.02594094809346	4.45809189450306
rep3trunc	712.381386159678	375.709385476563	862.160393315566	1772.67005276644	328.560659777925	24.6579615575902	24.7517672175578	17.3605941879459	16.7559080757935	10.9026108168288	23.3437990051187	6.78426731707317	6.20372807198961	2.17207968217339
rep4trunc	788.574243618131	415.209918089719	1061.60390695173	1781.11131493065	453.662451901096	16.806715977219	24.623659881529	17.3961773008953	19.5043825633813	15.5718856893864	24.4050376142855	16.6087264748948	25.7997450160107	16.74935380449
rep5trunc	781.988113094838	371.906645703586	1056.72538021696	1779.59171567788	222.210675325717	31.3020111026081	40.2594646097997	22.2130707611732	35.548709561579	12.7331944288436	20.6276096114807	9.50117471278966	25.2252031782353	7.27534037225753
