frechetCorrelationESS_RF	minPseudoESS_RF	medianPseudoESS_RF	approximateESS_RF	cmds10DMaxMcmcseMultiESS_RF	cmds2DMcmcseMultiESS_RF	cmdsD1McmcseESS_RF	cmdsD2McmcseESS_RF	cmdsD1CodaESS_RF	cmdsD2CodaESS_RF	cmdsD1TracerLag2000ESS_RF	cmdsD2TracerLag2000ESS_RF	cmdsD1RstanESS_RF	cmdsD2RstanESS_RF
rep1	3428.50037854466	1100.68673967663	2427.0791952835	7172.7696101004	1162.95235472253	290.731216009021	285.625230713128	350.522020016206	310.277811704962	409.840548842557	274.040276639722	366.78904049278	309.909154840022	288.53804445928
rep2	3775.09537467509	948.308837589703	2392.07962474499	7163.88721774481	1177.47317867072	371.855455694067	301.199064584934	319.148933907047	284.64298648749	383.318207011896	331.945744323145	295.736231088053	400.607703547651	266.720504483235
rep3	3837.59145676622	1082.70825863429	2425.16652555122	7175.15531094496	1245.49740474099	211.747023916457	186.069697437597	294.641198038742	239.810572913748	334.68856434258	217.822162616482	246.127335593254	313.288282585273	259.363799570523
rep4	4055.56155406862	1189.13168880917	2482.65102008349	7181.72156363163	1390.32459160382	228.754506300509	244.099404351659	307.899677181084	270.454960559496	353.062814976962	245.000653754173	216.953557612903	337.727498462081	192.342087019224
rep5	3778.99039506938	1082.69722479591	2385.51582225322	7156.62147538118	1253.79676866475	274.016101405228	157.548834014857	339.284671913988	200.21829911927	468.53944079978	194.419534248643	326.563490787337	227.096857608661	282.526471177399
rep6	972.550763757644	669.063725077067	1245.45983732128	1788.75576320233	411.76266328917	79.961092263256	80.7414622490153	93.544745385799	77.9872236116077	118.623264940983	74.4452796618184	80.2630753037201	112.081135961049	55.1923601855075
rep7	932.503316769045	614.908514955889	1202.78098499577	1787.88161144866	835.349579462779	51.9070825616986	49.4982367352585	79.1656463781896	59.9696970614265	52.898816235887	63.6482090983946	33.8202492972886	72.3889365761373	28.2495140581516
rep8	1084.61195940597	599.98656953688	1315.41565243627	1792.42404362426	429.944798776476	83.334833261726	76.2693193546073	104.071793265535	62.1379792670961	124.394023005611	70.4360995338772	98.2887369128167	89.6687381485786	99.8727094310515
rep9	1038.38150051288	515.743078563816	1227.33172266683	1794.18112902736	386.565197023058	57.4397963809006	58.6604751998459	79.1117489283332	71.8678003866357	84.742298510413	68.7913602276385	71.2970050692899	86.5087679388665	64.8192552918957
rep10	1124.59178415138	762.440017769449	1415.4367880395	1795.76634889286	435.034110669835	66.358823116012	39.8078911183294	86.9982637682209	50.3458971015152	84.3371413589661	27.4203337646173	59.9329607175729	33.2361576245623	72.6609717176055
rep1trunc	1021.4050079316	575.723964462858	1345.1360729545	1791.72021909416	492.665955301965	110.717105711488	58.572672800073	111.863425560157	81.2084476782556	105.30422000971	74.3330912062742	137.787054583541	125.208273858054	138.503850578366
rep2trunc	978.522947260071	567.815695443403	1244.47555819306	1779.36666954643	395.907232933044	44.0448917800227	45.5302312202241	79.4612616421735	52.3982079691205	70.8089100264373	63.1336505671072	54.3905661935525	82.4303860613797	51.740388899999
rep3trunc	1121.19974356853	683.806541489167	1328.01817852735	1790.95731518809	439.895455507556	56.0169567453288	53.6891119278382	93.5687049646066	64.0803379178719	100.598829292038	63.8179110497589	93.8990901277163	87.0100262006286	96.8204125955502
rep4trunc	1144.65612728809	652.669329241014	1412.09307220077	1799.08057468705	447.940094112489	86.5020551932278	88.2788789277657	99.7778272721054	82.6549936384842	100.325037314698	84.4735560849394	106.120869549318	95.2377778442467	76.4073946272054
rep5trunc	1090.57961852809	727.512202187107	1322.53671880073	1791.37555429653	379.145269010919	61.1142105051615	39.1375154129742	106.48151810155	48.1412301764548	97.0897285443787	45.2957012072704	106.79460386092	55.9006515108986	98.081455703796
