gtr.rates.rateAC	gtr.rates.rateAG	gtr.rates.rateAT	gtr.rates.rateCG	gtr.rates.rateCT	gtr.rates.rateGT	alpha	frequencies1	frequencies2	frequencies3	frequencies4	ucld.mean	ucld.stdev	meanRate	coefficientOfVariation	covariance	skygrid.precision	rootHeight	treeLength
rep1	6860.39782410208	8000	8000	7850.22604443744	7823.39887158229	7901.99858045335	8000	7709.62979081728	7197.17119026323	8000	8000	253.448783835495	669.946275761124	238.002433341039	2048.42582442722	7763.45615142161	1595.0238142822	680.830259082365	110.990780555194
rep2	8000	8000	8000	7957.48831841374	8000	7331.68061994878	7444.82054967623	7368.83817548218	8000	8000	8000	109.72666193088	294.004061738765	102.423254859668	1008.94944810397	6332.96578762208	1455.46500181543	981.577659329811	59.2917543799439
rep3	8000	8000	8000	7483.32390424717	7424.43091620641	7249.54508650449	8000	8000	6806.66678727453	8000	8000	61.7408000947543	341.282031272188	69.559368125183	994.022282843514	7489.82147466913	747.032244033449	1020.36420545976	31.0590192830598
rep4	7400.44638039456	8000	8000	8000	8000	8000	8000	7918.25491982774	7722.15922096875	8000	8000	199.014220564993	427.955959646134	196.391974729314	1081.27580426193	7407.14171382733	1074.42599527873	976.982238002705	121.461042987609
rep5	6965.07709121903	8000	7593.51765219237	8000	8000	8000	7577.5177521212	8000	7006.68106552714	7657.45449553096	7288.55370149348	60.9861336387429	141.340254903705	57.7616636911785	481.523918374506	6862.84462124681	1418.94138184271	703.249638060635	35.1189660016152
rep6	2000	2000	2000	1878.67413366826	2000	1920.93509844659	1676.21675615914	2000	2000	2000	2000	32.9025232938044	118.708234390291	28.5123753351573	343.448093448998	1536.78653123237	424.928016164093	162.527145017881	18.6031427789871
rep7	2000	2000	2000	2000	2000	2000	1767.18648260688	1837.49630181292	1753.15358033779	1983.35288162234	1939.67738049599	52.394403015812	135.445293645987	55.7271566479984	324.029834847993	2000	325.594878715853	233.762311359097	31.1367643762539
rep8	2000	2000	1923.90535143749	1612.65836427767	2000	2000	1884.37357699841	1897.54498386412	1853.52792447064	2000	2000	159.738219328495	256.646911092914	158.50605724907	406.046860480647	1588.11143970686	368.038518107162	239.305261145966	79.6669200818921
rep9	1941.12199577726	1790.82113781401	1846.0362743894	2000	1834.80411984232	2000	2000	1856.43880890064	2000	2000	1859.25469157207	13.51874962466	23.2684442246128	12.9682459842834	97.1125250374028	1751.95460764103	277.650484722436	111.674983755719	9.68548714926634
rep10	2000	1836.06562790647	2000	1970.5668416372	1865.67866348058	1955.26484532029	2000	1784.04351461641	2000	2000	1930.26890516166	11.3244153858533	21.1258709131532	10.7728575633893	89.496761256677	1921.99784400675	507.097796382709	94.2664402739907	7.42927077443225
rep1trunc	1646.75657230576	1999.07244576006	2000	1900.35293181736	1918.1991240842	1374.11857708441	2000	1952.80641738798	2000	2000	2000	40.8594002932582	256.452874108692	42.7308622964633	678.076897433889	1883.4309279003	440.602792310409	198.932366041686	22.336247838478
rep2trunc	2000	2000	2000	1933.42125388136	2000	1809.25263519519	1759.14595400817	1825.48565568382	1990.36339258699	2000	2000	45.8928041482356	95.9204203198904	40.9997173528347	350.18368656254	1691.77935312894	361.390014867378	284.508439259859	24.1619672519759
rep3trunc	2000	2000	2000	1856.84246020113	2000	1772.60733362696	2000	2000	2000	1855.38983536645	1596.24499093265	22.6214751925817	77.5220163073525	20.3974772644522	222.625916463231	1703.77505588071	225.509247986016	253.023363703201	11.6319970778139
rep4trunc	2000	2000	2000	2000	2000	1646.94267928118	1882.29764197408	1925.00037945681	2000	2000	2000	47.160035614422	93.8008866013536	46.8664336575951	242.016261669872	1857.80353317563	333.657134027287	279.400287645719	30.7491559534154
rep5trunc	1901.61777166139	1932.83160470258	2000	2000	2000	2000	2000	1540.55234164724	2000	1871.40297232616	1659.30633331281	8.47052826496867	15.7419846688795	8.40726115010505	40.2716609732553	1802.89922744386	450.146340163153	115.265404150337	6.41802322788667
