posterior	prior	likelihood	skygrid
rep1	229.105515858262	211.819573978004	1013.85308757107	211.059733180012
rep2	197.557472810577	168.85299112435	1211.78584972895	168.317405031723
rep3	90.2719109931375	82.9284185011881	796.879743280291	82.779426514896
rep4	323.394622119699	270.140381861146	998.062487982324	269.405501957575
rep5	194.913784936402	199.961041376819	927.714677481282	199.103891203749
rep6	46.0528682759643	36.831652373545	226.575106046362	36.6992854260485
rep7	74.6304044212068	64.9995753592865	222.340974293339	64.8200782514635
rep8	115.071130216932	95.0123227103359	462.037164824547	94.7732832046029
rep9	31.793537230844	25.2386123106439	178.157098265093	25.1288700446061
rep10	19.5298479946954	20.6236795859092	191.093847047358	20.5618313125503
rep1trunc	39.9648718752432	36.933796811529	393.314240906612	36.7509847835725
rep2trunc	149.938968514048	111.719682025639	282.17653783309	111.035190720675
rep3trunc	59.8265119241339	48.62619699329	360.219582954869	48.4736296629351
rep4trunc	75.8768059679793	64.049966935775	313.946288899485	63.9050455424606
rep5trunc	67.9983242514598	44.1535351884813	171.060400933789	43.8441961792281
