skygrid.logPopSize1	skygrid.logPopSize2	skygrid.logPopSize3	skygrid.logPopSize4	skygrid.logPopSize5	skygrid.logPopSize6	skygrid.logPopSize7	skygrid.logPopSize8	skygrid.logPopSize9	skygrid.logPopSize10	skygrid.logPopSize11	skygrid.logPopSize12	skygrid.logPopSize13	skygrid.logPopSize14	skygrid.logPopSize15	skygrid.logPopSize16	skygrid.logPopSize17	skygrid.logPopSize18	skygrid.logPopSize19	skygrid.logPopSize20	skygrid.logPopSize21	skygrid.logPopSize22	skygrid.logPopSize23	skygrid.logPopSize24	skygrid.logPopSize25	skygrid.logPopSize26	skygrid.logPopSize27	skygrid.logPopSize28	skygrid.logPopSize29	skygrid.logPopSize30	skygrid.logPopSize31	skygrid.logPopSize32	skygrid.logPopSize33	skygrid.logPopSize34	skygrid.logPopSize35	skygrid.logPopSize36	skygrid.logPopSize37	skygrid.logPopSize38	skygrid.logPopSize39	skygrid.logPopSize40	skygrid.logPopSize41	skygrid.logPopSize42	skygrid.logPopSize43	skygrid.logPopSize44	skygrid.logPopSize45	skygrid.logPopSize46	skygrid.logPopSize47	skygrid.logPopSize48	skygrid.logPopSize49	skygrid.logPopSize50
rep1	1539.19148900404	1600.0466390023	2478.26294624553	1335.99919679817	2095.59338009315	1790.00119767261	592.589808911581	1287.82257975084	3728.41616828883	4040.94839520476	4807.65168132478	4622.52420267252	803.419990449261	2667.79733378388	1420.5266436274	385.736850493256	861.747836386171	1568.41343607053	496.898618327871	876.742696375386	1507.64006276655	1524.77007369899	887.785753394655	1269.93066659321	1892.48572347426	3964.66671579497	3965.25270617523	1698.96224621724	3429.52587221082	1190.97252070739	998.352282656556	3510.55723772687	974.837911065517	3407.06306918735	1304.87444421217	450.752028372089	3157.5009892115	168.232416921178	678.383027048743	346.530368927287	130.536163120204	346.555151919957	764.056351062828	562.939233910527	1884.84982330324	947.328810925133	366.754830905122	358.141687083979	2582.6770294166	3362.04633017483
rep2	4049.73639209576	5410.57426633964	4118.59307027678	4754.9526824689	3201.16494145014	3479.32010692308	3508.9654430751	3802.11088539224	3560.19974175981	5568.27724042932	5824.61280509411	5134.10255103348	1576.05002452461	1727.2052510317	867.218957933208	782.422905298709	1233.72430184706	1612.35824655339	1535.62353653986	1512.27694934582	2756.82688271764	3676.95138636464	1299.18108536544	1904.39216657451	2340.84993898992	3386.42205982455	3638.58665663196	1505.94725137486	2361.45164338809	1259.03661860122	1521.57875293167	2923.36585062685	1457.35871719046	3202.13403201784	2730.70352104512	499.511185487717	2549.28000784896	36.2586972623052	861.545357367116	650.437535577935	106.734904640873	112.26144576558	410.948819670146	1982.09661591444	2109.81464985871	948.228186056675	520.367038989868	498.165569301395	1963.32047522972	2887.61424180895
rep3	1673.00225981512	1058.36705764821	1252.67386929407	1364.87602334727	976.651178172136	887.393824757709	1278.24339763249	2249.10725757243	2583.16699817507	3137.59751109543	3110.10201366813	3315.04908320738	1348.44689422765	2194.01642115046	492.201621068376	816.06823299773	551.930817010425	1199.80061018193	1372.10633315164	1539.48825001163	1822.21757467284	928.576736244553	1074.40348965999	1778.70259792342	507.880441394517	2649.06746576589	1814.19219532913	550.309311471737	321.77874928814	1231.01176217274	1473.76231244315	2102.42395429005	1351.40454007364	2926.08213454785	1035.34682699902	240.15245520093	1639.65863526504	62.7785450984433	466.975680542842	615.822953171526	72.8339829536198	184.627273955758	262.312398198118	1303.95889652624	2951.39526970312	1577.20256183984	769.058955972744	511.709352913485	1771.38169217873	2457.0788929796
rep4	6686.7213411211	5597.61165813349	2390.70697560614	859.353110758509	3005.26667553058	2704.03580162968	3001.05508949991	3381.39312664827	4390.98930683689	3653.21872701394	3158.74274563557	4386.10482041985	1438.65083750201	2208.09433191399	1115.36876933947	843.476846554084	1081.50017912174	1313.48571995896	1656.51970570066	1080.49407863003	2388.55791748747	3135.62720537079	1426.00206616914	1368.64133845747	2051.26055730501	5239.35567886955	3737.8609621703	1710.36745982381	3458.44906975257	1438.01664444173	1429.11450099682	3673.33319874794	1360.17829999391	2397.84750876895	2160.04102342422	781.791279755585	2470.26699208344	268.924209724191	629.294540512816	873.71500267542	159.289856798983	430.43743346357	764.499905211253	2285.42438387703	2243.1172419645	1063.95007650771	706.450103935955	531.160418736543	2627.9818721577	3353.01618871385
rep5	899.138573470538	1294.54474570775	1880.32191747831	1171.1678617791	2203.07929139439	1574.69340844415	1355.55292466597	2116.2448706012	4295.98599252205	2037.61718300155	2704.28964119431	1763.8574115331	1908.2857409806	881.081123642262	500.50248038115	550.743793466477	708.93501875333	1442.50228391734	1363.9268084842	508.17280023817	686.942360204607	2313.97561211316	1387.70889945171	681.318333742569	1404.47632833313	3442.83371445942	1416.79103388083	1321.14664579679	2709.5539702964	1062.13313320844	1983.84141149602	2013.84243400825	1238.17423091084	498.618693671038	2327.36156841135	433.890443274793	2189.20619886723	154.081959368191	733.309446268705	485.905868220775	74.1881769057093	84.3138943650149	237.237807970778	1973.04667229516	2031.88599791168	1242.05588163157	559.533936401124	299.17879914692	1644.73998839447	3140.05562723782
rep6	2000	2000	1562.086318597	1883.31470462668	1799.85963480251	1549.66685500017	1498.31831333432	1614.20966764495	1451.72933145924	1453.50853412679	1370.05079424597	1146.2488844741	523.755010965581	823.420794946253	361.542785982266	405.371965939225	498.117811844381	555.787817410523	340.626682684102	396.841741057407	616.721958333458	1034.86564825324	377.408071837639	464.715204962209	617.658597797067	1453.28689104553	975.742636070077	529.41205415251	1085.2602351597	426.772743072027	529.543658940902	995.304386127593	460.100616888268	944.415113318762	709.530449597186	181.626011177279	860.913270954405	34.1926799121516	336.759909988963	147.635730966755	21.3981321991069	55.9854398074747	158.400461528339	490.65324929955	578.310725494336	535.144072070477	217.146765769966	101.017427858719	648.375722929251	999.301356727943
rep7	1953.22893044006	2000	1845.6533785986	1467.84096395407	1391.60434436264	1646.55240917961	1089.33126466668	901.374764286739	940.686315219765	1105.86138103378	922.031882059935	1096.83808172126	549.5036622869	420.331867250838	247.330564814005	287.236124006081	418.832278648781	368.104996801589	456.646990822997	256.048809847046	648.038440453491	754.099485849459	281.620549836416	456.119171179421	602.792856037615	1238.62558128456	956.929021507924	639.315657627185	1001.83370846442	389.303766161653	607.071380741534	1061.65707834777	580.311076055975	767.486894839482	428.910066246989	220.390735297042	434.943284243689	147.952867097877	214.507304805504	126.412663875625	37.0194846723511	114.607176330358	269.842258065054	487.850474555551	398.480235651733	323.631923460253	175.123482167917	133.678420635872	555.313210065904	826.850649945063
rep8	1961.35236004536	2000	878.00603662339	194.441686501161	539.533751484898	1133.83248157209	834.837346751731	1133.91618944543	574.914910329397	1127.3398053941	478.205459124258	512.642464977434	533.732363940794	285.76025058208	393.168157912589	405.607430618625	166.25200745713	370.536085167472	534.715819716997	397.828497069188	477.552110763167	895.209107992095	373.295339969117	226.923100572924	630.57943201037	1048.8547516304	971.239854907713	341.3969002287	788.945995272328	377.350168898034	362.634688277839	563.492615539753	274.103397968243	293.280910314089	717.509973913093	147.168932790385	493.525484963498	293.857341615889	231.436271584441	291.318061465069	49.8480310678775	83.0058999822445	319.984267777782	476.310059746453	635.645678508986	262.443234580674	184.690771759708	132.52799709092	325.105729327532	799.553979912335
rep9	1325.90123762804	1656.81780447815	1521.46614509462	1499.54779040917	1031.77600592087	796.701919476453	923.129290352871	1124.56460162396	956.183736900215	1050.12244466153	1472.45804326939	662.209948703197	246.349934129492	517.473832618494	269.615510720942	77.509926916346	341.646086231384	345.795802367361	163.897594742973	179.482103545031	561.181309102542	878.892636742063	401.807140186795	479.278436310943	435.300795692229	1135.52732425416	1077.78754664143	114.014796638129	492.877295585069	432.598157877283	470.435774183566	833.128843923266	396.395635926044	672.500956574151	506.313390278309	32.8666284535915	745.47784211104	21.1912463876568	134.143902059335	114.418927968389	20.6754387025216	23.3604535546614	36.5172703016882	756.565803435798	200.584734061872	504.801769993865	242.402823380588	124.153043404411	452.591408078012	995.956463520673
rep10	1829.32969109469	1847.31367985846	1958.00159314842	1930.2517134303	1725.76755498089	1640.21640994592	1754.75508122657	1461.03018046917	1312.68377253596	1277.1137476472	1555.1683941143	1273.94231225637	622.173747128507	404.283280904302	125.149656561481	233.288082048226	416.767301502179	389.389205225266	362.526614275701	422.529235580091	828.469252935242	1262.17626866996	111.721784182	563.328919422859	513.515042991833	1024.17509645864	916.413860138078	592.243315882909	1079.57076378987	205.640834473137	434.192554436839	1145.03793774436	274.057818341115	790.600286134508	748.412308828775	23.8778755288001	756.092031646687	11.1803275688003	222.283836593537	322.060283688963	16.8065839000097	17.8733882448278	121.060188841449	421.26343642271	496.910663040009	354.481368267315	240.097558631605	121.193642007805	836.54798692401	1018.91380677811
