frechetCorrelationESS_RF	minPseudoESS_RF	medianPseudoESS_RF	approximateESS_RF	cmds10DMaxMcmcseMultiESS_RF	cmds2DMcmcseMultiESS_RF	cmdsD1McmcseESS_RF	cmdsD2McmcseESS_RF	cmdsD1CodaESS_RF	cmdsD2CodaESS_RF	cmdsD1TracerLag2000ESS_RF	cmdsD2TracerLag2000ESS_RF	cmdsD1RstanESS_RF	cmdsD2RstanESS_RF
rep1	1151.11062843461	388.64108970424	982.793973876225	4583.39551385207	2335.34402340556	335.458395552572	26.432800452371	888.535491253954	24.1498740979045	1079.21475800343	32.6989682337089	892.337982039101	20.1799260909987	725.333526528419
rep2	1197.11333825571	423.002151558654	1025.28507450785	4585.61233610274	2247.75514149218	185.604687521513	27.1013833552819	815.730503669922	30.2122687722629	922.780071909683	21.6889192411972	513.693949960816	20.5208649462725	385.41598992636
rep3	1100.95408920347	280.896816348913	977.070240128487	4583.78632502479	1855.63807841282	86.3975568801502	30.537611682241	623.391042335508	31.186442575552	805.908390134278	30.8917844333801	574.797167526072	33.8275883683578	368.204599474015
rep4	1159.20423451079	372.897352396371	1088.01325479004	4599.8964746367	2969.8216361611	205.574564005577	42.9818175709042	787.150239270087	43.51263699343	989.653415380608	40.6553855389797	782.628625896463	25.8058694009995	525.318408924736
rep5	1002.32750741382	313.699028151726	908.991114855041	4610.07631726124	2049.04792078696	96.7907551326519	23.2573714021578	784.491218671293	23.0209318820619	883.310836128657	23.7576518387252	669.939231529884	30.0542818863949	421.768777741527
rep6	346.192117555588	129.323002041784	415.845637021872	1144.99350292881	1454.15983917751	24.7873799825487	8.47005534468242	173.609448538977	4.2500104469815	263.182509812962	7.63712768919886	81.7900005285751	3.30783731766024	64.960260917649
rep7	385.426763876171	129.455140389489	416.278160052397	1129.25367835364	1404.68634073985	47.0396377004452	13.708644127789	143.52494708269	11.2457404235981	136.219253836936	10.0927906647995	113.17951406573	24.7301647753484	110.443090631245
rep8	340.152832429781	141.341098934782	457.291015412173	1167.34189928685	1400.43901709815	64.6826504866614	11.2567619590799	198.580714541133	16.7992565462554	228.845907160772	10.6517395586799	127.443040670448	12.0944100174755	77.7144614706605
rep9	292.149548389423	101.836054545217	447.935421410887	1148.41322768802	974.312526619509	29.02380981061	7.19435068430176	261.804272979601	4.66107363046153	306.036302347088	5.39317521479042	208.734978909067	11.3696964699635	106.087693297318
rep10	304.43903254588	68.7011422782919	463.439330770039	1147.94038583275	585.058396127152	383.03133069093	18.1157561096049	205.332438426557	9.19509140405607	259.809169133185	14.7256574701316	163.152696283391	4.24263120286554	101.184478427337
rep1trunc	365.533911818665	130.609440758725	416.573002396811	1134.0179265291	1268.93096085339	44.9899155992064	11.6788643284165	235.424599591198	9.38267355719965	287.714770809741	14.812785082412	143.623918076438	19.2208563290422	135.292100341081
rep2trunc	424.767396212184	129.960759521458	474.989185960407	1131.5711658999	1205.66529037781	33.4331680741195	9.21631513635792	230.155862385993	9.76121076441511	281.544118842347	12.4643021729704	251.132741660722	16.1267775148356	197.648499911506
rep3trunc	349.812245999177	119.193600449703	451.517646599174	1150.11710021465	964.750800843093	29.923337421043	8.05390027260295	167.715782222808	10.655628629435	139.197551915564	11.587406879617	91.3865554703938	10.7331089921464	75.8098440135226
rep4trunc	456.481050068761	144.496580390107	545.218660553395	1130.33819260628	1023.28512226352	121.932183262053	17.8481168030039	206.992860124927	22.1618781110446	230.173023895391	25.739880587009	217.080639727143	44.1283335566914	164.26280767455
rep5trunc	322.270997338773	80.5349527645332	395.64285891142	1142.12247785788	644.296945650123	38.5906310462097	10.2325188193236	223.308223437645	5.3684687088627	294.39507085996	8.94754672945996	129.950815647727	9.32521439678851	84.7655622886008
