posterior	prior	likelihood	skygrid
rep1	1653.54884018483	1429.09146853846	5205.90854154588	1414.08613356122
rep2	1497.88467735034	1435.14862968683	4846.86925293108	1419.3288804848
rep3	1628.01649161609	1467.67338079598	6435.24700042343	1454.02080933304
rep4	1015.46333339387	894.225093250622	5345.22575864491	883.923505110772
rep5	1363.36057885879	1210.13777359046	5519.73493172803	1196.53255997577
rep6	453.32132063424	379.759372830971	1428.29012039506	375.522626851902
rep7	378.760277222734	355.203990526039	1426.2562066547	351.769501424562
rep8	467.517509115023	387.420971138652	1731.02472542558	384.406706482341
rep9	291.727987514084	307.955802403669	1466.82628572098	302.608749591275
rep10	275.614182892614	266.433698371555	1348.26479013551	264.374084503384
rep1trunc	415.358145212672	378.632135899954	1485.94183303869	375.41074954279
rep2trunc	278.919229025083	291.251491624453	1268.63438923344	288.490370987343
rep3trunc	469.173523938963	408.106031212236	1532.66881139355	405.666892781203
rep4trunc	331.271655935125	265.621235694341	1285.4300877759	262.422043553142
rep5trunc	301.887761476946	274.858351751997	1552.62222422613	271.859753897563
