skygrid.logPopSize1	skygrid.logPopSize2	skygrid.logPopSize3	skygrid.logPopSize4	skygrid.logPopSize5	skygrid.logPopSize6	skygrid.logPopSize7	skygrid.logPopSize8	skygrid.logPopSize9	skygrid.logPopSize10	skygrid.logPopSize11	skygrid.logPopSize12	skygrid.logPopSize13	skygrid.logPopSize14	skygrid.logPopSize15	skygrid.logPopSize16	skygrid.logPopSize17	skygrid.logPopSize18	skygrid.logPopSize19	skygrid.logPopSize20	skygrid.logPopSize21	skygrid.logPopSize22	skygrid.logPopSize23	skygrid.logPopSize24	skygrid.logPopSize25	skygrid.logPopSize26	skygrid.logPopSize27	skygrid.logPopSize28	skygrid.logPopSize29	skygrid.logPopSize30	skygrid.logPopSize31	skygrid.logPopSize32	skygrid.logPopSize33	skygrid.logPopSize34	skygrid.logPopSize35	skygrid.logPopSize36	skygrid.logPopSize37	skygrid.logPopSize38	skygrid.logPopSize39	skygrid.logPopSize40	skygrid.logPopSize41	skygrid.logPopSize42	skygrid.logPopSize43	skygrid.logPopSize44	skygrid.logPopSize45	skygrid.logPopSize46	skygrid.logPopSize47	skygrid.logPopSize48	skygrid.logPopSize49	skygrid.logPopSize50
rep1	7081.08708023118	7037.32348413508	6992.48705775528	6655.5263668554	6423.18815947282	6388.85249358162	6434.2701750292	5956.0012306097	6497.06781712177	5142.29799728668	4517.94444010447	4505.5611060246	6973.53216717362	7446.25735138953	6309.94266971529	5211.59676179491	5864.16926407444	6128.02961365163	7055.77981213224	5372.47090909154	4275.31790522087	3052.5013966598	5244.13209195911	684.829412760665	193.650112040124	208.397673952679	3939.8052303723	5628.50479457477	5212.80235503437	5803.03078591241	5670.96236954612	4571.35268366982	4119.6571859118	3692.93288236599	2895.7719342039	2115.34474913686	1717.57887683397	1605.77297741831	4716.2244730947	4158.14504889089	6383.88226784853	6291.21272458903	4277.88533821303	2344.26466310147	2823.30658577096	4366.36730316041	6109.08859534295	8000	7797.65655133412	7784.63201495587
rep2	5975.72599678355	5012.8530073319	5135.83646243745	5240.15198404846	5290.62221869472	5507.15632141247	5617.77459150229	5408.38788834694	5764.13446901452	3961.64609543448	4407.29934307728	4488.72663039548	6622.07157804657	7711.29108450077	6691.86824464619	6337.71112613348	6301.04768755533	6661.38444078232	6377.34426553147	5578.01266672064	4439.22706201752	3140.37208366195	5155.74352646499	490.650255855754	155.375707722177	178.588890028959	4929.6238196053	4108.74567190945	5030.93911243693	5650.81658393688	5932.12696564038	5482.17714724909	4469.11457520117	3920.6947322037	1909.07256534748	1710.60448235304	1182.98667993868	1273.46175635563	4156.58347691431	4447.21835019115	6375.82923451595	5845.26967239214	3985.44141006594	3683.4807635671	2939.92710850983	4067.87029857746	6552.84672258116	7635.73425858401	7382.16172476936	6676.35641716914
rep3	6437.40369888101	5950.112897172	5705.99974317653	5155.31969159719	4708.65260598859	3462.66098652321	2772.89173071756	3183.50103057658	2669.20695511104	2136.92108110718	2402.47843218037	2200.47708813162	3008.86015030857	7486.67630209852	6695.1549180075	5641.54032880808	6274.15182670574	4328.81665839845	6743.96022521761	4724.18297053531	3133.06674467398	3258.54357115768	3399.95938844227	450.376199839858	106.495819266454	129.535726960643	3346.76151029618	4930.98103611274	5258.68457660484	5768.14034847068	6034.10216834868	5441.3187283375	4288.67538274165	3243.86993576714	1711.35315036478	1459.18453570267	1616.41478584532	1437.8843499534	5167.73831996895	3513.29564582396	6396.9427897399	5470.45545094738	3279.66421729061	1856.54250211045	1898.34331827443	2780.1375375188	6458.88695254513	6405.46776394696	6689.90052658764	7152.28320531095
rep4	6830.63559964025	7021.9644278106	6626.6652831686	6499.2272037515	6479.71737898104	6659.63530619902	6542.47130280778	6446.95282313688	6031.28774083492	6088.27458473219	3917.66572548977	6171.43703505277	5999.77819165359	7041.38831466023	6834.6945624563	5953.40174033503	4969.05598741021	5727.81184497695	6056.41415790613	5827.79529166551	3066.13104478043	2388.3031573123	3271.67105442584	473.070999202971	130.368533611703	136.710579225611	2944.92866087183	3535.74266996556	4781.51889518749	5072.67551179395	5509.06824467709	5355.63929236051	3605.58437776978	3358.74575488947	2458.7591307544	2032.94363332006	1640.17772865966	1334.61541841592	4883.14830230752	2978.1294575978	4071.63563168748	4924.29149342982	4095.26959639949	3260.49924339755	2711.96259156497	4373.90922752536	6630.10084906557	7293.57363792677	7582.89780465592	7607.45219919119
rep5	7688.49688174087	7556.2162028605	7399.10996502599	7518.69067095011	7257.8780255043	7345.29353689111	7059.26609641857	5240.24646642594	4846.18965869173	5650.25428666169	5278.64883626537	5582.15494129504	7010.1544346586	7298.53833673234	5928.65187938404	6074.45125614585	6029.77657087928	7037.7097870425	6747.47444051229	5316.12650962616	3299.12501161517	3498.11328035957	4909.03990613552	413.956027336663	106.814008442741	128.72019911501	3539.05764903841	5139.19465603759	6588.1378726721	5353.98276900363	5798.36716745054	4116.4350344328	3730.80967850276	2908.87756287328	1799.46098827092	1690.26608685559	1429.06116093533	1255.42553312607	5500.94140154794	3132.58422100598	6359.04486854676	5474.08596861857	3543.05800825015	2757.33478668428	2427.31111793209	4621.92403169991	6824.49518808799	7074.16825883397	7428.20482018593	7353.01063982175
rep6	1354.29295229256	1347.62153509957	1418.71546946096	1228.81885693462	1276.51980918947	1261.81487818379	1095.02376744243	1240.06804415326	1502.34411648267	1244.9186575432	1309.16001047934	1110.59626479353	1846.81518985892	1452.03953984734	1710.33734520807	1160.63464931467	1568.82685969077	1834.80742516733	1689.2409616027	1721.35411525364	1049.50271187935	1078.73829425163	1168.99944588902	136.374917031312	23.6641354786882	26.7275633157695	1332.03751952865	1275.07433714737	1261.03838131509	1373.16777817058	1464.41047662752	1610.14098214376	974.672175215407	807.063081399006	745.116010281403	700.169127343467	377.71790928084	312.757967799263	924.944496948682	927.624307114889	1295.30875035802	1461.50926337062	1499.96965001137	878.503282369825	866.252000091423	1147.32289955148	1398.10564030332	1605.82319126033	1672.50508759389	1674.62554139201
rep7	1832.76531595853	1884.40779904897	1771.89657826758	1720.96303269905	1643.39443226884	1490.64547972184	1636.92080175213	1611.56980007681	1619.10369914228	1394.82102780127	1109.5086616443	1284.20598748399	1781.25693483936	2000	2000	1635.07363935971	1464.22469963332	1547.20359422773	1914.12195412853	1466.05872523547	1312.14268406653	1104.57540349517	1350.38856487916	118.382581847038	32.7953627128095	38.4932194239992	1303.43602196815	1188.85842643555	1485.18727115574	1529.12425674704	1286.74175156134	1264.58292266971	1122.02959743314	1213.09376818866	477.450780543083	779.352113377346	286.129291555302	203.051171413472	1236.54947666771	1208.13572625762	1612.00566488762	961.121439527746	718.241290090068	507.317255506318	338.108577742533	720.359854637783	1827.77606249158	1961.06359712576	1939.55553916254	2000
rep8	2000	2000	1018.95370395054	1718.08758916281	1218.493941689	1094.81735878297	1324.17280575344	1337.79892321565	1605.80216462518	1599.29212090718	905.966669081965	1709.14646040987	1765.0304512092	1998.17003005316	1620.43030816523	1151.33301835997	1293.51254366681	1849.58340555413	1743.41034732237	1795.874313457	854.150697730906	1344.21965174004	1120.87433723676	124.179819264911	34.3789248509185	45.2126981667759	805.953579229265	1313.03978447717	1304.97604996495	1240.07816089818	1496.15607026615	1267.85248481734	1074.26396822434	1048.3123209839	750.078547898471	561.917324067156	431.738932578175	476.677135127579	924.086657258857	949.272470233257	1226.26028264134	1290.04835804629	972.621338538204	842.85577612887	680.293124757452	1188.79880613384	1681.62559613671	2000	2000	2000
rep9	1440.24340410889	1483.93579107256	1306.49687242195	1231.31982186028	1330.47517599797	1423.4805420379	1524.96927823723	1522.19760487837	1313.26771289171	1465.06669341284	1458.13743433267	1528.33908166421	1567.30478026544	1670.7525492403	1409.24667060034	1347.21904528107	1263.64302073706	1771.26465317527	1530.64043357755	952.486855466417	650.957680841404	657.713273654192	1042.22410236767	124.354228734923	26.2886236326373	50.5079642811715	1044.51272080391	963.597924933626	653.341443093965	1164.9938140217	1193.41828803509	1104.0941374033	951.563096799659	495.487694557692	551.061031956371	364.041419946235	216.237303777786	174.290235644241	1093.79357479666	522.444738875097	1458.9460411172	1551.31166995372	1118.86345002015	449.061809407576	583.366229484712	961.655397668588	1313.2872444922	1663.69914952592	2000	2000
rep10	1819.79107767549	1765.6625084218	1672.2244360627	1679.37496899332	1770.00434673882	1721.25542703078	1757.06761718795	1565.88039063087	1460.4597559963	886.662927584655	1485.21266507653	1764.26579867742	2000	1897.41658036836	1650.81992552365	1452.75987811164	1670.88714851482	1571.91719363622	1734.10362827668	1625.61994203424	1199.78289704488	310.372870654955	1087.44498402934	155.748213436222	45.3700706661702	64.5045976739224	919.612368541168	1392.96754061579	1485.75376802732	817.989588986395	1673.28452398998	1206.56042513299	1032.17684866171	951.295143052949	715.123192074064	650.623061674105	478.026090681474	475.411103626706	1101.33606977152	1228.18192079646	1465.81485304258	1668.92029298043	1156.0231737724	863.024488063107	723.472213100134	1166.88938809146	1718.14409504134	1975.1260440305	2000	1925.82709084457
