frechetCorrelationESS_RF	minPseudoESS_RF	medianPseudoESS_RF	approximateESS_RF	cmds10DMaxMcmcseMultiESS_RF	cmds2DMcmcseMultiESS_RF	cmdsD1McmcseESS_RF	cmdsD2McmcseESS_RF	cmdsD1CodaESS_RF	cmdsD2CodaESS_RF	cmdsD1TracerLag2000ESS_RF	cmdsD2TracerLag2000ESS_RF	cmdsD1RstanESS_RF	cmdsD2RstanESS_RF
rep1	4194.69350860099	1110.46666332819	4237.0955556114	7999.99999999733	3232.19091316158	609.012885090147	454.040250867077	383.01320044601	326.757032044495	266.674667049033	306.237454728293	256.700196656996	346.077971782248	273.00331565786
rep2	4319.07395737957	1084.04173260543	3825.92348815304	7999.99999999733	4308.09794427524	886.891287450234	427.551271380833	379.593001519709	377.997030455701	303.100711816608	315.807969582184	303.51462358908	365.073903599856	329.349429429515
rep3	2161.68456926698	508.013351173628	1307.97541801994	7999.99999999733	3005.48290663665	750.475918747456	471.12113849041	387.914444277714	422.793067416427	286.079294898592	316.637941515164	199.187794925012	383.132716681683	231.214397792347
rep4	4534.27578049486	1069.9227349386	3858.6406420318	7999.99999999733	3523.74054345122	714.126541653926	456.504570672777	399.095637430046	391.665777156565	341.382522265011	387.654917065781	311.36393711496	435.292083934515	302.973885544545
rep5	1235.46411085632	253.611292192051	735.4147299891	8000.00000000443	3243.42039763277	748.389810526135	422.844159670474	381.479301785425	374.363879806687	307.994326940736	296.415590858633	285.971234467818	427.285029109482	300.707078811167
rep6	1043.98851565268	257.107083504163	1241.96228926616	1999.99999999978	1754.8496497739	327.847972288839	120.725010921767	104.874910748578	79.8198933417773	65.3881342166626	49.0726827866721	52.537827722484	61.4575597067764	53.8774900578486
rep7	317.033957012683	54.8568918370005	244.346314129754	2000.00000000066	881.855625255071	206.316205466215	200.950190783059	137.78116088394	174.941062399073	99.2167579603321	138.91559577486	101.562297530917	176.5911799617	116.330225123293
rep8	1275.8693053725	357.499566985243	1370.53122861432	1999.99999999978	1436.69607137314	215.802723745341	155.892505712254	138.793263273369	132.72998237722	130.300403246555	112.275496920268	114.082202153579	106.596273481525	71.5503336202842
rep9	1237.98343549529	396.548964982535	1331.03583345627	1999.99999999978	1174.52632232998	184.162873311447	151.511194973351	132.22664157365	124.08951085319	112.079151030104	73.7222940432305	78.7695527561773	79.4351888091026	79.456240814638
rep10	654.987254410464	148.210134072559	666.720191745583	2000.00000000022	906.330639520633	197.983253448884	117.072445557283	150.684605032986	78.148998058781	137.78140851448	56.0780035931798	58.6692257695122	64.0247808597714	57.2478394573628
rep1trunc	1203.98862602125	310.957073910042	1376.69621775817	2000.00000000022	1156.91215926837	294.190578557863	154.680445843057	146.994787129198	158.251474110395	103.697584519331	118.651543973654	71.7002576571782	136.125887303304	91.8814535573073
rep2trunc	1068.01587137225	225.77225265507	1133.42037786001	1999.99999999978	1033.92171727402	206.251279146152	136.578220154333	123.165038905827	91.8342372664433	70.2534504977583	77.7667599069633	78.2056695564875	93.9035902451313	83.2144149134213
rep3trunc	992.158680404177	266.501749402538	1314.81865605059	1999.99999999933	1136.82325883062	222.895420183264	121.358149421763	107.085339553505	137.325688990872	36.8957604395026	69.6990146202442	22.3430314911266	67.8392892946929	8.84755992800842
rep4trunc	1278.63767096259	375.791901514486	1249.57192630962	1999.99999999978	1041.55239909072	272.776193050793	133.65216979564	134.367975066042	182.460646576491	156.041512306767	126.292867437182	113.419717743152	144.465120950052	118.587325525808
rep5trunc	763.613971937577	169.197119495058	708.785957752207	2000.00000000022	958.248970427625	214.771348112324	151.159397975555	118.731921626714	82.0027582591873	66.6157104947934	94.6111749464989	66.6847844494396	109.067746206067	67.1799545758036
