taxon	date
Algeria/G0638/2264/2020|EPI_ISL_418241||Algeria|Boufarik||2020-03-02	2020-03-02
Algeria/G0640/2265/2020|EPI_ISL_418242||Algeria|Blida||2020-03-08	2020-03-08
Argentina/C121/2020|EPI_ISL_420600||Argentina|||2020-03-07	2020-03-07
Argentina/C1374/2020|EPI_ISL_420599||Argentina|||2020-03-18	2020-03-18
Argentina/C3013/2020|EPI_ISL_420598||Argentina|||2020-03-22	2020-03-22
Australia/NSW01/2020|EPI_ISL_407893||Australia|New/South/Wales|Sydney|2020-01-24	2020-01-24
Australia/NSW02/2020|EPI_ISL_408976||Australia|New/South/Wales|Sydney|2020-01-22	2020-01-22
Australia/NSW03/2020|EPI_ISL_408977||Australia|New/South/Wales|Sydney|2020-01-25	2020-01-25
Australia/NSW08/2020|EPI_ISL_413594||Australia|NSW|Sydney|2020-02-28	2020-02-28
Australia/NSW11/2020|EPI_ISL_413597||Australia|NSW|Sydney|2020-03-02	2020-03-02
Australia/NSW12/2020|EPI_ISL_413598||Australia|NSW|Sydney|2020-03-04	2020-03-04
Australia/NSW14/2020|EPI_ISL_413600||Australia|NSW|Sydney|2020-03-03	2020-03-03
Australia/NSW18/2020|EPI_ISL_417384||Australia|New/South/Wales|Sydney|2020-03-05	2020-03-05
Australia/NSW24/2020|EPI_ISL_417387||Australia|New/South/Wales|Sydney|2020-03-06	2020-03-06
Australia/NT02/2020|EPI_ISL_419832||Australia|Northern/Territory||2020-02-21	2020-02-21
Australia/NT05/2020|EPI_ISL_419835||Australia|Northern/Territory||2020-02-24	2020-02-24
Australia/QLD01/2020|EPI_ISL_407894||Australia|Queensland|Gold/Coast|2020-01-28	2020-01-28
Australia/QLD02/2020|EPI_ISL_407896||Australia|Queensland|Gold/Coast|2020-01-30	2020-01-30
Australia/QLD04/2020|EPI_ISL_410718||Australia|Queensland|Gold/Coast|2020-02-05	2020-02-05
Australia/QLD09/2020|EPI_ISL_414414||Australia|Queensland|Gold/Coast|2020-02-29	2020-02-29
Australia/VIC07/2020|EPI_ISL_416415||Australia|Victoria|Melbourne|2020-02-08	2020-02-08
Australia/VIC114/2020|EPI_ISL_419725||Australia|Victoria||2020-03-18	2020-03-18
Australia/VIC117/2020|EPI_ISL_419727||Australia|Victoria||2020-03-19	2020-03-19
Australia/VIC126/2020|EPI_ISL_419728||Australia|Victoria||2020-03-20	2020-03-20
Australia/VIC129/2020|EPI_ISL_419732||Australia|Victoria||2020-03-21	2020-03-21
Australia/VIC137/2020|EPI_ISL_419830||Australia|Victoria||2020-03-22	2020-03-22
