P_name,Q_name,C_name,m,n,k,p,HS?,log10(p),DS(p),DS(p),min_rec_length,breakpoints
KP154tDs02,MBTB10tCs97,C_SO_89SM_145s89,24,54,48,5.7e-11,0,-10.2448,0.04419,0.04418745,102,29-38 & 339-341
KTB6tAs97,Y706620s99,C_ZA_DU123s99,36,34,28,3.4e-11,0,-10.4693,0.02659,0.02658688,129,78-80 & 351-356;98-99 & 351-356
KTB6tAs97,Y706620s99,C_ZA_LT39s99,33,37,32,3e-12,0,-11.4887,0.00257,0.002573912,129,78-80 & 351-356
KS18tHs97,Y706620s99,EQTB69tAs97,31,44,37,3.9e-11,0,-10.4038,0.03085,0.0308474,140,99-110 & 366-366
KTB085tCs02,Y706620s99,KFE4tAs97,38,46,36,6.1e-11,0,-10.2177,0.04696,0.0469628,126,79-90 & 366-366
KSFE061tUs02,Y706620s99,KITACD002s00,31,45,38,2.6e-11,0,-10.5888,0.02026,0.02025818,145,58-72 & 318-321;74-75 & 318-321
KSFE061tUs02,Y706620s99,KITACD014s00,30,46,39,3.7e-11,0,-10.435,0.02874,0.02873876,145,58-72 & 318-321
CgCHU37s03.5,Y706620s99,KITACD015s00,38,51,41,6e-12,0,-11.1957,0.00505,0.005047068,108,20-20 & 303-310
98CG879,Y706620s99,KP044tAs02,29,39,34,1.8e-11,0,-10.7562,0.01382,0.01382296,119,78-78 & 357-366
B_US_C11s95,Y706620s99,KS37tAs97,31,50,42,3e-11,0,-10.525,0.02342,0.02342418,122,74-74 & 354-356
KTB085tCs02,Y706620s99,KTB088tAs02,26,52,46,1.4e-11,0,-10.8452,0.01128,0.01127537,115,74-75 & 366-366
KITACD209s01,Y706620s99,KTB157tAs97,29,38,33,2.8e-11,0,-10.5485,0.02221,0.02220596,160,74-75 & 235-261
KP118tUs02,Y706620s99,LBTB106tAs02,35,42,34,5.2e-11,0,-10.2805,0.04077,0.0407715,142,86-90 & 366-366
B_US_1304s96,Y706620s99,MBTB022t02s02,33,52,44,3e-12,0,-11.5522,0.00222,0.002223967,102,36-41 & 353-353
KTB184tUs02,Y706620s99,MBTB159tAs02,39,60,47,2.6e-11,0,-10.5849,0.02044,0.02043748,108,58-68 & 368-370
B_TT_QH0020s94,C_ZA_04_CAP61_2_F10Js00,Y715214s99,31,35,30,3.5e-11,0,-10.4592,0.02721,0.027207,172,129-130 & 352-352
B_HT_HT652s91,Y706620s99,YBDK83s99,34,50,41,2.3e-11,0,-10.6387,0.01808,0.01808064,125,58-71 & 342-351
