P_name,Q_name,C_name,m,n,k,p,HS?,log10(p),DS(p),DS(p),min_rec_length,breakpoints
A/India/Dib0622568/2006,A/RiodeJaneiro/465/01,A/Aichi/3/2007,52,21,19,0,0,-12.9201,0.00769,0.007691483,144,859-860 & 1004-1010
A/India/Dib0622568/2006,A/RiodeJaneiro/465/01,A/Aichi/66/2007,52,21,19,0,0,-12.9201,0.00769,0.007691483,144,859-860 & 1004-1010
A/India/Dib0622568/2006,A/TEXAS/7/2000,A/Aichi/72/2007,45,19,18,0,0,-12.4878,0.02068,0.02067638,144,859-860 & 1004-1010
A/India/Dib0622568/2006,A/RiodeJaneiro/465/01,A/Aichi/78/2007,52,21,19,0,0,-12.9201,0.00769,0.007691483,144,859-860 & 1004-1010
A/India/Dib0622568/2006,A/RiodeJaneiro/465/01,A/Aichi/8/2007,52,21,19,0,0,-12.9201,0.00769,0.007691483,144,859-860 & 1004-1010
A/India/Dib0622568/2006,A/RiodeJaneiro/465/01,A/Aichi/80/2007,52,21,19,0,0,-12.9201,0.00769,0.007691483,144,859-860 & 1004-1010
A/BULGARIA/113/2000,A/India/Dib0622568/2006,A/Alexandroupolis/134/2006,24,48,45,0,0,-12.8006,0.01012,0.01011673,177,65-94 & 855-860
A/BULGARIA/113/2000,A/India/Dib0622568/2006,A/Anhui_Baohe/1884/2006,22,49,47,0,0,-13.3892,0.00262,0.002618249,165,65-94 & 855-860
A/BULGARIA/113/2000,A/India/Dib0622568/2006,A/Anhui_Luyang/1113/2006,22,49,47,0,0,-13.3892,0.00262,0.002618249,165,65-94 & 855-860
A/BULGARIA/113/2000,A/India/Dib0622568/2006,A/Anhui/122/2005,23,48,45,0,0,-12.3624,0.02751,0.02750506,165,65-94 & 855-860
A/BULGARIA/113/2000,A/India/Dib0622568/2006,A/Anhui/1229/2005,23,48,45,0,0,-12.3624,0.02751,0.02750506,165,65-94 & 855-860
A/BULGARIA/113/2000,A/India/Dib0622568/2006,A/Anhui/123/2005,23,48,45,0,0,-12.3624,0.02751,0.02750506,165,65-94 & 855-860
A/BULGARIA/113/2000,A/India/Dib0622568/2006,A/Anhui/125/2005,23,48,45,0,0,-12.3624,0.02751,0.02750506,165,65-94 & 855-860
A/India/Dib0622568/2006,A/TEXAS/7/2000,A/Bangladesh/1695/2007,46,18,18,0,0,-13.8844,0.00084,0.0008379497,144,859-860 & 1004-1010
A/BULGARIA/113/2000,A/India/Dib0622568/2006,A/Beijing_Xicheng/1283/2006,22,49,47,0,0,-13.3892,0.00262,0.002618249,161,65-94 & 855-860
A/BULGARIA/113/2000,A/India/Dib0622568/2006,A/Beijing_Xicheng/148/2007,22,49,47,0,0,-13.3892,0.00262,0.002618249,165,65-94 & 855-860
A/BULGARIA/113/2000,A/India/Dib0622568/2006,A/Beijing_Xuanwu/1367/2006,22,49,47,0,0,-13.3892,0.00262,0.002618249,165,65-94 & 855-860
A/BULGARIA/113/2000,A/India/Dib0622568/2006,A/Beijing_Xuanwu/1379/2006,22,49,47,0,0,-13.3892,0.00262,0.002618249,165,65-94 & 855-860
A/India/Dib0622568/2006,A/RiodeJaneiro/465/01,A/Brisbane/04/2007,52,21,19,0,0,-12.9201,0.00769,0.007691483,144,859-860 & 1004-1010
A/India/Dib0622568/2006,A/RiodeJaneiro/465/01,A/California/UR06_0118/2007,52,21,19,0,0,-12.9201,0.00769,0.007691483,144,859-860 & 1004-1010
A/India/Dib0622568/2006,A/TEXAS/7/2000,A/California/UR06_0589/2007,45,19,18,0,0,-12.4878,0.02068,0.02067638,144,859-860 & 1004-1010
A/India/Dib0622568/2006,A/RiodeJaneiro/465/01,A/Chanchamayo/FSJ1176/2006,49,21,19,0,0,-12.5343,0.0186,0.01859669,144,859-860 & 1004-1010
A/Daejeon/258/2002,A/Denmark/02/2002,A/Cheju/311/2002,41,17,17,0,0,-12.6724,0.01357,0.01356502,347,609-622 & 969-1016
A/BULGARIA/113/2000,A/India/Dib0622568/2006,A/Chongqing/1166/2005,23,48,45,0,0,-12.3624,0.02751,0.02750506,165,65-94 & 855-860
A/BULGARIA/113/2000,A/India/Dib0622568/2006,A/Chongqing/65/2005,23,48,45,0,0,-12.3624,0.02751,0.02750506,165,65-94 & 855-860
A/BULGARIA/113/2000,A/India/Dib0622568/2006,A/Chongqing/654_1/2005,23,48,45,0,0,-12.3624,0.02751,0.02750506,165,65-94 & 855-860
A/India/Dib0622568/2006,A/RiodeJaneiro/465/01,A/Chongqing/Yuzhong169/2007,52,21,19,0,0,-12.9201,0.00769,0.007691483,144,859-860 & 1004-1010
A/India/Dib0622568/2006,A/RiodeJaneiro/465/01,A/Chungbuk/1469/2007,52,21,19,0,0,-12.9201,0.00769,0.007691483,144,859-860 & 1004-1010
A/India/Dib0622568/2006,A/RiodeJaneiro/465/01,A/Chungnam/1463/2007,52,21,19,0,0,-12.9201,0.00769,0.007691483,144,859-860 & 1004-1010
A/India/Dib0622568/2006,A/TEXAS/7/2000,A/Chungnam/1902/2007,45,19,18,0,0,-12.4878,0.02068,0.02067638,144,859-860 & 1004-1010
A/India/Dib0622568/2006,A/TEXAS/7/2000,A/Chungnam/1929/2007,45,19,18,0,0,-12.4878,0.02068,0.02067638,144,859-860 & 1004-1010
A/India/Dib0622568/2006,A/RiodeJaneiro/465/01,A/Chungnam/2288/2007,52,21,19,0,0,-12.9201,0.00769,0.007691483,144,859-860 & 1004-1010
A/India/Dib0622568/2006,A/RiodeJaneiro/465/01,A/Cusco/FLU6724/2007,52,21,19,0,0,-12.9201,0.00769,0.007691483,144,859-860 & 1004-1010
A/India/Dib0622568/2006,A/RiodeJaneiro/465/01,A/Daegu/1783/2007,52,21,19,0,0,-12.9201,0.00769,0.007691483,144,859-860 & 1004-1010
A/India/Dib0622568/2006,A/RiodeJaneiro/465/01,A/Daejeon/2419/2007,52,21,19,0,0,-12.9201,0.00769,0.007691483,144,859-860 & 1004-1010
A/Brazil/009/00,A/India/Dib0622568/2006,A/Daejeon/258/2002,51,56,42,0,0,-12.4494,0.02257,0.02256625,427,65-77 & 618-622
A/India/Dib0622568/2006,A/RiodeJaneiro/465/01,A/Delhi/0612421/230106,55,18,17,0,0,-13.1425,0.00462,0.004616481,144,859-860 & 1004-1010
A/India/Dib0622568/2006,A/TEXAS/7/2000,A/Dnipropetrovsk/324/2007,46,18,18,0,0,-13.8844,0.00084,0.0008379497,144,859-860 & 1004-1010
A/India/Dib0622568/2006,A/TEXAS/7/2000,A/Dnipropetrovsk/429/2007,45,19,18,0,0,-12.4878,0.02068,0.02067638,144,859-860 & 1004-1010
A/India/Dib0622568/2006,A/TEXAS/7/2000,A/England/264/2007,45,19,18,0,0,-12.4878,0.02068,0.02067638,144,859-860 & 1004-1010
A/India/Dib0622568/2006,A/TEXAS/7/2000,A/England/706649/2007,45,19,18,0,0,-12.4878,0.02068,0.02067638,144,859-860 & 1004-1010
A/TEXAS/7/2000,A/India/Dib0622568/2006,A/Evros/17/2007,19,44,44,0,0,-14.4865,0.00021,0.0002095324,152,0-57 & 859-860
A/India/Dib0622568/2006,A/RiodeJaneiro/465/01,A/Florida/01/2007,52,21,19,0,0,-12.9201,0.00769,0.007691483,144,859-860 & 1004-1010
A/Brazil/008/00,A/India/Dib0622568/2006,A/Fukuoka/F257/2006,23,86,80,0,0,-12.8254,0.00956,0.009557946,141,65-77 & 881-883
A/India/Dib0622568/2006,A/RiodeJaneiro/465/01,A/Gangwon/1954/2007,52,21,19,0,0,-12.9201,0.00769,0.007691483,144,859-860 & 1004-1010
A/India/Dib0622568/2006,A/TEXAS/7/2000,A/Germany/AF1009/2007,45,18,18,0,0,-13.7503,0.00114,0.001140862,144,859-860 & 1004-1010
A/India/Dib0622568/2006,A/TEXAS/7/2000,A/Germany/AF1010/2007,46,18,18,0,0,-13.8844,0.00084,0.0008379497,144,859-860 & 1004-1010
A/India/Dib0622568/2006,A/TEXAS/7/2000,A/Germany/AF1019/2007,46,18,18,0,0,-13.8844,0.00084,0.0008379497,144,859-860 & 1004-1010
A/India/Dib0622568/2006,A/TEXAS/7/2000,A/Gwangju/2698/2007,45,19,18,0,0,-12.4878,0.02068,0.02067638,144,859-860 & 1004-1010
A/India/Dib0622568/2006,A/RiodeJaneiro/465/01,A/Gyeongbuk/1258/2007,52,21,19,0,0,-12.9201,0.00769,0.007691483,144,859-860 & 1004-1010
A/India/Dib0622568/2006,A/TEXAS/7/2000,A/Gyeonggi/1995/2007,45,19,18,0,0,-12.4878,0.02068,0.02067638,144,859-860 & 1004-1010
A/India/Dib0622568/2006,A/TEXAS/7/2000,A/HaNoi/BM061/2007,45,19,18,0,0,-12.4878,0.02068,0.02067638,144,859-860 & 1004-1010
A/India/Dib0622568/2006,A/TEXAS/7/2000,A/HaNoi/BT17/2007,45,19,18,0,0,-12.4878,0.02068,0.02067638,144,859-860 & 1004-1010
A/India/Dib0622568/2006,A/TEXAS/7/2000,A/HaNoi/N015/2007,45,19,18,0,0,-12.4878,0.02068,0.02067638,144,859-860 & 1004-1010
A/India/Dib0622568/2006,A/TEXAS/7/2000,A/HaNoi/N062/2007,45,19,18,0,0,-12.4878,0.02068,0.02067638,144,859-860 & 1004-1010
A/India/Dib0622568/2006,A/TEXAS/7/2000,A/HaNoi/N064/2007,45,19,18,0,0,-12.4878,0.02068,0.02067638,144,859-860 & 1004-1010
A/India/Dib0622568/2006,A/TEXAS/7/2000,A/HaNoi/N210/2007,45,19,18,0,0,-12.4878,0.02068,0.02067638,144,859-860 & 1004-1010
A/India/Dib0622568/2006,A/TEXAS/7/2000,A/HaNoi/N71/2007,45,19,18,0,0,-12.4878,0.02068,0.02067638,144,859-860 & 1004-1010
A/India/Dib0622568/2006,A/TEXAS/7/2000,A/HaNoi/Q011/2007,45,19,18,0,0,-12.4878,0.02068,0.02067638,143,859-860 & 1004-1010
A/India/Dib0622568/2006,A/TEXAS/7/2000,A/HaNoi/Q039/2007,45,19,18,0,0,-12.4878,0.02068,0.02067638,144,859-860 & 1004-1010
A/India/Dib0622568/2006,A/TEXAS/7/2000,A/HaNoi/Q071/2007,45,19,18,0,0,-12.4878,0.02068,0.02067638,144,859-860 & 1004-1010
A/India/Dib0622568/2006,A/TEXAS/7/2000,A/HaNoi/Q148/2007,44,19,18,0,0,-12.3515,0.02819,0.02818863,144,859-860 & 1004-1010
A/India/Dib0622568/2006,A/TEXAS/7/2000,A/HaNoi/Q163/2007,45,19,18,0,0,-12.4878,0.02068,0.02067638,144,859-860 & 1004-1010
A/India/Dib0622568/2006,A/TEXAS/7/2000,A/HaNoi/Q220/2007,46,18,18,0,0,-13.8844,0.00084,0.0008379497,144,859-860 & 1004-1010
A/India/Dib0622568/2006,A/TEXAS/7/2000,A/HaNoi/TX050/2007,45,19,18,0,0,-12.4878,0.02068,0.02067638,144,859-860 & 1004-1010
A/India/Dib0622568/2006,A/TEXAS/7/2000,A/HaNoi/TX058/2007,45,19,18,0,0,-12.4878,0.02068,0.02067638,144,859-860 & 1004-1010
A/India/Dib0622568/2006,A/TEXAS/7/2000,A/HaNoi/TX072/2007,45,19,18,0,0,-12.4878,0.02068,0.02067638,144,859-860 & 1004-1010
A/BULGARIA/113/2000,A/India/Dib0622568/2006,A/Hebei_Nanshi/15/2007,22,49,47,0,0,-13.3892,0.00262,0.002618249,165,65-94 & 855-860
A/BULGARIA/113/2000,A/India/Dib0622568/2006,A/Hebei_Qiaodong/512/2006,22,49,47,0,0,-13.3892,0.00262,0.002618249,165,65-94 & 855-860
A/BULGARIA/113/2000,A/India/Dib0622568/2006,A/Hebei/Qiaodong51/2007,23,49,47,0,0,-13.8523,9e-04,0.0009023194,189,65-94 & 855-860
A/BULGARIA/113/2000,A/India/Dib0622568/2006,A/Heilongjiang_Xiangfang/147/2006,22,49,47,0,0,-13.3892,0.00262,0.002618249,165,65-94 & 855-860
A/RiodeJaneiro/465/01,A/India/Dib0622568/2006,A/Heilongjiang_Xiangfang/186/2006,21,51,49,0,0,-13.1912,0.00413,0.004127751,148,0-54 & 859-860
A/India/Dib0622568/2006,A/RiodeJaneiro/465/01,A/Hong_Kong/2268/2006,52,21,19,0,0,-12.9201,0.00769,0.007691483,144,859-860 & 1004-1010
A/Daejeon/258/2002,A/Denmark/02/2002,A/Hong_Kong/CUHK13299/2003,41,17,17,0,0,-12.6724,0.01357,0.01356502,347,609-622 & 969-1016
A/Daejeon/258/2002,A/Denmark/02/2002,A/Hong_Kong/CUHK13339/2003,41,17,17,0,0,-12.6724,0.01357,0.01356502,347,609-622 & 969-1016
A/Daejeon/258/2002,A/Denmark/02/2002,A/Hong_Kong/CUHK13483/2003,41,17,17,0,0,-12.6724,0.01357,0.01356502,347,609-622 & 969-1016
A/Daejeon/258/2002,A/Denmark/02/2002,A/Hong_Kong/CUHK5111/2003,41,17,17,0,0,-12.6724,0.01357,0.01356502,347,609-622 & 969-1016
A/Daejeon/258/2002,A/Denmark/02/2002,A/Hong_Kong/CUHK53123/2002,41,17,17,0,0,-12.6724,0.01357,0.01356502,347,609-622 & 969-1016
A/Daejeon/258/2002,A/Denmark/02/2002,A/Hong_Kong/CUHK5316/2003,41,17,17,0,0,-12.6724,0.01357,0.01356502,347,609-622 & 969-1016
A/Daejeon/258/2002,A/Denmark/02/2002,A/Hong_Kong/CUHK6205/2003,41,17,17,0,0,-12.6724,0.01357,0.01356502,347,609-622 & 969-1016
A/Daejeon/258/2002,A/Denmark/02/2002,A/Hong_Kong/CUHK6383/2003,41,17,17,0,0,-12.6724,0.01357,0.01356502,347,609-622 & 969-1016
A/BULGARIA/113/2000,A/India/Dib0622568/2006,A/Hong_Kong/CUHK63957/2006,21,51,49,0,0,-13.1912,0.00413,0.004127751,189,65-94 & 855-860
A/BULGARIA/113/2000,A/India/Dib0622568/2006,A/Hong_Kong/CUHK64082/2006,21,51,49,0,0,-13.1912,0.00413,0.004127751,189,65-94 & 855-860
A/Daejeon/258/2002,A/Denmark/02/2002,A/Hong_Kong/CUHK6427/2003,41,17,17,0,0,-12.6724,0.01357,0.01356502,347,609-622 & 969-1016
A/Daejeon/258/2002,A/Denmark/02/2002,A/Hong_Kong/CUHK6474/2003,41,17,17,0,0,-12.6724,0.01357,0.01356502,347,609-622 & 969-1016
A/India/Dib0622568/2006,A/RiodeJaneiro/465/01,A/Hong_Kong/CUHK65241/2006,52,21,19,0,0,-12.9201,0.00769,0.007691483,144,859-860 & 1004-1010
A/India/Dib0622568/2006,A/RiodeJaneiro/465/01,A/Hong_Kong/CUHK66001/2006,52,21,19,0,0,-12.9201,0.00769,0.007691483,144,859-860 & 1004-1010
A/India/Dib0622568/2006,A/TEXAS/7/2000,A/Hong_Kong/CUHK68792/2006,45,19,18,0,0,-12.4878,0.02068,0.02067638,144,859-860 & 1004-1010
A/India/Dib0622568/2006,A/RiodeJaneiro/465/01,A/Hong_Kong/CUHK69904/2006,52,21,19,0,0,-12.9201,0.00769,0.007691483,144,859-860 & 1004-1010
A/India/Dib0622568/2006,A/RiodeJaneiro/465/01,A/Hong_Kong/HKU111/2005,52,21,19,0,0,-12.9201,0.00769,0.007691483,144,859-860 & 1004-1010
A/BULGARIA/113/2000,A/India/Dib0622568/2006,A/Hubei_Jiangan/127/2007,22,49,47,0,0,-13.3892,0.00262,0.002618249,165,65-94 & 855-860
A/BULGARIA/113/2000,A/India/Dib0622568/2006,A/Hubei_Maojian/130/2007,22,49,47,0,0,-13.3892,0.00262,0.002618249,165,65-94 & 855-860
A/BULGARIA/113/2000,A/India/Dib0622568/2006,A/Hubei_Shashi/121/2007,22,49,47,0,0,-13.3892,0.00262,0.002618249,165,65-94 & 855-860
A/BULGARIA/113/2000,A/India/Dib0622568/2006,A/Hubei/270/2005,23,48,45,0,0,-12.3624,0.02751,0.02750506,165,65-94 & 855-860
A/BULGARIA/113/2000,A/India/Dib0622568/2006,A/Hunan_Furong/169/2007,22,49,47,0,0,-13.3892,0.00262,0.002618249,165,65-94 & 855-860
A/TEXAS/7/2000,A/India/Dib0622568/2006,A/Hunan_Furong/178/2007,19,44,43,0,0,-12.716,0.01228,0.01227719,148,0-57 & 859-860
A/BULGARIA/113/2000,A/India/Dib0622568/2006,A/Hunan_Wugang/38/2007,22,49,47,0,0,-13.3892,0.00262,0.002618249,165,65-94 & 855-860
A/BULGARIA/113/2000,A/India/Dib0622568/2006,A/Hunan_Yuhua/1244/2007,23,48,45,0,0,-12.3624,0.02751,0.02750506,165,65-94 & 855-860
A/India/Dib0622568/2006,A/TEXAS/7/2000,A/Hungary/AF1072/2007,45,18,18,0,0,-13.7503,0.00114,0.001140862,144,859-860 & 1004-1010
A/India/Dib0622568/2006,A/TEXAS/7/2000,A/Hungary/AF1073/2007,46,18,18,0,0,-13.8844,0.00084,0.0008379497,144,859-860 & 1004-1010
A/India/Dib0622568/2006,A/TEXAS/7/2000,A/Hungary/AF1079/2007,46,18,18,0,0,-13.8844,0.00084,0.0008379497,144,859-860 & 1004-1010
A/India/Dib0622568/2006,A/TEXAS/7/2000,A/Incheon/1591/2007,45,19,18,0,0,-12.4878,0.02068,0.02067638,144,859-860 & 1004-1010
A/India/Dib0622568/2006,A/RiodeJaneiro/465/01,A/Incheon/1598/2007,52,21,19,0,0,-12.9201,0.00769,0.007691483,144,859-860 & 1004-1010
A/India/Dib0622568/2006,A/TEXAS/7/2000,A/India/D0635426/2006,46,18,18,0,0,-13.8844,0.00084,0.0008379497,144,859-860 & 1004-1010
A/India/Dib0622568/2006,A/TEXAS/7/2000,A/Ivacevichi/115/2007,46,18,18,0,0,-13.8844,0.00084,0.0008379497,144,859-860 & 1004-1010
A/India/Dib0622568/2006,A/RiodeJaneiro/465/01,A/Japan/688/2007,52,21,19,0,0,-12.9201,0.00769,0.007691483,144,859-860 & 1004-1010
A/India/Dib0622568/2006,A/RiodeJaneiro/465/01,A/Japan/7626/2007,52,21,19,0,0,-12.9201,0.00769,0.007691483,144,859-860 & 1004-1010
A/India/Dib0622568/2006,A/RiodeJaneiro/465/01,A/Japan/7743/2007,52,21,19,0,0,-12.9201,0.00769,0.007691483,144,859-860 & 1004-1010
A/India/Dib0622568/2006,A/RiodeJaneiro/465/01,A/Japan/7814/2007,51,21,19,0,0,-12.7936,0.01028,0.01027856,144,859-860 & 1004-1010
A/India/Dib0622568/2006,A/RiodeJaneiro/465/01,A/Jeju/1965/2007,52,21,19,0,0,-12.9201,0.00769,0.007691483,144,859-860 & 1004-1010
A/India/Dib0622568/2006,A/RiodeJaneiro/465/01,A/Jeju/1984/2007,52,21,19,0,0,-12.9201,0.00769,0.007691483,144,859-860 & 1004-1010
A/India/Dib0622568/2006,A/RiodeJaneiro/465/01,A/Jeonbuk/1657/2007,52,21,19,0,0,-12.9201,0.00769,0.007691483,144,859-860 & 1004-1010
A/India/Dib0622568/2006,A/TEXAS/7/2000,A/Jeonbuk/2165/2007,45,19,18,0,0,-12.4878,0.02068,0.02067638,144,859-860 & 1004-1010
A/India/Dib0622568/2006,A/TEXAS/7/2000,A/Jeonbuk/2214/2007,45,19,18,0,0,-12.4878,0.02068,0.02067638,144,859-860 & 1004-1010
A/India/Dib0622568/2006,A/RiodeJaneiro/465/01,A/Jeonbuk/445/2005,52,21,19,0,0,-12.9201,0.00769,0.007691483,144,859-860 & 1004-1010
A/BULGARIA/113/2000,A/India/Dib0622568/2006,A/Jiangsu_Changshu/327/2007,22,49,47,0,0,-13.3892,0.00262,0.002618249,165,65-94 & 855-860
A/BULGARIA/113/2000,A/India/Dib0622568/2006,A/Jiangsu_Pingjiang/51/2007,22,49,47,0,0,-13.3892,0.00262,0.002618249,165,65-94 & 855-860
A/BANGKOK/62/2000,A/India/Dib0622568/2006,A/Jiangsu_Pingjiang/52/2007,23,49,47,0,0,-13.8523,9e-04,0.0009023194,165,65-94 & 855-860
A/BULGARIA/113/2000,A/India/Dib0622568/2006,A/Jiangsu_Xuanwu/31/2007,22,49,47,0,0,-13.3892,0.00262,0.002618249,165,65-94 & 855-860
A/India/Dib0622568/2006,A/RiodeJaneiro/465/01,A/Jiangsu/Xuzhougulou149/2007,52,21,19,0,0,-12.9201,0.00769,0.007691483,144,859-860 & 1004-1010
A/BULGARIA/113/2000,A/India/Dib0622568/2006,A/Jiangxi/1033/2006,22,49,47,0,0,-13.3892,0.00262,0.002618249,165,65-94 & 855-860
A/BULGARIA/113/2000,A/India/Dib0622568/2006,A/Jiangxi/1106/2006,22,49,47,0,0,-13.3892,0.00262,0.002618249,165,65-94 & 855-860
A/BULGARIA/113/2000,A/India/Dib0622568/2006,A/Jiangxi/1123/2006,22,49,47,0,0,-13.3892,0.00262,0.002618249,165,65-94 & 855-860
A/BULGARIA/113/2000,A/India/Dib0622568/2006,A/Jiangxi/1209/2006,22,49,47,0,0,-13.3892,0.00262,0.002618249,165,65-94 & 855-860
A/BULGARIA/113/2000,A/India/Dib0622568/2006,A/Jiangxi/1388/2006,22,49,47,0,0,-13.3892,0.00262,0.002618249,165,65-94 & 855-860
A/BULGARIA/113/2000,A/India/Dib0622568/2006,A/Jiangxi/663/2005,23,48,45,0,0,-12.3624,0.02751,0.02750506,165,65-94 & 855-860
A/BULGARIA/113/2000,A/India/Dib0622568/2006,A/Jiangxi/919/2006,22,49,47,0,0,-13.3892,0.00262,0.002618249,165,65-94 & 855-860
A/BULGARIA/113/2000,A/India/Dib0622568/2006,A/Jilin_Chaoyang/1293/2006,22,49,47,0,0,-13.3892,0.00262,0.002618249,165,65-94 & 855-860
A/India/Dib0622568/2006,A/RiodeJaneiro/465/01,A/Jilin/Nanguan112/2007,52,21,19,0,0,-12.9201,0.00769,0.007691483,144,859-860 & 1004-1010
A/India/Dib0622568/2006,A/RiodeJaneiro/465/01,A/Kolkata/216/2006,55,18,17,0,0,-13.1425,0.00462,0.004616481,144,859-860 & 1004-1010
A/India/Dib0622568/2006,A/TEXAS/7/2000,A/Kolkata/220/2006,46,18,18,0,0,-13.8844,0.00084,0.0008379497,144,859-860 & 1004-1010
A/India/Dib0622568/2006,A/TEXAS/7/2000,A/Kolkata/232/2006,46,18,18,0,0,-13.8844,0.00084,0.0008379497,144,859-860 & 1004-1010
A/India/Dib0622568/2006,A/TEXAS/7/2000,A/Kolkata/256/2006,46,18,18,0,0,-13.8844,0.00084,0.0008379497,144,859-860 & 1004-1010
A/India/Dib0622568/2006,A/TEXAS/7/2000,A/Kolkata/323/2006,43,18,18,0,0,-13.4746,0.00215,0.002151668,144,859-860 & 1004-1010
A/India/Dib0622568/2006,A/TEXAS/7/2000,A/Kolkata/77/2005,43,18,18,0,0,-13.4746,0.00215,0.002151668,144,859-860 & 1004-1010
A/India/Dib0622568/2006,A/TEXAS/7/2000,A/Kolkutta/0713780/240707,46,18,18,0,0,-13.8844,0.00084,0.0008379497,144,859-860 & 1004-1010
