P_name,Q_name,C_name,m,n,k,p,HS?,log10(p),DS(p),DS(p),min_rec_length,breakpoints
LASV_NGA_2018_IRR_088_NGA-Anambra_Amansea_Hs_2018-02-14,KM821940|ISTH1107_NIG_2012|Human|Nigeria|2012,GU481075|Nig08_A37|Human|Nigeria|2008-02,236,103,45,0,0,-20.7958,0,2.662522e-13,892,5877-5882 & 7037-7037;5886-5889 & 7037-7037
MH053543|ISTH_1150|Human|Nigeria|2016-04-25,LASV_NGA_2018_IRR_088_NGA-Anambra_Amansea_Hs_2018-02-14,GU481077|Nig08_A41|Human|Nigeria|2008-02,111,692,607,0,0,-20.885,0,2.168281e-13,247,0-49 & 6582-6590;0-49 & 6598-6785
MH053543|ISTH_1150|Human|Nigeria|2016-04-25,LASV_NGA_2018_IRR_088_NGA-Anambra_Amansea_Hs_2018-02-14,GU481079|Nig08_A47|Human|Nigeria|2008-02,109,698,614,0,0,-20.2934,0,8.465406e-13,247,0-49 & 6598-6785;79-100 & 6598-6785
MH053543|ISTH_1150|Human|Nigeria|2016-04-25,LASV_NGA_2018_IRR_088_NGA-Anambra_Amansea_Hs_2018-02-14,KM821911|ISTH0009_NIG_2011|Human|Nigeria|2011,126,676,577,0,0,-19.8592,0,2.301032e-12,247,0-49 & 6582-6590;0-49 & 6598-6785
LASV|NGA|2019|IRR_0004|2019-01-17,LASV_NGA_2018_IRR_088_NGA-Anambra_Amansea_Hs_2018-02-14,KM821913|ISTH0012_NIG_2011|Human|Nigeria|2011,120,181,114,0,0,-16.9415,0,1.903523e-09,990,0-100 & 5761-5768;0-100 & 5778-5780
MH053543|ISTH_1150|Human|Nigeria|2016-04-25,LASV_NGA_2018_IRR_088_NGA-Anambra_Amansea_Hs_2018-02-14,KM821915|ISTH0047_NIG_2011|Human|Nigeria|2011,117,687,609,0,0,-32.0264,0,1.56575e-24,247,0-49 & 6598-6785
MH053543|ISTH_1150|Human|Nigeria|2016-04-25,LASV_NGA_2018_IRR_088_NGA-Anambra_Amansea_Hs_2018-02-14,KM821917|ISTH0073_NIG_2011|Human|Nigeria|2011,109,692,620,0,0,-31.6089,0,4.094381e-24,247,0-49 & 6598-6785
MH053543|ISTH_1150|Human|Nigeria|2016-04-25,LASV_NGA_2018_IRR_088_NGA-Anambra_Amansea_Hs_2018-02-14,KM821919|ISTH0230_NIG_2011|Human|Nigeria|2011,128,676,573,0,0,-18.0156,0,1.605183e-10,247,0-49 & 6598-6785
MH053543|ISTH_1150|Human|Nigeria|2016-04-25,LASV_NGA_2018_IRR_088_NGA-Anambra_Amansea_Hs_2018-02-14,KM821921|ISTH0531_NIG_2011|Human|Nigeria|2011,112,694,613,0,0,-25.4002,0,6.620129e-18,247,0-49 & 6598-6785
MH053543|ISTH_1150|Human|Nigeria|2016-04-25,LASV_NGA_2018_IRR_088_NGA-Anambra_Amansea_Hs_2018-02-14,KM821923|ISTH0595_NIG_2011|Human|Nigeria|2011,121,679,586,0,0,-21.3,0,8.337591e-14,247,0-49 & 6598-6785
MH053543|ISTH_1150|Human|Nigeria|2016-04-25,LASV_NGA_2018_IRR_088_NGA-Anambra_Amansea_Hs_2018-02-14,KM821926|ISTH1003_NIG_2011|Human|Nigeria|2011,117,686,606,0,0,-30.1067,0,1.301179e-22,247,0-49 & 6598-6785
MH053543|ISTH_1150|Human|Nigeria|2016-04-25,LASV_NGA_2018_IRR_088_NGA-Anambra_Amansea_Hs_2018-02-14,KM821928|ISTH1038_NIG_2011|Human|Nigeria|2011,134,668,565,0,0,-22.1435,0,1.195619e-14,247,0-49 & 6582-6590;0-49 & 6598-6785
MH053543|ISTH_1150|Human|Nigeria|2016-04-25,LASV_NGA_2018_IRR_088_NGA-Anambra_Amansea_Hs_2018-02-14,KM821930|ISTH1048_NIG_2011|Human|Nigeria|2011,106,696,624,0,0,-29.2413,0,9.544922e-22,247,0-49 & 6598-6785
LASV_NGA_2018_IRR_042_NGA-Anambra_Nzam_Hs_2018-01-29,LASV_NGA_2018_IRR_088_NGA-Anambra_Amansea_Hs_2018-02-14,KM821932|ISTH1058_NIG_2011|Human|Nigeria|2011,125,203,125,0,0,-14.9522,0,1.857229e-07,1096,186-268 & 5762-5768;186-268 & 5778-5787
MH053543|ISTH_1150|Human|Nigeria|2016-04-25,LASV_NGA_2018_IRR_088_NGA-Anambra_Amansea_Hs_2018-02-14,KM821934|ISTH1064_NIG_2011|Human|Nigeria|2011,119,684,591,0,0,-19.8756,0,2.215395e-12,247,0-49 & 6598-6785
LASV_NGA_2018_IRR_088_NGA-Anambra_Amansea_Hs_2018-02-14,MH887999|LASV0081-EDO-2017|Human|Nigeria|2017-06-05,KM821936|ISTH1069_NIG_2011|Human|Nigeria|2011,164,125,64,0,0,-19.1981,0,1.054358e-11,996,5730-5770 & 7033-7036
MH053543|ISTH_1150|Human|Nigeria|2016-04-25,LASV_NGA_2018_IRR_088_NGA-Anambra_Amansea_Hs_2018-02-14,KM821938|ISTH1096_NIG_2012|Human|Nigeria|2012,122,681,584,0,0,-18.6685,0,3.569561e-11,247,0-49 & 6598-6785
MH053543|ISTH_1150|Human|Nigeria|2016-04-25,LASV_NGA_2018_IRR_088_NGA-Anambra_Amansea_Hs_2018-02-14,KM821940|ISTH1107_NIG_2012|Human|Nigeria|2012,144,655,536,0,0,-16.2856,0,8.619784e-09,247,0-49 & 6598-6785
MH053543|ISTH_1150|Human|Nigeria|2016-04-25,LASV_NGA_2018_IRR_088_NGA-Anambra_Amansea_Hs_2018-02-14,KM821942|ISTH1111_NIG_2011|Human|Nigeria|2011,120,686,591,0,0,-18.9447,0,1.889611e-11,247,0-49 & 6598-6785
LASV_NGA_2018_IRR_088_NGA-Anambra_Amansea_Hs_2018-02-14,MH887992|LASV0118-EDO-2018|Human|Nigeria|2018-01-09,KM821944|ISTH1121_NIG_2012|Human|Nigeria|2012,168,112,40,2.2e-11,0,-10.6656,0.00359,0.003586671,1156,5436-5461 & 6917-6922
MH053543|ISTH_1150|Human|Nigeria|2016-04-25,LASV_NGA_2018_IRR_088_NGA-Anambra_Amansea_Hs_2018-02-14,KM821946|ISTH1129_NIG_2012|Human|Nigeria|2012,134,671,561,0,0,-16.6081,0,4.10158e-09,244,0-49 & 6785-6788
